rank,term,coef,abs_coef,program,basis,method,feature_family
6,prev_token_4:B,0.04938258923661647,0.04938258923661647,paircat_AB_to_numeric,full_native,ridge,first_order
7,prev_token_4:C,0.049382589150586305,0.049382589150586305,paircat_AB_to_numeric,full_native,ridge,first_order
8,indices:1,0.03703705129768277,0.03703705129768277,paircat_AB_to_numeric,full_native,ridge,first_order
9,indices:4,0.03703705128165285,0.03703705128165285,paircat_AB_to_numeric,full_native,ridge,first_order
10,indices:2,0.037037051277885924,0.037037051277885924,paircat_AB_to_numeric,full_native,ridge,first_order
11,indices:3,0.037037051239513535,0.037037051239513535,paircat_AB_to_numeric,full_native,ridge,first_order
12,tokens:A,1.211608421856002e-07,1.211608421856002e-07,paircat_AB_to_numeric,full_native,ridge,first_order
1,paircat_AB_3:AB,0.39999998866874265,0.39999998866874265,paircat_AB_to_numeric,full_native,omp,first_order
2,detect_AB_num_2,0.3999999886530656,0.3999999886530656,paircat_AB_to_numeric,full_native,omp,first_order
3,paircat_AB_3:OTHER,-0.20000001711061965,0.20000001711061965,paircat_AB_to_numeric,full_native,omp,first_order
4,indices:0,-0.2000000055759947,0.2000000055759947,paircat_AB_to_numeric,full_native,omp,first_order
1,tokens:B,0.17117116744144836,0.17117116744144836,paircat_AB_to_numeric,tokens_only,ridge,first_order
2,tokens:A,-0.08558558846183144,0.08558558846183144,paircat_AB_to_numeric,tokens_only,ridge,first_order
3,tokens:C,-0.08558558845549549,0.08558558845549549,paircat_AB_to_numeric,tokens_only,ridge,first_order
1,tokens:B,0.17117118638925544,0.17117118638925544,paircat_AB_to_numeric,tokens_only,omp,first_order
2,tokens:A,-0.08558556951402561,0.08558556951402561,paircat_AB_to_numeric,tokens_only,omp,first_order
3,tokens:C,-0.08558556950768881,0.08558556950768881,paircat_AB_to_numeric,tokens_only,omp,first_order
1,prev_token_4:A,0.31771968864834027,0.31771968864834027,paircat_AB_to_numeric,restricted_pre_interaction,ridge,first_order
2,tokens:B,0.17507171666937188,0.17507171666937188,paircat_AB_to_numeric,restricted_pre_interaction,ridge,first_order
3,tokens:C,-0.09314483098926131,0.09314483098926131,paircat_AB_to_numeric,restricted_pre_interaction,ridge,first_order
4,tokens:A,-0.08192689466217296,0.08192689466217296,paircat_AB_to_numeric,restricted_pre_interaction,ridge,first_order
5,prev_token_4:C,0.005319087491436807,0.005319087491436807,paircat_AB_to_numeric,restricted_pre_interaction,ridge,first_order
6,prev_token_4:B,-0.000276325844301901,0.000276325844301901,paircat_AB_to_numeric,restricted_pre_interaction,ridge,first_order
1,prev_token_4:A,0.3178781576926373,0.3178781576926373,paircat_AB_to_numeric,restricted_pre_interaction,omp,first_order
2,tokens:B,0.25699669507957484,0.25699669507957484,paircat_AB_to_numeric,restricted_pre_interaction,omp,first_order
3,tokens:C,-0.01122129222214021,0.01122129222214021,paircat_AB_to_numeric,restricted_pre_interaction,omp,first_order
