pair,model,n_fold_seeds,delta_mae_min,delta_mae_q025,delta_mae_median,delta_mae_q975,delta_mae_max,positive_fraction,any_sign_flip,material_instability_positive_fraction_lt_0_95
PB,count_plus_PB_count,200,-0.0008235992193628139,0.003236258614714528,0.009443562867076039,0.01454749289902911,0.017776738484554966,0.995,True,False
PE,count_plus_PE_count,200,0.11526838777087767,0.11699256876963054,0.12908391911647044,0.14030209000875868,0.14982815742461753,1.0,False,False
BE,count_plus_BE_count,200,-0.007764081833354919,-0.0032345834891329317,0.0019179902956471262,0.0069666276430783835,0.008306091420324124,0.77,True,True
