fold_seed,model,n_rows,mae,rmse,r2
0,additive_head,239,0.385275048046964,0.4571588792943077,0.7568218994789545
0,count_additive,239,0.39049539770394837,0.4674006752051929,0.7458039404921719
0,count_plus_PB_count,239,0.3802305241466209,0.44363799698613005,0.7709936026397988
0,count_plus_PE_count,239,0.2619854125150431,0.31970643809553273,0.8810695924819424
0,count_plus_BE_count,239,0.39336459021717507,0.46615779543126756,0.7471540244830486
0,count_plus_all_pairs,239,0.23225064022226702,0.283580415232726,0.9064287112026237
1,additive_head,239,0.37883342412260995,0.4468703922873531,0.7676443136248855
1,count_additive,239,0.3840396270985152,0.4562422341238828,0.757796110266643
1,count_plus_PB_count,239,0.37621883509947596,0.43634297310143894,0.7784630787345521
1,count_plus_PE_count,239,0.2595199178136857,0.31491308774759963,0.8846090992428548
1,count_plus_BE_count,239,0.380761663909591,0.4509469294906485,0.7633856873108078
1,count_plus_all_pairs,239,0.23083967349262247,0.2815909277155205,0.9077370237135753
2,additive_head,239,0.3848395519412049,0.4552574305112305,0.7588405810337531
2,count_additive,239,0.385506762306782,0.4626537995264501,0.7509409028966865
2,count_plus_PB_count,239,0.37417643149977775,0.43691313722985964,0.7778837412002245
2,count_plus_PE_count,239,0.25749867476473415,0.3132169693216943,0.8858487401262248
2,count_plus_BE_count,239,0.38847015776391997,0.46290329488810733,0.7506722102178582
2,count_plus_all_pairs,239,0.22698665694231324,0.27705377119194563,0.910686260124132
3,additive_head,239,0.39430113272009654,0.4679900715871669,0.7451624493291431
3,count_additive,239,0.40620822145371965,0.48279592040709346,0.7287827385807295
3,count_plus_PB_count,239,0.39432503140745745,0.4620518490617686,0.7515885738311331
3,count_plus_PE_count,239,0.25638006402910213,0.3114679324806765,0.8871200461649985
3,count_plus_BE_count,239,0.4000957420386127,0.47135732067182623,0.7414820781538484
3,count_plus_all_pairs,239,0.227821117457209,0.2784469908277985,0.9097857379964296
4,additive_head,239,0.3849805017829868,0.4574581611843067,0.7565033991615632
4,count_additive,239,0.39118310603767154,0.4679525598675839,0.7452033006728103
4,count_plus_PB_count,239,0.3832954379042161,0.4501043922436538,0.7642690291078877
4,count_plus_PE_count,239,0.25469993787965145,0.30857733725573255,0.889205501162932
4,count_plus_BE_count,239,0.39106644859827006,0.4742736132799989,0.738273276219737
4,count_plus_all_pairs,239,0.2264140820288886,0.275934591766961,0.9114063817488887
5,additive_head,239,0.38183196411125025,0.4552167771860789,0.7588836489504198
5,count_additive,239,0.3845340383433841,0.46232509524942467,0.7512946780449788
5,count_plus_PB_count,239,0.3712281230467513,0.4348882136536384,0.7799378162983591
5,count_plus_PE_count,239,0.25673803276125434,0.3156847874516261,0.88404287171436
5,count_plus_BE_count,239,0.3817934197962472,0.4589702493590695,0.7548910250942861
5,count_plus_all_pairs,239,0.22665104928064075,0.2776653840502554,0.9102914939676632
6,additive_head,239,0.37636201220476634,0.4502878725763792,0.7640768034227807
6,count_additive,239,0.3863509198106225,0.46283294896372984,0.7507479835439568
6,count_plus_PB_count,239,0.37914024107067795,0.442888831038818,0.7717663900789465
6,count_plus_PE_count,239,0.26276681407551367,0.3212605014342703,0.8799105629871516
6,count_plus_BE_count,239,0.38536975420803415,0.45630565382918936,0.7577287707449984
6,count_plus_all_pairs,239,0.2293383557044429,0.27948160326406696,0.9091140826791864
7,additive_head,239,0.3799838733080168,0.45364379994956183,0.760547099315193
7,count_additive,239,0.38392173163589166,0.46202661851624505,0.7516157023219634
7,count_plus_PB_count,239,0.37613899832853664,0.44105784716173907,0.7736496086630801
7,count_plus_PE_count,239,0.2547529796377036,0.309002454104753,0.8889000150042073
7,count_plus_BE_count,239,0.38297326263103826,0.45758886507069385,0.7563642367140603
7,count_plus_all_pairs,239,0.2269576545703169,0.2763569085843282,0.9111349898506158
8,additive_head,239,0.3819482946216434,0.45393138895084373,0.7602433991484212
8,count_additive,239,0.3906015159705709,0.4675114609474318,0.7456834244634635
8,count_plus_PB_count,239,0.3770250484017153,0.44109897617066013,0.773607391972517
8,count_plus_PE_count,239,0.2636497603255029,0.3230661397375039,0.8785568487682743
8,count_plus_BE_count,239,0.38924098942569546,0.46226840352043896,0.751355668332507
8,count_plus_all_pairs,239,0.23285621160873873,0.2870390502651217,0.904132343332277
9,additive_head,239,0.3847236840509695,0.4517744867644429,0.7625164428154124
9,count_additive,239,0.3983003366576165,0.47011087824164205,0.7428475036951416
9,count_plus_PB_count,239,0.39019102254108023,0.45365839124312346,0.7605316952304951
9,count_plus_PE_count,239,0.2679324529597285,0.3230943396777179,0.8785356466758804
