fold_seed,pair,model,delta_mae
72,PE,count_plus_PE_count,0.1279760641526294
73,PE,count_plus_PE_count,0.1392190787578626
74,PE,count_plus_PE_count,0.13242819889725066
75,PE,count_plus_PE_count,0.12226781348349858
76,PE,count_plus_PE_count,0.13673536326757585
77,PE,count_plus_PE_count,0.13222883351615022
78,PE,count_plus_PE_count,0.12218900296260665
79,PE,count_plus_PE_count,0.1354396191952028
80,PE,count_plus_PE_count,0.13085177292288708
81,PE,count_plus_PE_count,0.12673998179202983
82,PE,count_plus_PE_count,0.14028059284888067
83,PE,count_plus_PE_count,0.13264145132858868
84,PE,count_plus_PE_count,0.13218406425231
85,PE,count_plus_PE_count,0.12948284885903516
86,PE,count_plus_PE_count,0.12168050415247511
87,PE,count_plus_PE_count,0.1236598654822863
88,PE,count_plus_PE_count,0.1293000314266745
89,PE,count_plus_PE_count,0.12479318385523219
90,PE,count_plus_PE_count,0.12558449859249166
91,PE,count_plus_PE_count,0.13502244137096447
92,PE,count_plus_PE_count,0.12684697232916398
93,PE,count_plus_PE_count,0.12673655438699633
94,PE,count_plus_PE_count,0.12476312717170501
95,PE,count_plus_PE_count,0.12529705635711186
96,PE,count_plus_PE_count,0.13885449267009747
97,PE,count_plus_PE_count,0.11614529520662165
98,PE,count_plus_PE_count,0.12980987997375815
99,PE,count_plus_PE_count,0.12338386440597904
100,PE,count_plus_PE_count,0.13531101606188323
101,PE,count_plus_PE_count,0.1290703652694118
102,PE,count_plus_PE_count,0.11526838777087767
103,PE,count_plus_PE_count,0.12997085485094007
104,PE,count_plus_PE_count,0.12913357758619787
105,PE,count_plus_PE_count,0.136156951601398
106,PE,count_plus_PE_count,0.1278117773415453
107,PE,count_plus_PE_count,0.12850166880340258
108,PE,count_plus_PE_count,0.13590015471737926
109,PE,count_plus_PE_count,0.1249581990747331
110,PE,count_plus_PE_count,0.13081212599785824
111,PE,count_plus_PE_count,0.13157658041191245
112,PE,count_plus_PE_count,0.12664935575619152
113,PE,count_plus_PE_count,0.12017926057827605
114,PE,count_plus_PE_count,0.12128312931325191
115,PE,count_plus_PE_count,0.13341607290431123
116,PE,count_plus_PE_count,0.1247685867737936
117,PE,count_plus_PE_count,0.1325418814093286
118,PE,count_plus_PE_count,0.1416879273523864
119,PE,count_plus_PE_count,0.13294436533306747
120,PE,count_plus_PE_count,0.13609397315835148
121,PE,count_plus_PE_count,0.12657254340500018
122,PE,count_plus_PE_count,0.13367906152796
123,PE,count_plus_PE_count,0.1371620669517971
124,PE,count_plus_PE_count,0.12388544369487159
125,PE,count_plus_PE_count,0.12630070601336818
126,PE,count_plus_PE_count,0.11897681389546488
127,PE,count_plus_PE_count,0.12825636559135223
128,PE,count_plus_PE_count,0.12227807182763895
129,PE,count_plus_PE_count,0.1298915909858106
130,PE,count_plus_PE_count,0.12488705859504556
131,PE,count_plus_PE_count,0.12845990439589366
132,PE,count_plus_PE_count,0.12591961336601293
133,PE,count_plus_PE_count,0.13167636263767463
134,PE,count_plus_PE_count,0.12059213016427839
135,PE,count_plus_PE_count,0.12530422528959917
136,PE,count_plus_PE_count,0.13366052377943027
137,PE,count_plus_PE_count,0.1208214346537359
138,PE,count_plus_PE_count,0.12436739211776376
139,PE,count_plus_PE_count,0.1299022502243825
140,PE,count_plus_PE_count,0.12923870012535843
141,PE,count_plus_PE_count,0.1265347056034653
142,PE,count_plus_PE_count,0.11943135859653847
143,PE,count_plus_PE_count,0.1321923724242398
144,PE,count_plus_PE_count,0.11699342086619091
145,PE,count_plus_PE_count,0.13192151909210043
146,PE,count_plus_PE_count,0.13260437513088658
147,PE,count_plus_PE_count,0.13015040310312265
148,PE,count_plus_PE_count,0.12480893485400468
149,PE,count_plus_PE_count,0.13036774947292923
150,PE,count_plus_PE_count,0.12916194854439778
151,PE,count_plus_PE_count,0.12832354748584907
152,PE,count_plus_PE_count,0.12457770222111564
153,PE,count_plus_PE_count,0.12907027295153978
154,PE,count_plus_PE_count,0.12584450849208784
155,PE,count_plus_PE_count,0.12456467352508999
156,PE,count_plus_PE_count,0.12883919831598123
157,PE,count_plus_PE_count,0.12954274837407154
158,PE,count_plus_PE_count,0.13217333344419457
159,PE,count_plus_PE_count,0.12372145080134994
160,PE,count_plus_PE_count,0.13906602010960356
161,PE,count_plus_PE_count,0.13133174905207062
162,PE,count_plus_PE_count,0.11846115012316771
163,PE,count_plus_PE_count,0.12909747296352908
164,PE,count_plus_PE_count,0.13170033426909872
165,PE,count_plus_PE_count,0.12384774840726115
166,PE,count_plus_PE_count,0.12540678991488075
167,PE,count_plus_PE_count,0.1336583297553699
168,PE,count_plus_PE_count,0.12940435729800948
169,PE,count_plus_PE_count,0.14016329028001084
170,PE,count_plus_PE_count,0.13001833071799662
171,PE,count_plus_PE_count,0.12768474755418024
172,PE,count_plus_PE_count,0.11695933700377609
