model,n,mae_mean,mae_median,mae_q025,mae_q975,rmse_mean,rmse_median,rmse_q025,rmse_q975,r2_mean,r2_median,r2_q025,r2_q975
additive_head,2000,0.3797506098204204,0.3799506094401328,0.35960470672311806,0.4002737127665348,0.4554889205360163,0.45572529774302206,0.43153195761988394,0.4796051046604052,0.7593260027316403,0.7595246910642652,0.7432583926452049,0.7752248886369275
count_additive,2000,0.3858779340868797,0.38623080768544027,0.3648242453205639,0.4072406411963507,0.4619284607248099,0.46219079214267444,0.4373788148215516,0.48665495822997806,0.752467489886232,0.75275638360343,0.7354459783904977,0.7694581703480659
count_plus_PB_count,2000,0.3775929550832866,0.37777429007824526,0.357265057896887,0.398694558600381,0.44136016638881653,0.4415006537204069,0.4180539266072785,0.46526101550224586,0.7739926973402546,0.7742432839636233,0.757140193985494,0.7910561483412735
count_plus_PE_count,2000,0.25933426048527575,0.2594879551366117,0.24351168004438847,0.2747736292779184,0.31225695697821415,0.31237160745370385,0.29421270196395194,0.3304022314215503,0.8868950484443008,0.8870391181007431,0.878359557491266,0.8948758877650004
count_plus_BE_count,2000,0.386109337026276,0.3863221366272498,0.36518045326680143,0.40768880427003684,0.46027558150761977,0.46051436831383136,0.43611942229990724,0.4848857290112121,0.7542331353832841,0.7545154814777308,0.7372804164082744,0.7716304634892162
count_plus_all_pairs,2000,0.23594805642429503,0.23617743621721252,0.22168756959038952,0.25080797888382966,0.28276503911089074,0.28294060857863085,0.2659327150297375,0.29999035499704346,0.9072274973458091,0.9074569059453386,0.8987617214300048,0.9149690517047052
