epsilon,cells,calibrated_r2_mean,calibrated_r2_min,calibrated_r2_max,omp_r2_mean,gap_mean,gap_max,cells_within_002
5.0,9,0.9512014834333541,0.923629805103624,0.9726691263904087,0.9645965237614248,0.01339504032807052,0.04882239701467839,6
8.0,9,0.9476861638867784,0.9083977747682429,0.9647606255271775,0.9690295864322328,0.021343422545454196,0.06457314281614346,5
