metric,ss_total,context_fraction,design_fraction,residual_fraction,epsilon
fitted_gain,0.010861236101153898,0.1971856483124144,0.7558002081693154,0.047014143518270116,5.0
raw_atp_holdout_r2,0.0018897589038340747,0.3894605519747061,0.2960804985978698,0.31445894942742414,5.0
calibrated_atp_holdout_r2,0.002727092497597063,0.8118567637552391,0.012478977519578594,0.17566425872518232,5.0
omp_holdout_r2,0.0006385456863072034,0.34230785135026937,0.30253994389913824,0.3551522047505924,5.0
fitted_gain,0.008989046175065884,0.2905183161548996,0.6735834138455098,0.0358982699995906,8.0
raw_atp_holdout_r2,0.023234363824513524,0.23255048478895143,0.7230434374876915,0.044406077723357036,8.0
calibrated_atp_holdout_r2,0.002893119387076097,0.7665796312815883,0.03201628717212365,0.20140408154628803,8.0
omp_holdout_r2,0.0002163219464898107,0.27046476330548136,0.07985778506720269,0.649677451627316,8.0
