epsilon,context_seed,design_seed,fitted_gain,raw_atp_holdout_r2,calibrated_atp_holdout_r2,omp_holdout_r2,omp_k,omp_validation_r2
5.0,17,7,0.8789885187254023,0.950392957280965,0.9828214022531235,0.9721629147870654,4,0.9286987889577532
5.0,17,8,0.8771799789039428,0.9418149399523413,0.9627135417969623,0.9543839204164652,5,0.9447506994065569
5.0,17,9,0.7993496749010407,0.9462821770618706,0.9718577134829507,0.9518645711795182,4,0.9447923748530177
8.0,17,7,0.7418706895349264,0.7647196722478593,0.9779881262366255,0.9673151309610621,4,0.9275654855797884
8.0,17,8,0.7338032844713195,0.8355047103226775,0.9694848669273941,0.9600028122041511,7,0.9565137381164478
8.0,17,9,0.6768074304440759,0.7505233342683195,0.9757421382262017,0.9689573620392423,4,0.9618926457597223
5.0,18,7,0.9012037808331012,0.9207086230368756,0.937122511650403,0.9724522021183024,11,0.9474699119309323
5.0,18,8,0.9148420968438068,0.9525551309920882,0.9538950018422088,0.9570621200170301,6,0.9557624684264627
5.0,18,9,0.8399771961217029,0.9202061032079943,0.9330647667383077,0.9596963718667284,4,0.9586492617149853
8.0,18,7,0.7650868553721444,0.8027882454122992,0.9252359908363857,0.9729709175843864,4,0.9441730278995226
8.0,18,8,0.7804401355529502,0.8974962726742877,0.958613304176943,0.975120259875076,4,0.9589108605414198
8.0,18,9,0.7106283427336924,0.8190859519149026,0.9313941978168753,0.9646555140364599,4,0.9662780132106652
5.0,19,7,0.9028487664010593,0.9535668085710514,0.9785623914636762,0.968377296908061,12,0.9745977325431797
5.0,19,8,0.8948611953599858,0.9670179998599797,0.9699178808822062,0.9763775591139754,4,0.9782529506020068
5.0,19,9,0.8534658712935009,0.9377251053395129,0.9808483077973104,0.9689917574456761,4,0.9786102368808978
8.0,19,7,0.770155374610689,0.8115843862336324,0.9688600293317862,0.9676324779832699,4,0.965400959231438
8.0,19,8,0.7677874777910125,0.9025358878538691,0.9662296126257112,0.9765902581371871,4,0.974747195388816
8.0,19,9,0.7271246632776672,0.7756106302326319,0.9693067388177546,0.9680215450692593,4,0.9777370421734088
