mode,epsilon,design_seed,source_context,target_context,gain,holdout_r2
single_source,5.0,7,17,17,0.8789885187254024,0.9828214022531235
single_source,5.0,7,17,18,0.8789885187254024,0.9366915749544937
single_source,5.0,7,17,19,0.8789885187254024,0.9799941796214765
single_source,5.0,7,18,17,0.9012037808331009,0.98065604702821
single_source,5.0,7,18,18,0.9012037808331009,0.937122511650403
single_source,5.0,7,18,19,0.9012037808331009,0.9787206777664312
single_source,5.0,7,19,17,0.902848766401059,0.9804279688767797
single_source,5.0,7,19,18,0.902848766401059,0.93709424298483
single_source,5.0,7,19,19,0.902848766401059,0.9785623914636762
leave_one_context_out,5.0,7,all_other_contexts,17,0.9020162051659041,0.9805445712967233
leave_one_context_out,5.0,7,all_other_contexts,18,0.8902005759264875,0.9370982199664394
leave_one_context_out,5.0,7,all_other_contexts,19,0.8895631685565484,0.9795886574420721
single_source,5.0,8,17,17,0.8771799789039428,0.9627135417969623
single_source,5.0,8,17,18,0.8771799789039428,0.9494240430646453
single_source,5.0,8,17,19,0.8771799789039428,0.9678401009983971
single_source,5.0,8,18,17,0.9148420968438068,0.9604510252972592
single_source,5.0,8,18,18,0.9148420968438068,0.9538950018422088
single_source,5.0,8,18,19,0.9148420968438068,0.971376902732786
single_source,5.0,8,19,17,0.8948611953599858,0.9621080472062203
single_source,5.0,8,19,18,0.8948611953599858,0.9519097511284735
single_source,5.0,8,19,19,0.8948611953599858,0.9699178808822062
leave_one_context_out,5.0,8,all_other_contexts,17,0.9048340042619187,0.9614100205135762
leave_one_context_out,5.0,8,all_other_contexts,18,0.8854743573704444,0.9506753336823133
leave_one_context_out,5.0,8,all_other_contexts,19,0.8948144110215631,0.9699133577367829
single_source,5.0,9,17,17,0.7993496749010406,0.9718577134829507
single_source,5.0,9,17,18,0.7993496749010406,0.9251068347907996
single_source,5.0,9,17,19,0.7993496749010406,0.9797708728807119
single_source,5.0,9,18,17,0.8399771961217029,0.9768082712055091
single_source,5.0,9,18,18,0.8399771961217029,0.9330647667383077
single_source,5.0,9,18,19,0.8399771961217029,0.9814378815129456
single_source,5.0,9,19,17,0.8534658712935009,0.9773146263919152
single_source,5.0,9,19,18,0.8534658712935009,0.9347019533627448
single_source,5.0,9,19,19,0.8534658712935009,0.9808483077973104
leave_one_context_out,5.0,9,all_other_contexts,17,0.8466371248710596,0.9771291363816105
leave_one_context_out,5.0,9,all_other_contexts,18,0.8247985436738863,0.930623424097195
leave_one_context_out,5.0,9,all_other_contexts,19,0.8187088394318579,0.981209946735123
single_source,8.0,7,17,17,0.7418706895349264,0.9779881262366255
single_source,8.0,7,17,18,0.7418706895349264,0.9245167196161873
single_source,8.0,7,17,19,0.7418706895349264,0.9716434198261121
single_source,8.0,7,18,17,0.7650868553721444,0.9727744086170838
single_source,8.0,7,18,18,0.7650868553721444,0.9252359908363857
single_source,8.0,7,18,19,0.7650868553721444,0.9696258767070229
single_source,8.0,7,19,17,0.770155374610689,0.9712689949670146
single_source,8.0,7,19,18,0.770155374610689,0.9250863210285164
single_source,8.0,7,19,19,0.770155374610689,0.9688600293317862
leave_one_context_out,8.0,7,all_other_contexts,17,0.7675900921426565,0.9720473620678102
leave_one_context_out,8.0,7,all_other_contexts,18,0.7551618133864059,0.9252107103109881
leave_one_context_out,8.0,7,all_other_contexts,19,0.7529217778795159,0.970988178181143
single_source,8.0,8,17,17,0.7338032844713195,0.9694848669273941
single_source,8.0,8,17,18,0.7338032844713195,0.952255214103932
single_source,8.0,8,17,19,0.7338032844713195,0.9608720015089333
single_source,8.0,8,18,17,0.7804401355529501,0.9651460768127077
single_source,8.0,8,18,18,0.7804401355529501,0.958613304176943
single_source,8.0,8,18,19,0.7804401355529501,0.9672668191934168
single_source,8.0,8,19,17,0.7677874777910125,0.9671266966391341
single_source,8.0,8,19,18,0.7677874777910125,0.9575582021750383
single_source,8.0,8,19,19,0.7677874777910125,0.9662296126257112
leave_one_context_out,8.0,8,all_other_contexts,17,0.774102635195874,0.9662129229105623
leave_one_context_out,8.0,8,all_other_contexts,18,0.7497454998710947,0.9551909635711233
leave_one_context_out,8.0,8,all_other_contexts,19,0.7556399317329456,0.9647449744210396
single_source,8.0,9,17,17,0.676807430444076,0.9757421382262017
single_source,8.0,9,17,18,0.676807430444076,0.9238048510625023
single_source,8.0,9,17,19,0.676807430444076,0.9696222768372309
single_source,8.0,9,18,17,0.7106283427336921,0.9752001186574111
single_source,8.0,9,18,18,0.7106283427336921,0.9313941978168753
single_source,8.0,9,18,19,0.7106283427336921,0.9706247324944319
single_source,8.0,9,19,17,0.7271246632776673,0.9729828159330345
single_source,8.0,9,19,18,0.7271246632776673,0.9335228455591675
single_source,8.0,9,19,19,0.7271246632776673,0.9693067388177546
leave_one_context_out,8.0,9,all_other_contexts,17,0.7187732730585863,0.9742653827951093
leave_one_context_out,8.0,9,all_other_contexts,18,0.7004697855384409,0.929570192534225
leave_one_context_out,8.0,9,all_other_contexts,19,0.6929232205766039,0.970721094231041
