epsilon,context_seed,design_seed,mask_index,split,finite_response,atp_prediction
5.0,17,7,0,train,3.1563754081726074,2.7490308175997464
5.0,17,7,1,holdout,0.3262487053871155,0.2296140296408538
5.0,17,7,2,validation,-3.189978837966919,-4.677678881975467
5.0,17,7,3,validation,-0.36944252252578735,-0.6008755682153817
5.0,17,7,4,validation,-0.2625241279602051,-0.31751921649709086
5.0,17,7,5,train,2.0615992546081543,1.6571139520965517
5.0,17,7,6,validation,0.20844492316246033,-0.24022024084949944
5.0,17,7,7,train,0.033315662294626236,0.12772029150578781
5.0,17,7,8,train,-0.23489788174629211,-0.29675534709563184
5.0,17,7,9,holdout,2.9259493350982666,3.0501376767922483
5.0,17,7,10,train,3.1367225646972656,3.1818036732801396
5.0,17,7,11,holdout,0.10700647532939911,0.05632514121240616
5.0,17,7,12,train,2.321491241455078,1.8901830862069071
5.0,17,7,13,train,3.6068239212036133,3.8426390575744476
5.0,17,7,14,holdout,-0.1457647681236267,-0.10649920193180462
5.0,17,7,15,holdout,-0.09023280441761017,-0.08381808719299479
5.0,17,7,16,train,2.80916166305542,2.4191153250874375
5.0,17,7,17,train,-0.13602259755134583,-0.17921178019605577
5.0,17,7,18,train,-1.690079689025879,-1.8806966570819272
5.0,17,7,19,train,1.1289173364639282,0.956545334815587
5.0,17,7,20,train,3.869438409805298,4.542368559032417
5.0,17,7,21,train,-1.2954325675964355,-1.0676047369849195
5.0,17,7,22,validation,-0.6672960519790649,-0.4534362447542252
5.0,17,7,23,validation,-2.845024585723877,-4.107290531062379
5.0,17,7,24,train,-2.2679550647735596,-2.5764020840831954
5.0,17,7,25,train,1.6489076614379883,1.1984291600879031
5.0,17,7,26,train,0.9039781093597412,0.8994596153679155
5.0,17,7,27,train,-0.014635082334280014,-0.014819861389696598
5.0,17,7,28,holdout,4.029747009277344,4.723665422863525
5.0,17,7,29,train,2.627919912338257,2.2598196908166224
5.0,17,7,30,train,2.8851168155670166,2.20623885281384
5.0,17,7,31,validation,-0.6667402386665344,-0.7714755212267238
5.0,17,7,32,train,-3.021493911743164,-4.377125965741772
