m_gain,repeat,gain,holdout_r2,n_train_available,epsilon,context_seed,design_seed
0,0,1.0,0.950392957280965,96,5.0,17,7
4,0,0.9132473034862918,0.9787700700622616,96,5.0,17,7
4,1,1.1951925884947687,0.7915653836277381,96,5.0,17,7
4,2,0.6952271833370302,0.9354088279285088,96,5.0,17,7
4,3,0.9070208116489289,0.9798076281826386,96,5.0,17,7
4,4,1.0524241605315146,0.9206526843129273,96,5.0,17,7
4,5,0.9788853865600774,0.9596915064524781,96,5.0,17,7
4,6,1.138037134778646,0.8516887559446971,96,5.0,17,7
4,7,0.9089977712026901,0.9794926944845677,96,5.0,17,7
4,8,0.7924478891337665,0.9750133560829449,96,5.0,17,7
4,9,0.8445330958718399,0.9828099225426831,96,5.0,17,7
4,10,0.7880692363179215,0.9739312314441699,96,5.0,17,7
4,11,0.8213938771346785,0.9805021911278293,96,5.0,17,7
4,12,1.1379427626352268,0.8517787041988418,96,5.0,17,7
4,13,0.7103017231945884,0.943686839308393,96,5.0,17,7
4,14,0.8310958096419996,0.9816947828608956,96,5.0,17,7
4,15,1.0362391881198612,0.9308466925621166,96,5.0,17,7
4,16,0.9301126825551225,0.9752875547034628,96,5.0,17,7
4,17,0.7085574412663651,0.9427691156365177,96,5.0,17,7
4,18,1.363376678459445,0.5492410812004704,96,5.0,17,7
4,19,1.2863145147686692,0.6723933431773128,96,5.0,17,7
4,20,0.9792248175931842,0.9595541964725955,96,5.0,17,7
4,21,0.8267769962373845,0.9812040244557005,96,5.0,17,7
4,22,1.0269503242471294,0.9362888539386593,96,5.0,17,7
4,23,1.0639205499330888,0.9128625272886082,96,5.0,17,7
4,24,0.8850874158769503,0.9823965701393925,96,5.0,17,7
4,25,0.8223417980002812,0.980633033743541,96,5.0,17,7
4,26,0.8390569269504933,0.9824307042907082,96,5.0,17,7
4,27,0.721733051506374,0.9494412970271888,96,5.0,17,7
4,28,0.7623353572410148,0.9662340756810921,96,5.0,17,7
4,29,0.9375837454506707,0.9734310712013334,96,5.0,17,7
4,30,0.8533710248935704,0.9832036075705336,96,5.0,17,7
4,31,1.2605186252494276,0.7090382881586517,96,5.0,17,7
4,32,0.7073733908468669,0.9421401640498489,96,5.0,17,7
4,33,0.7978007976190833,0.9762463519224615,96,5.0,17,7
4,34,0.9884092947846487,0.9556878383096342,96,5.0,17,7
4,35,1.0984007684718264,0.8867621706886715,96,5.0,17,7
4,36,0.7937417155160867,0.9753204414096202,96,5.0,17,7
4,37,0.8736302757452845,0.9830886927415216,96,5.0,17,7
4,38,1.0242566550482248,0.937811316382419,96,5.0,17,7
4,39,1.2200557230818445,0.7618917717116478,96,5.0,17,7
4,40,0.9361905115205932,0.9737918898854699,96,5.0,17,7
4,41,0.8173456164541454,0.9799084983861929,96,5.0,17,7
4,42,0.9003188597336833,0.9807748780630035,96,5.0,17,7
4,43,1.1529132607305312,0.8371256287643871,96,5.0,17,7
4,44,0.7805122009185502,0.9719079443863823,96,5.0,17,7
4,45,0.9138066420498385,0.9786703135147505,96,5.0,17,7
4,46,1.2479015024217524,0.7261253827251888,96,5.0,17,7
4,47,1.0275210313063392,0.9359630749295738,96,5.0,17,7
4,48,1.019739831281166,0.9403080180489842,96,5.0,17,7
4,49,1.3501255482657262,0.571876895848457,96,5.0,17,7
8,0,0.91538458934917,0.9783830703572809,96,5.0,17,7
8,1,0.8362740070514572,0.9821983229338188,96,5.0,17,7
8,2,0.8387249347832743,0.9824043863435294,96,5.0,17,7
8,3,0.95395191618793,0.968690314612795,96,5.0,17,7
8,4,0.9034841236527867,0.9803373757885059,96,5.0,17,7
8,5,0.8557613735805604,0.9832637647581277,96,5.0,17,7
8,6,0.9675403807309187,0.9640521220716084,96,5.0,17,7
8,7,0.8716895789789683,0.9831610558093351,96,5.0,17,7
8,8,0.9251107116558017,0.9764228189386439,96,5.0,17,7
8,9,1.0153288572717634,0.9426782464449411,96,5.0,17,7
8,10,0.8402433487385682,0.98252164619237,96,5.0,17,7
8,11,0.9121706596352654,0.9789590467858094,96,5.0,17,7
8,12,0.9247403962442174,0.9765034335158295,96,5.0,17,7
8,13,0.8521481328076165,0.9831652055978463,96,5.0,17,7
8,14,0.8828997178781316,0.9825637262740602,96,5.0,17,7
8,15,0.885164650680164,0.9823903669307966,96,5.0,17,7
8,16,0.8684853906473546,0.9832520800579644,96,5.0,17,7
8,17,0.9447414253030688,0.9714717509193669,96,5.0,17,7
8,18,0.9208261711342123,0.977326584168242,96,5.0,17,7
8,19,0.8304181278579669,0.9816220346198462,96,5.0,17,7
8,20,0.857279498897834,0.9832917305822331,96,5.0,17,7
8,21,0.8778695597781964,0.9828854070607596,96,5.0,17,7
8,22,1.0625104391943507,0.9138425895578174,96,5.0,17,7
8,23,1.1626519716034296,0.8271781102355057,96,5.0,17,7
8,24,0.8821045254060492,0.9826203911467083,96,5.0,17,7
8,25,0.9992813752170429,0.9507347243055776,96,5.0,17,7
8,26,0.8184660067826826,0.9800784692471768,96,5.0,17,7
8,27,1.1238421557049632,0.8648728751173753,96,5.0,17,7
8,28,0.9527297196832971,0.9690762503098733,96,5.0,17,7
8,29,0.8314171408307133,0.9817287233182632,96,5.0,17,7
8,30,1.3098898110579418,0.6368941350946092,96,5.0,17,7
8,31,0.8936748036960216,0.9815807389228992,96,5.0,17,7
8,32,0.8828520977798259,0.9825671810888394,96,5.0,17,7
8,33,0.931091954159416,0.9750551871964361,96,5.0,17,7
8,34,0.858179556914295,0.983304554504586,96,5.0,17,7
8,35,0.996020468447516,0.9522631659472883,96,5.0,17,7
8,36,0.8920719432859298,0.9817523373378015,96,5.0,17,7
8,37,1.116553844171165,0.8713719406604885,96,5.0,17,7
8,38,1.11980675723419,0.8684939379960375,96,5.0,17,7
8,39,1.0386225869151913,0.9294022940589846,96,5.0,17,7
8,40,0.8631608494469308,0.9833249658393628,96,5.0,17,7
8,41,1.2131368667296625,0.7703635467935255,96,5.0,17,7
8,42,0.7944472367610504,0.9754854600537173,96,5.0,17,7
8,43,1.0357249274855573,0.9311557754325104,96,5.0,17,7
8,44,1.0222724052776306,0.9389167952562749,96,5.0,17,7
8,45,0.9711742204680723,0.9627037637618631,96,5.0,17,7
8,46,0.9857267703777753,0.9568471930361379,96,5.0,17,7
8,47,1.0070800246488827,0.9469305133972039,96,5.0,17,7
8,48,0.8790601548912083,0.9828171574451027,96,5.0,17,7
8,49,0.8943993175594616,0.9815002640538758,96,5.0,17,7
16,0,0.8345230582808361,0.9820384132377805,96,5.0,17,7
16,1,0.9028578732317781,0.9804266802124045,96,5.0,17,7
16,2,0.9625307369821241,0.9658362504936275,96,5.0,17,7
16,3,0.8788629498766737,0.9828288001108434,96,5.0,17,7
16,4,0.8814156932073748,0.9826677126265583,96,5.0,17,7
16,5,0.8788170678858445,0.9828314896606529,96,5.0,17,7
16,6,0.8834006297742162,0.9825269111583964,96,5.0,17,7
16,7,0.9093974943394093,0.9794273781952223,96,5.0,17,7
16,8,0.9354227789911682,0.9739878534339207,96,5.0,17,7
16,9,0.9687138776915185,0.963621671756833,96,5.0,17,7
16,10,0.9109463896783557,0.9791690738238398,96,5.0,17,7
16,11,0.8890983497113898,0.982047197022808,96,5.0,17,7
16,12,0.828858156485187,0.9814485494053506,96,5.0,17,7
16,13,1.046928825288292,0.9242152698293706,96,5.0,17,7
16,14,0.7937417574975121,0.9753204512800248,96,5.0,17,7
16,15,0.8113531716645965,0.978925842541762,96,5.0,17,7
16,16,0.8464805756092715,0.9829198320143362,96,5.0,17,7
16,17,0.8015665794466817,0.9770545032517068,96,5.0,17,7
16,18,0.8828670653803607,0.982566096040231,96,5.0,17,7
16,19,0.8986522904618264,0.980991333507413,96,5.0,17,7
16,20,0.7972922168744897,0.9761334567918982,96,5.0,17,7
16,21,0.8612007845186394,0.9833271543804218,96,5.0,17,7
16,22,0.9866148536599737,0.9564661244679099,96,5.0,17,7
16,23,0.8359228280430103,0.9821670990206206,96,5.0,17,7
16,24,0.9972502631094118,0.9516910514808474,96,5.0,17,7
16,25,0.898262882462794,0.9810405284180069,96,5.0,17,7
16,26,1.0854721319959488,0.8970295862313491,96,5.0,17,7
16,27,0.9764513861497423,0.9606644818785902,96,5.0,17,7
16,28,0.9725847000905884,0.9621681175142874,96,5.0,17,7
16,29,0.8956100210132957,0.9813617424121004,96,5.0,17,7
16,30,0.92555546228378,0.9763253748155922,96,5.0,17,7
