epsilon,method,heldout_r2,heldout_r2,heldout_r2,mae,mae,mae,rmse,rmse,rmse,main_topk_overlap,main_topk_overlap,main_topk_overlap,pair_topk_recall,pair_topk_recall,pair_topk_recall,confound_abs_coef,confound_abs_coef,confound_abs_coef
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
5.0,finite_single,0.5645975993479835,0.030972283224033795,3,0.10258817125077356,0.007600445779966199,3,0.16176528299457107,0.00981529968943438,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,first_order_omp,0.5826319458449435,0.16604099492005878,3,0.09090581295743795,0.03867772514190133,3,0.15692301926275645,0.0345134218192501,3,0.8333333333333334,0.2886751345948129,3,0.0,0.0,3,0.0,0.0,3
5.0,lifted_omp,0.9531253827164763,0.07772764280429956,3,0.017797765355950818,0.015841314896712946,3,0.03761084542838638,0.046197607478806614,3,1.0,0.0,3,1.0,0.0,3,0.0,0.0,3
5.0,multigain_atp,0.6685920336738284,0.01968280244561032,3,0.07109074683854497,0.004505323567520349,3,0.14115603237750804,0.008281191299875208,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,raw_atp,0.6622043432802703,0.01729057557450784,3,0.07166617591300328,0.00452791167999343,3,0.1425063412128381,0.007685969630954417,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,scalar_cal_atp,0.6685120321829122,0.020597842170601257,3,0.07034424244119315,0.004384115034628509,3,0.14117303301460096,0.00848060975074501,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,subset_ridge,-1.4953722711650002,0.8984959076272976,3,0.30828445409989996,0.056897615772191885,3,0.3820508951957866,0.06797317103120361,3,0.5,0.0,3,0.0,0.0,3,0.45584782695114184,0.2686688884148,3
8.0,finite_single,0.3155432207371173,0.023682182795623154,3,0.13863660666548752,0.008860040706216045,3,0.2386870282486966,0.014585692886423,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,first_order_omp,0.34948621258912294,0.08474107767874689,3,0.12575291412194536,0.030624861969401618,3,0.23269266337526018,0.024946415467374194,3,0.8333333333333334,0.2886751345948129,3,0.0,0.0,3,0.0,0.0,3
8.0,lifted_omp,0.9159501557956555,0.14264322153457537,3,0.024624756102393147,0.02664423860408407,3,0.056101412678119945,0.07667816746439574,3,1.0,0.0,3,1.0,0.0,3,0.0,0.0,3
8.0,multigain_atp,0.38892967472698864,0.017550254392905765,3,0.11245141090928439,0.007746989741319189,3,0.22553662871281385,0.01359280123305819,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,raw_atp,0.36826929900754174,0.013890223218650192,3,0.11621848088364768,0.007723487985890394,3,0.22927987712396303,0.012436703302939932,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,scalar_cal_atp,0.386416228594912,0.01914284481188143,3,0.1121529288134887,0.007099381476119633,3,0.22600774292775896,0.013917792976182624,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,subset_ridge,-3.617245921570278,1.7343363002930747,3,0.4917687421433776,0.09094527459388711,3,0.6101341516526505,0.10884002151457238,3,0.16666666666666666,0.2886751345948129,3,0.0,0.0,3,0.7316343342240241,0.4215200784759421,3
