seed,epsilon,method,term_type,i,j,coef,is_true_main,is_confound,is_true_pair
0,5.0,raw_atp,main,0,-1,1.4,1,0,0
0,5.0,raw_atp,main,1,-1,-1.1,1,0,0
0,5.0,raw_atp,main,6,-1,0.0,0,1,0
0,5.0,scalar_cal_atp,main,0,-1,1.068659945943945,1,0,0
0,5.0,scalar_cal_atp,main,1,-1,-0.8396613860988141,1,0,0
0,5.0,scalar_cal_atp,main,6,-1,0.0,0,1,0
0,5.0,multigain_atp,main,0,-1,1.2581316796238529,1,0,0
0,5.0,multigain_atp,main,1,-1,-0.5093005378807283,1,0,0
0,5.0,multigain_atp,main,6,-1,0.0,0,1,0
0,5.0,finite_single,main,0,-1,1.1142411314207046,1,0,0
0,5.0,finite_single,main,1,-1,-0.2930090365330048,1,0,0
0,5.0,finite_single,main,6,-1,0.0,0,1,0
0,5.0,subset_ridge,main,0,-1,0.7409379233780217,1,0,0
0,5.0,subset_ridge,main,1,-1,-1.0401846930804668,1,0,0
0,5.0,subset_ridge,main,2,-1,0.06747250044213259,0,0,0
0,5.0,subset_ridge,main,3,-1,-0.19626022415225708,0,0,0
0,5.0,subset_ridge,main,4,-1,-0.23498935237501078,0,0,0
0,5.0,subset_ridge,main,5,-1,-0.6114147058282634,0,0,0
0,5.0,subset_ridge,main,6,-1,0.394532193805252,0,1,0
0,5.0,subset_ridge,main,7,-1,0.07671279616586425,0,0,0
0,5.0,subset_ridge,main,8,-1,-0.16996322288778137,0,0,0
0,5.0,subset_ridge,main,9,-1,-0.7251576654815219,0,0,0
0,5.0,subset_ridge,main,10,-1,-0.5288095747049558,0,0,0
0,5.0,subset_ridge,main,11,-1,0.11558086066632232,0,0,0
0,5.0,subset_ridge,main,12,-1,0.1936976846590054,0,0,0
0,5.0,subset_ridge,main,13,-1,0.7040243688775982,0,0,0
0,5.0,subset_ridge,main,14,-1,-0.3099848972368251,0,0,0
0,5.0,subset_ridge,main,15,-1,-0.538068481599154,0,0,0
0,5.0,subset_ridge,main,16,-1,-0.07929297831261059,0,0,0
0,5.0,subset_ridge,main,18,-1,0.07049849339022396,0,0,0
0,5.0,subset_ridge,main,20,-1,-0.1027992642435652,0,0,0
0,5.0,subset_ridge,main,21,-1,0.16762467647163867,0,0,0
0,5.0,subset_ridge,main,22,-1,-0.32951478437584014,0,0,0
0,5.0,subset_ridge,main,23,-1,0.7033649474798047,0,0,0
0,5.0,subset_ridge,main,24,-1,0.08179840305662335,0,0,0
0,5.0,subset_ridge,main,25,-1,-0.22728305082769676,0,0,0
0,5.0,subset_ridge,main,26,-1,-0.18538454490459993,0,0,0
0,5.0,subset_ridge,main,27,-1,-0.5487974627606019,0,0,0
0,5.0,subset_ridge,main,28,-1,0.3106598785640277,0,0,0
0,5.0,subset_ridge,main,29,-1,0.11698870828988968,0,0,0
0,5.0,subset_ridge,main,30,-1,-0.5259590751312213,0,0,0
0,5.0,subset_ridge,main,31,-1,0.3694109095549328,0,0,0
0,5.0,subset_ridge,main,33,-1,0.48207348789473703,0,0,0
0,5.0,subset_ridge,main,34,-1,-0.8774694217515157,0,0,0
0,5.0,subset_ridge,main,35,-1,1.260952139231429,0,0,0
0,5.0,subset_ridge,main,36,-1,0.6569457203631365,0,0,0
0,5.0,subset_ridge,main,37,-1,0.34026391133608697,0,0,0
0,5.0,subset_ridge,main,38,-1,-1.4631686854156027,0,0,0
0,5.0,subset_ridge,main,39,-1,0.2943393570146054,0,0,0
0,5.0,subset_ridge,main,40,-1,-0.46962904710567127,0,0,0
0,5.0,subset_ridge,main,41,-1,-0.7636083692009823,0,0,0
0,5.0,subset_ridge,main,42,-1,0.4081488735137473,0,0,0
0,5.0,subset_ridge,main,43,-1,0.7721556148138562,0,0,0
0,5.0,subset_ridge,main,44,-1,0.1204848007211807,0,0,0
0,5.0,subset_ridge,main,45,-1,-0.5515503998663828,0,0,0
0,5.0,subset_ridge,main,47,-1,-0.3248247620193969,0,0,0
0,5.0,subset_ridge,main,48,-1,-0.47077264606896685,0,0,0
0,5.0,subset_ridge,main,49,-1,0.1791406049862577,0,0,0
0,5.0,subset_ridge,main,50,-1,0.5454026108431812,0,0,0
0,5.0,subset_ridge,main,51,-1,0.1584021492470991,0,0,0
0,5.0,subset_ridge,main,52,-1,0.7524032980967507,0,0,0
0,5.0,subset_ridge,main,53,-1,-0.32107673725857844,0,0,0
0,5.0,subset_ridge,main,54,-1,0.6464531794335964,0,0,0
0,5.0,subset_ridge,main,55,-1,-0.05935180379620274,0,0,0
0,5.0,subset_ridge,main,56,-1,0.7809119873756915,0,0,0
0,5.0,subset_ridge,main,57,-1,0.7341812012081655,0,0,0
0,5.0,subset_ridge,main,58,-1,-0.36183057700046267,0,0,0
0,5.0,subset_ridge,main,59,-1,-1.1174472386640546,0,0,0
0,5.0,subset_ridge,main,60,-1,0.050269503150138846,0,0,0
0,5.0,subset_ridge,main,61,-1,0.22007863629124003,0,0,0
0,5.0,subset_ridge,main,62,-1,0.7503519324184525,0,0,0
0,5.0,subset_ridge,main,63,-1,0.6749972599564563,0,0,0
0,5.0,first_order_omp,main,0,-1,1.3145884031335273,1,0,0
0,5.0,first_order_omp,main,1,-1,0.0,1,0,0
0,5.0,first_order_omp,main,6,-1,0.0,0,1,0
0,5.0,first_order_omp,main,57,-1,0.6096066120059175,0,0,0
0,5.0,lifted_omp,main,0,-1,1.2735045250172041,1,0,0
0,5.0,lifted_omp,main,1,-1,0.0,1,0,0
0,5.0,lifted_omp,main,6,-1,0.0,0,1,0
0,5.0,lifted_omp,pair,2,3,0.0,0,0,1
0,5.0,lifted_omp,pair,4,5,0.0,0,0,1
