subset_idx,subset_name,mask_bits,heads,n_heads,n_P,n_B,n_E,has_P,has_B,has_E,P_B,P_E,B_E,ablation,position_mode,logit_diff_mean,logit_diff_std,drop_from_clean_mean,drop_from_clean_std,n_prompts
57,B:9.0|B:9.7|B:10.2|B:11.9|E:10.7,0001101000110,"9.0,9.7,10.2,11.9,10.7",5,0,4,1,0,1,1,0,0,1,mean,end,4.461071968078613,1.4325098991394043,-0.7122814655303955,0.563469409942627,256
58,B:9.0|B:9.7|B:10.1|B:10.6,0001110100000,"9.0,9.7,10.1,10.6",4,0,4,0,0,1,0,0,0,0,mean,end,3.2487361431121826,1.113307237625122,0.5000541806221008,0.4705705940723419,256
59,B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:11.9,0001111100100,"9.0,9.7,10.1,10.2,10.6,11.9",6,0,6,0,0,1,0,0,0,0,mean,end,3.151095390319824,1.0747992992401123,0.5976946353912354,0.6265223622322083,256
60,B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2,0001111111000,"9.0,9.7,10.1,10.2,10.6,10.10,11.2",7,0,7,0,0,1,0,0,0,0,mean,end,3.4456348419189453,1.1376802921295166,0.3031555414199829,0.6210857629776001,256
61,P:10.0|E:10.7|E:11.10,0010000000011,"10.0,10.7,11.10",3,1,0,2,1,0,1,0,1,0,mean,end,5.389782905578613,1.9451075792312622,-1.6409931182861328,1.1130086183547974,256
62,P:10.0|B:10.10,0010000010000,"10.0,10.10",2,1,1,0,1,1,0,1,0,0,mean,end,3.230638027191162,1.1329336166381836,0.5181521773338318,0.48801133036613464,256
63,P:10.0|B:10.10|B:11.2|B:11.9|E:11.10,0010000011101,"10.0,10.10,11.2,11.9,11.10",5,1,3,1,1,1,1,1,1,1,mean,end,3.7214322090148926,1.560316562652588,0.027358129620552063,1.0541317462921143,256
64,P:10.0|B:10.2|B:11.2|E:10.7,0010001001010,"10.0,10.2,11.2,10.7",4,1,2,1,1,1,1,1,1,1,mean,end,4.449370384216309,1.5610594749450684,-0.7005804181098938,0.9469736814498901,256
65,P:10.0|B:10.2|B:10.6|B:11.9|E:10.7,0010001100110,"10.0,10.2,10.6,11.9,10.7",5,1,3,1,1,1,1,1,1,1,mean,end,4.028125762939453,1.333791971206665,-0.27933570742607117,0.6096843481063843,256
66,P:10.0|B:10.2|B:10.6|B:10.10|B:11.2,0010001111000,"10.0,10.2,10.6,10.10,11.2",5,1,4,0,1,1,0,1,0,0,mean,end,3.1630325317382812,1.1450059413909912,0.5857577323913574,0.8553200960159302,256
67,P:10.0|B:10.1|B:11.9,0010010000100,"10.0,10.1,11.9",3,1,2,0,1,1,0,1,0,0,mean,end,3.167292594909668,1.1398450136184692,0.5814974904060364,0.5146800875663757,256
68,P:10.0|B:10.1|B:10.6|B:11.2|E:11.10,0010010101001,"10.0,10.1,10.6,11.2,11.10",5,1,3,1,1,1,1,1,1,1,mean,end,3.622864007949829,1.4693471193313599,0.12592613697052002,0.8714896440505981,256
69,P:10.0|B:10.1|B:10.6|B:10.10|E:10.7,0010010110010,"10.0,10.1,10.6,10.10,10.7",5,1,3,1,1,1,1,1,1,1,mean,end,3.906634569168091,1.351205825805664,-0.15784421563148499,0.5303037762641907,256
70,P:10.0|B:10.1|B:10.2|B:11.9|E:11.10,0010011000101,"10.0,10.1,10.2,11.9,11.10",5,1,3,1,1,1,1,1,1,1,mean,end,3.607978582382202,1.337792158126831,0.1408117264509201,0.5918445587158203,256
71,P:10.0|B:9.7,0010100000000,"10.0,9.7",2,1,1,0,1,1,0,1,0,0,mean,end,3.14607310295105,1.0947599411010742,0.6027170419692993,0.5467116832733154,256
72,P:10.0|B:9.7|B:10.2|E:10.7|E:11.10,0010101000011,"10.0,9.7,10.2,10.7,11.10",5,1,2,2,1,1,1,1,1,1,mean,end,5.13377046585083,1.7788664102554321,-1.3849802017211914,1.0116963386535645,256
73,P:10.0|B:9.7|B:10.2|B:11.9|E:11.10,0010101000101,"10.0,9.7,10.2,11.9,11.10",5,1,3,1,1,1,1,1,1,1,mean,end,3.6107890605926514,1.2736420631408691,0.13800126314163208,0.6257325410842896,256
74,P:10.0|B:9.7|B:10.1|B:11.2|B:11.9,0010110001100,"10.0,9.7,10.1,11.2,11.9",5,1,4,0,1,1,0,1,0,0,mean,end,3.1830015182495117,1.3673908710479736,0.5657888650894165,1.0441116094589233,256
75,P:10.0|B:9.7|B:10.1|B:10.6|B:11.2|E:10.7,0010110101010,"10.0,9.7,10.1,10.6,11.2,10.7",6,1,4,1,1,1,1,1,1,1,mean,end,3.963813543319702,1.4798407554626465,-0.21502317488193512,0.9356971383094788,256
76,P:10.0|B:9.7|B:10.1|B:10.2|B:10.10|B:11.2|E:10.7,0010111011010,"10.0,9.7,10.1,10.2,10.10,11.2,10.7",7,1,5,1,1,1,1,1,1,1,mean,end,4.014071464538574,1.4920119047164917,-0.26528146862983704,1.0138922929763794,256
77,P:10.0|B:9.7|B:10.1|B:10.2|B:10.10|B:11.2|B:11.9|E:10.7|E:11.10,0010111011111,"10.0,9.7,10.1,10.2,10.10,11.2,11.9,10.7,11.10",9,1,6,2,1,1,1,1,1,1,mean,end,4.776084899902344,1.7650213241577148,-1.0272948741912842,1.1889638900756836,256
78,P:10.0|B:9.0|B:10.2|E:10.7|E:11.10,0011001000011,"10.0,9.0,10.2,10.7,11.10",5,1,2,2,1,1,1,1,1,1,mean,end,5.321805953979492,1.8390165567398071,-1.5730152130126953,1.0163551568984985,256
79,P:10.0|B:9.0|B:9.7|B:10.2|B:10.6|B:10.10,0011101110000,"10.0,9.0,9.7,10.2,10.6,10.10",6,1,5,0,1,1,0,1,0,0,mean,end,2.820727825164795,0.9298786520957947,0.9280625581741333,0.5566133856773376,256
80,P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:11.9|E:10.7|E:11.10,0011111000111,"10.0,9.0,9.7,10.1,10.2,11.9,10.7,11.10",8,1,5,2,1,1,1,1,1,1,mean,end,4.870728015899658,1.7091931104660034,-1.1219375133514404,0.9480757713317871,256
81,P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:10.10|B:11.2|E:10.7,0011111011010,"10.0,9.0,9.7,10.1,10.2,10.10,11.2,10.7",8,1,6,1,1,1,1,1,1,1,mean,end,3.9778285026550293,1.5040570497512817,-0.2290382981300354,1.049436330795288,256
82,P:9.6|B:10.2|E:11.10,0100001000001,"9.6,10.2,11.10",3,1,1,1,1,1,1,1,1,1,mean,end,4.5832719802856445,1.6108713150024414,-0.8344818949699402,0.6506305932998657,256
83,P:9.6|B:10.2|E:10.7|E:11.10,0100001000011,"9.6,10.2,10.7,11.10",4,1,1,2,1,1,1,1,1,1,mean,end,5.6336164474487305,1.9767175912857056,-1.8848258256912231,1.0510817766189575,256
84,P:9.6|B:10.2|B:10.6,0100001100000,"9.6,10.2,10.6",3,1,2,0,1,1,0,1,0,0,mean,end,3.5807456970214844,1.2215452194213867,0.16804474592208862,0.5358457565307617,256
85,P:9.6|B:10.2|B:10.6|B:10.10|B:11.2,0100001111000,"9.6,10.2,10.6,10.10,11.2",5,1,4,0,1,1,0,1,0,0,mean,end,3.7953310012817383,1.288703203201294,-0.046540651470422745,0.6527159214019775,256
86,P:9.6|B:10.1|B:11.2|E:11.10,0100010001001,"9.6,10.1,11.2,11.10",4,1,2,1,1,1,1,1,1,1,mean,end,4.831643104553223,1.8845384120941162,-1.0828533172607422,0.9638017416000366,256
87,P:9.6|B:9.7|B:10.2|B:10.10|B:11.2|B:11.9,0100101011100,"9.6,9.7,10.2,10.10,11.2,11.9",6,1,5,0,1,1,0,1,0,0,mean,end,3.800405740737915,1.3235145807266235,-0.05161554738879204,0.7435756921768188,256
88,P:9.6|B:9.7|B:10.2|B:10.6|B:10.10|B:11.9|E:11.10,0100101110101,"9.6,9.7,10.2,10.6,10.10,11.9,11.10",7,1,5,1,1,1,1,1,1,1,mean,end,3.6287665367126465,1.3583860397338867,0.1200236976146698,0.736046314239502,256
89,P:9.6|B:9.7|B:10.1|B:10.10|B:11.2|B:11.9,0100110011100,"9.6,9.7,10.1,10.10,11.2,11.9",6,1,5,0,1,1,0,1,0,0,mean,end,3.733428716659546,1.4563164710998535,0.01536153256893158,0.8362225294113159,256
90,P:9.6|B:9.7|B:10.1|B:10.6|B:11.2|E:10.7,0100110101010,"9.6,9.7,10.1,10.6,11.2,10.7",6,1,4,1,1,1,1,1,1,1,mean,end,4.344452381134033,1.6757471561431885,-0.5956620573997498,0.9418556094169617,256
91,P:9.6|B:9.0|E:10.7,0101000000010,"9.6,9.0,10.7",3,1,1,1,1,1,1,1,1,1,mean,end,4.634957790374756,1.7195059061050415,-0.8861677646636963,0.7806177735328674,256
92,P:9.6|B:9.0|B:10.6|B:10.10|E:11.10,0101000110001,"9.6,9.0,10.6,10.10,11.10",5,1,3,1,1,1,1,1,1,1,mean,end,4.030037879943848,1.5516263246536255,-0.2812478244304657,0.6911852955818176,256
93,P:9.6|B:9.0|B:10.1|B:10.6|B:11.9|E:10.7,0101010100110,"9.6,9.0,10.1,10.6,11.9,10.7",6,1,4,1,1,1,1,1,1,1,mean,end,4.189455032348633,1.5574142932891846,-0.4406648278236389,0.6777406334877014,256
94,P:9.6|B:9.0|B:9.7,0101100000000,"9.6,9.0,9.7",3,1,2,0,1,1,0,1,0,0,mean,end,3.721447706222534,1.2949190139770508,0.027342859655618668,0.43167543411254883,256
95,P:9.6|B:9.0|B:9.7|B:10.2|B:10.6|E:10.7|E:11.10,0101101100011,"9.6,9.0,9.7,10.2,10.6,10.7,11.10",7,1,4,2,1,1,1,1,1,1,mean,end,5.093587398529053,1.8093316555023193,-1.3447967767715454,0.9918078780174255,256
96,P:9.6|B:9.0|B:9.7|B:10.1|B:10.6|B:11.9,0101110100100,"9.6,9.0,9.7,10.1,10.6,11.9",6,1,5,0,1,1,0,1,0,0,mean,end,3.3116581439971924,1.2046597003936768,0.43713223934173584,0.5444788336753845,256
97,P:9.6|P:10.0|B:11.2|E:11.10,0110000001001,"9.6,10.0,11.2,11.10",4,2,1,1,1,1,1,1,1,1,mean,end,4.191431045532227,1.9183305501937866,-0.44264090061187744,1.3170583248138428,256
98,P:9.6|P:10.0|B:11.2|B:11.9|E:10.7|E:11.10,0110000001111,"9.6,10.0,11.2,11.9,10.7,11.10",6,2,2,2,1,1,1,1,1,1,mean,end,5.15418815612793,2.2116596698760986,-1.4053981304168701,1.5718555450439453,256
99,P:9.6|P:10.0|B:10.6|B:10.10,0110000110000,"9.6,10.0,10.6,10.10",4,2,2,0,1,1,0,1,0,0,mean,end,3.1148324012756348,1.1728280782699585,0.6339578628540039,0.5093173384666443,256
100,P:9.6|P:10.0|B:10.2|B:10.10,0110001010000,"9.6,10.0,10.2,10.10",4,2,2,0,1,1,0,1,0,0,mean,end,3.2660770416259766,1.2074146270751953,0.48271337151527405,0.600864827632904,256
101,P:9.6|P:10.0|B:9.7,0110100000000,"9.6,10.0,9.7",3,2,1,0,1,1,0,1,0,0,mean,end,3.2396717071533203,1.277571678161621,0.509118378162384,0.7064641118049622,256
102,P:9.6|P:10.0|B:9.7|B:10.2|B:11.2|B:11.9|E:10.7,0110101001110,"9.6,10.0,9.7,10.2,11.2,11.9,10.7",7,2,4,1,1,1,1,1,1,1,mean,end,3.9110703468322754,1.6840887069702148,-0.16227994859218597,1.2594228982925415,256
