model,term,coef
additive_head,intercept,-0.4292541624117302
additive_head,P:9.9,0.9204516234328349
additive_head,P:9.6,0.05321561503862022
additive_head,P:10.0,0.47615654478465635
additive_head,B:9.0,-0.016794582604297965
additive_head,B:9.7,0.280802840363656
additive_head,B:10.1,0.1558802255323675
additive_head,B:10.2,0.09654366976766311
additive_head,B:10.6,0.2814142964641817
additive_head,B:10.10,0.30181273965768796
additive_head,B:11.2,-0.18695980126437384
additive_head,B:11.9,0.22279553070902516
additive_head,E:10.7,-0.6331348495379839
additive_head,E:11.10,-0.6428874750883634
pb_group_interaction,intercept,-0.40642946154258813
pb_group_interaction,P:9.9,0.9692654089416056
pb_group_interaction,P:9.6,0.10993964286609625
pb_group_interaction,P:10.0,0.5312934791863034
pb_group_interaction,B:9.0,-0.017302885996220846
pb_group_interaction,B:9.7,0.28511746552994716
pb_group_interaction,B:10.1,0.15720440544625117
pb_group_interaction,B:10.2,0.11232699067858133
pb_group_interaction,B:10.6,0.2861745282181161
pb_group_interaction,B:10.10,0.30127400325275183
pb_group_interaction,B:11.2,-0.17047341465455676
pb_group_interaction,B:11.9,0.21711591621866644
pb_group_interaction,E:10.7,-0.6245316682481268
pb_group_interaction,E:11.10,-0.6359196620096679
pb_group_interaction,P_B,-0.16597384968099863
group_interaction,intercept,-0.3345071809795045
group_interaction,P:9.9,0.918885219699255
group_interaction,P:9.6,0.11431859114248105
group_interaction,P:10.0,0.5217234987110864
group_interaction,B:9.0,-0.004523316702520823
group_interaction,B:9.7,0.28984205152541026
group_interaction,B:10.1,0.13502466820801437
group_interaction,B:10.2,0.11653545765910386
group_interaction,B:10.6,0.29743513527039467
group_interaction,B:10.10,0.31392995028147985
group_interaction,B:11.2,-0.1834316153358397
group_interaction,B:11.9,0.229066490659755
group_interaction,E:10.7,-0.7648073008993025
group_interaction,E:11.10,-0.7720573341471667
group_interaction,P_B,-0.3544137901787214
group_interaction,P_E,0.39384647084394275
group_interaction,B_E,-0.015867894901509357
