model,n_rows,mae,rmse,r2,columns,n_params,bootstrap
additive_head,159,0.325839286742762,0.40312233525529334,0.7426817629437282,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,7
pb_group_interaction,159,0.32605623293431174,0.4058535413168446,0.7391832226206778,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,7
group_interaction,159,0.31607113914820617,0.3941187753587876,0.7540475833260565,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,7
additive_head,159,0.3321966404707988,0.4095636461301347,0.7284366259457565,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,8
pb_group_interaction,159,0.33269343729590717,0.41256128997742486,0.7244468707547391,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,8
group_interaction,159,0.322850826180167,0.40146478912635364,0.7390704190642334,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,8
additive_head,159,0.34113417426118636,0.41987475569355176,0.7443625510035853,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,9
pb_group_interaction,159,0.3417892118629381,0.4231242592222927,0.740390370030197,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B",15,9
group_interaction,159,0.33126614480986555,0.4111683694383698,0.7548542648838594,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10,P_B,P_E,B_E",17,9
additive_head,159,0.32704180813757416,0.40488813222913844,0.7436846062433211,"intercept,P:9.9,P:9.6,P:10.0,B:9.0,B:9.7,B:10.1,B:10.2,B:10.6,B:10.10,B:11.2,B:11.9,E:10.7,E:11.10",14,10
