epsilon,m_gain,holdout_r2_mean,holdout_r2_std,gain_mean,gain_std,repeats,omp_holdout_r2,ridge_holdout_r2,atp_calibrated_holdout_r2,omp_minus_budgeted_atp_r2,ridge_minus_budgeted_atp_r2
0.6,0,0.5482927327900782,,1.0,,1,0.9793258669992128,0.9853382724868819,0.9841707452020888,0.4310331342091346,0.4370455396968037
0.6,1,-4.433630149393059,19.90685246939164,0.25813844908156897,1.3757458130172509,50,0.9793258669992128,0.9853382724868819,0.9841707452020888,5.412956016392272,5.41896842187994
0.6,2,0.8778843584991998,0.4925201047030606,0.6413208114951269,0.19482991595833654,50,0.9793258669992128,0.9853382724868819,0.9841707452020888,0.10144150850001299,0.10745391398768211
0.6,4,0.9779905511507966,0.014014489386755055,0.6065365274784927,0.04854663534964877,50,0.9793258669992128,0.9853382724868819,0.9841707452020888,0.0013353158484161742,0.0073477213360853
0.6,8,0.9811025630594219,0.004572337989911294,0.624232588512102,0.026451554616603108,50,0.9793258669992128,0.9853382724868819,0.9841707452020888,-0.0017766960602091375,0.004235709427459988
0.6,16,0.9831210262926855,0.0021472534634295083,0.614093235023996,0.017746044770078958,50,0.9793258669992128,0.9853382724868819,0.9841707452020888,-0.0037951592934727385,0.0022172461941963872
0.6,32,0.9839726926807169,0.0006221293769158308,0.608757001483376,0.010315772778822773,50,0.9793258669992128,0.9853382724868819,0.9841707452020888,-0.0046468256815040965,0.0013655798061650293
0.6,64,0.9840422911379183,0.0002989095759337418,0.6117514903489452,0.005210886674546856,50,0.9793258669992128,0.9853382724868819,0.9841707452020888,-0.004716424138705544,0.0012959813489635819
0.6,96,0.9841299574094068,,0.6114887651730818,,1,0.9793258669992128,0.9853382724868819,0.9841707452020888,-0.0048040904101940285,0.0012083150774750973
1.2,0,0.4259471978179168,,1.0,,1,0.971449151610416,0.9653180474316999,0.9799081380110497,0.5455019537924992,0.5393708496137831
1.2,1,-1.7405884348461382,10.21980956294787,0.2674854564561682,0.9093780309109606,50,0.971449151610416,0.9653180474316999,0.9799081380110497,2.712037586456554,2.7059064822778383
1.2,2,0.7455586037320268,1.4695361869527475,0.569286676886609,0.28187836141683303,50,0.971449151610416,0.9653180474316999,0.9799081380110497,0.22589054787838925,0.21975944369967315
1.2,4,0.9649342049667097,0.028076548838062813,0.5873125390271293,0.07021218809788558,50,0.971449151610416,0.9653180474316999,0.9799081380110497,0.006514946643706332,0.0003838424649902361
1.2,8,0.9748272866267074,0.006440190294734257,0.5604420306872465,0.04158810379471782,50,0.971449151610416,0.9653180474316999,0.9799081380110497,-0.0033781350162913615,-0.009509239195007457
1.2,16,0.9771036490510769,0.002798196944046263,0.5627521998796567,0.031687159189383064,50,0.971449151610416,0.9653180474316999,0.9799081380110497,-0.005654497440660933,-0.011785601619377029
1.2,32,0.9789498168287217,0.0013509916003967843,0.5587723514773039,0.017164848341578047,50,0.971449151610416,0.9653180474316999,0.9799081380110497,-0.007500665218305724,-0.01363176939702182
1.2,64,0.9795797634348221,0.000684097011010107,0.5589324628692668,0.009241475726221337,50,0.971449151610416,0.9653180474316999,0.9799081380110497,-0.008130611824406109,-0.014261716003122205
1.2,96,0.9798639364866641,,0.5593728075389206,,1,0.971449151610416,0.9653180474316999,0.9799081380110497,-0.008414784876248138,-0.014545889054964234
2.0,0,0.2354421190540087,,1.0,,1,0.9653409035221038,0.974011783839428,0.9745614096343098,0.7298987844680951,0.7385696647854193
2.0,1,-23.53430788141249,152.79958782306605,-0.10229879794184114,2.630130444342364,50,0.9653409035221038,0.974011783839428,0.9745614096343098,24.499648784934596,24.508319665251918
2.0,2,0.7599073762719355,1.2087912526717361,0.5489613332744185,0.2529882339075815,50,0.9653409035221038,0.974011783839428,0.9745614096343098,0.20543352725016828,0.2141044075674925
2.0,4,0.963323718330977,0.013607265636119258,0.5340810637740724,0.05803065921314406,50,0.9653409035221038,0.974011783839428,0.9745614096343098,0.0020171851911268135,0.010688065508451028
2.0,8,0.9650036911774245,0.014539970660822089,0.542625750495614,0.05289660122735255,50,0.9653409035221038,0.974011783839428,0.9745614096343098,0.00033721234467931627,0.00900809266200353
2.0,16,0.9708157870360019,0.004971138625570894,0.5423152599931469,0.032626821765541575,50,0.9653409035221038,0.974011783839428,0.9745614096343098,-0.005474883513898132,0.003195996803426082
2.0,32,0.9732244830299512,0.0014079845452450077,0.5308506453182072,0.01980979522532589,50,0.9653409035221038,0.974011783839428,0.9745614096343098,-0.00788357950784746,0.0007873008094767542
2.0,64,0.9742717582685307,0.00039883739472509693,0.5310929952970017,0.008994768717150593,50,0.9653409035221038,0.974011783839428,0.9745614096343098,-0.008930854746426964,-0.0002599744291027495
2.0,96,0.974550833570744,,0.5314842579095433,,1,0.9653409035221038,0.974011783839428,0.9745614096343098,-0.009209930048640236,-0.0005390497313160214
5.0,0,-0.18771430947699197,,1.0,,1,0.963040227404057,0.9527029407191775,0.9734724399911755,1.150754536881049,1.1404172501961694
5.0,1,0.5603652971890323,1.2872844848000784,0.4683666451593718,0.3143675897530847,50,0.963040227404057,0.9527029407191775,0.9734724399911755,0.40267493021502476,0.3923376435301452
5.0,2,0.8462648790584473,0.6103336060291011,0.47496705830193064,0.17465536649188293,50,0.963040227404057,0.9527029407191775,0.9734724399911755,0.11677534834560976,0.10643806166073022
5.0,4,0.9445455217130743,0.04015399601714737,0.48558050735691877,0.08331498385744263,50,0.963040227404057,0.9527029407191775,0.9734724399911755,0.01849470569098277,0.008157419006103228
5.0,8,0.9630550928379598,0.013280371261137208,0.46962820626092877,0.04995841634083212,50,0.963040227404057,0.9527029407191775,0.9734724399911755,-1.4865433902722103e-05,-0.010352152118782265
5.0,16,0.9690122023210945,0.005359721635951841,0.4642772944858588,0.03079851451196936,50,0.963040227404057,0.9527029407191775,0.9734724399911755,-0.0059719749170374925,-0.016309261601917036
5.0,32,0.9706245088569151,0.0027591089237291168,0.4581682274069003,0.018765876199257885,50,0.963040227404057,0.9527029407191775,0.9734724399911755,-0.007584281452858055,-0.017921568137737598
5.0,64,0.9717915885672391,0.0017169091883262662,0.45918593972538824,0.010643011561922277,50,0.963040227404057,0.9527029407191775,0.9734724399911755,-0.008751361163182092,-0.019088647848061635
5.0,96,0.9720321927725589,,0.4577951022610192,,1,0.963040227404057,0.9527029407191775,0.9734724399911755,-0.008991965368501886,-0.01932925205338143
8.0,0,-0.7918604003831333,,1.0,,1,0.964801373931752,0.9616695178242531,0.9731135605785488,1.7566617743148853,1.7535299182073865
8.0,1,-18.69533681039685,138.07343124381796,0.18736080300092403,1.9194527126080165,50,0.964801373931752,0.9616695178242531,0.9731135605785488,19.660138184328602,19.6570063282211
8.0,2,-3.6059298242095092,31.70999832025618,0.28544459698380636,0.922538070326343,50,0.964801373931752,0.9616695178242531,0.9731135605785488,4.570731198141261,4.567599342033763
8.0,4,0.9455370344673937,0.04267946067380196,0.43024205336385385,0.07242103050641337,50,0.964801373931752,0.9616695178242531,0.9731135605785488,0.01926433946435835,0.01613248335685946
8.0,8,0.9614668014532292,0.017875567902314402,0.422074579512921,0.04702549717869455,50,0.964801373931752,0.9616695178242531,0.9731135605785488,0.003334572478522868,0.000202716371023981
8.0,16,0.9677570922639608,0.006130295234085266,0.41098782665956746,0.028170322216152562,50,0.964801373931752,0.9616695178242531,0.9731135605785488,-0.0029557183322087566,-0.006087574439707644
8.0,32,0.9705486071955864,0.002417848376896951,0.40916052282020027,0.014209326948781973,50,0.964801373931752,0.9616695178242531,0.9731135605785488,-0.005747233263834417,-0.008879089371333304
8.0,64,0.9713867034495434,0.0013326803905628023,0.4100639773656593,0.0085550798394942,50,0.964801373931752,0.9616695178242531,0.9731135605785488,-0.0065853295177913385,-0.009717185625290226
8.0,96,0.9719494172596439,,0.4111213973730406,,1,0.964801373931752,0.9616695178242531,0.9731135605785488,-0.007148043327891873,-0.01027989943539076
