epsilon,m_gain,holdout_r2_mean,holdout_r2_std,gain_mean,gain_std,repeats
0.6,0,0.5482927327900782,,1.0,,1
0.6,1,-4.433630149393059,19.90685246939164,0.25813844908156897,1.3757458130172509,50
0.6,2,0.8778843584991998,0.4925201047030606,0.6413208114951269,0.19482991595833654,50
0.6,4,0.9779905511507966,0.014014489386755055,0.6065365274784927,0.04854663534964877,50
0.6,8,0.9811025630594219,0.004572337989911294,0.624232588512102,0.026451554616603108,50
0.6,16,0.9831210262926855,0.0021472534634295083,0.614093235023996,0.017746044770078958,50
0.6,32,0.9839726926807169,0.0006221293769158308,0.608757001483376,0.010315772778822773,50
0.6,64,0.9840422911379183,0.0002989095759337418,0.6117514903489452,0.005210886674546856,50
0.6,96,0.9841299574094068,,0.6114887651730818,,1
1.2,0,0.4259471978179168,,1.0,,1
1.2,1,-1.7405884348461382,10.21980956294787,0.2674854564561682,0.9093780309109606,50
1.2,2,0.7455586037320268,1.4695361869527475,0.569286676886609,0.28187836141683303,50
1.2,4,0.9649342049667097,0.028076548838062813,0.5873125390271293,0.07021218809788558,50
1.2,8,0.9748272866267074,0.006440190294734257,0.5604420306872465,0.04158810379471782,50
1.2,16,0.9771036490510769,0.002798196944046263,0.5627521998796567,0.031687159189383064,50
1.2,32,0.9789498168287217,0.0013509916003967843,0.5587723514773039,0.017164848341578047,50
1.2,64,0.9795797634348221,0.000684097011010107,0.5589324628692668,0.009241475726221337,50
1.2,96,0.9798639364866641,,0.5593728075389206,,1
2.0,0,0.2354421190540087,,1.0,,1
2.0,1,-23.53430788141249,152.79958782306605,-0.10229879794184114,2.630130444342364,50
2.0,2,0.7599073762719355,1.2087912526717361,0.5489613332744185,0.2529882339075815,50
2.0,4,0.963323718330977,0.013607265636119258,0.5340810637740724,0.05803065921314406,50
2.0,8,0.9650036911774245,0.014539970660822089,0.542625750495614,0.05289660122735255,50
2.0,16,0.9708157870360019,0.004971138625570894,0.5423152599931469,0.032626821765541575,50
2.0,32,0.9732244830299512,0.0014079845452450077,0.5308506453182072,0.01980979522532589,50
2.0,64,0.9742717582685307,0.00039883739472509693,0.5310929952970017,0.008994768717150593,50
2.0,96,0.974550833570744,,0.5314842579095433,,1
5.0,0,-0.18771430947699197,,1.0,,1
5.0,1,0.5603652971890323,1.2872844848000784,0.4683666451593718,0.3143675897530847,50
5.0,2,0.8462648790584473,0.6103336060291011,0.47496705830193064,0.17465536649188293,50
5.0,4,0.9445455217130743,0.04015399601714737,0.48558050735691877,0.08331498385744263,50
5.0,8,0.9630550928379598,0.013280371261137208,0.46962820626092877,0.04995841634083212,50
5.0,16,0.9690122023210945,0.005359721635951841,0.4642772944858588,0.03079851451196936,50
5.0,32,0.9706245088569151,0.0027591089237291168,0.4581682274069003,0.018765876199257885,50
5.0,64,0.9717915885672391,0.0017169091883262662,0.45918593972538824,0.010643011561922277,50
5.0,96,0.9720321927725589,,0.4577951022610192,,1
8.0,0,-0.7918604003831333,,1.0,,1
8.0,1,-18.69533681039685,138.07343124381796,0.18736080300092403,1.9194527126080165,50
8.0,2,-3.6059298242095092,31.70999832025618,0.28544459698380636,0.922538070326343,50
8.0,4,0.9455370344673937,0.04267946067380196,0.43024205336385385,0.07242103050641337,50
8.0,8,0.9614668014532292,0.017875567902314402,0.422074579512921,0.04702549717869455,50
8.0,16,0.9677570922639608,0.006130295234085266,0.41098782665956746,0.028170322216152562,50
8.0,32,0.9705486071955864,0.002417848376896951,0.40916052282020027,0.014209326948781973,50
8.0,64,0.9713867034495434,0.0013326803905628023,0.4100639773656593,0.0085550798394942,50
8.0,96,0.9719494172596439,,0.4111213973730406,,1
