m_gain,repeat,gain,holdout_r2,n_train_available,epsilon
0,0,1.0,0.5482927327900782,96,0.6
1,0,0.5863541232308859,0.9837717992035353,96,0.6
1,1,0.5903198716521528,0.9840588764674624,96,0.6
1,2,0.6286859232604775,0.9823756210222884,96,0.6
1,3,0.6443006344804902,0.9793755703545747,96,0.6
1,4,0.15247260457685097,0.4306072731012677,96,0.6
1,5,0.699205552439823,0.9581927401558288,96,0.6
1,6,0.5421957922839777,0.9747387621099662,96,0.6
1,7,0.7959331376720734,0.8805918288636574,96,0.6
1,8,-2.7028117730760974,-29.00307632866309,96,0.6
1,9,0.5630402636817943,0.9803373967131559,96,0.6
1,10,1.6450363924541809,-2.0063187348319214,96,0.6
1,11,-3.462659309936998,-44.380355809511194,96,0.6
1,12,0.4873698470245499,0.9486187553104418,96,0.6
1,13,0.5838129692744087,0.9835424342753294,96,0.6
1,14,0.5113245428695232,0.9620622182132416,96,0.6
1,15,0.6387576566961741,0.9805938692266547,96,0.6
1,16,0.7699981998187683,0.9064409710095547,96,0.6
1,17,0.4873698470245499,0.9486187553104418,96,0.6
1,18,-5.269054768109248,-93.66860528563943,96,0.6
1,19,0.8003901488936662,0.8757775335310097,96,0.6
1,20,0.699205552439823,0.9581927401558288,96,0.6
1,21,0.6136013799265885,0.984001966735971,96,0.6
1,22,0.6387576566961741,0.9805938692266547,96,0.6
1,23,0.6240200434973574,0.9830121863210813,96,0.6
1,24,0.7804692177962007,0.8964493078982102,96,0.6
1,25,0.5599017911639588,0.9796470520643592,96,0.6
1,26,0.9353826729092619,0.6782625044346071,96,0.6
1,27,0.6286859232604775,0.9823756210222884,96,0.6
1,28,0.5421957922839777,0.9747387621099662,96,0.6
1,29,0.17865569354560334,0.49330659473209826,96,0.6
1,30,0.699728342646518,0.957911458366445,96,0.6
1,31,0.5988071910901841,0.984382984121257,96,0.6
1,32,0.6708812296731929,0.9711882785922834,96,0.6
1,33,0.17865569354560334,0.49330659473209826,96,0.6
1,34,0.5942763334053456,0.9842591965422247,96,0.6
1,35,0.5599017911639588,0.9796470520643592,96,0.6
1,36,0.5399423678257359,0.973990561211233,96,0.6
1,37,0.6773155697356766,0.9686229590930072,96,0.6
1,38,0.6431028363135588,0.9796531304719327,96,0.6
1,39,0.9061122942012592,0.7295886205667763,96,0.6
1,40,0.5399423678257359,0.973990561211233,96,0.6
1,41,0.5863541232308859,0.9837717992035353,96,0.6
