epsilon,component,layer,bin,token_start,token_end_exclusive,finite_effect,atp_effect,atp_calibrated_effect,ridge_effect,omp_effect
0.6,0,0,0,0,7,-0.01898418366909027,-0.04195852428674698,-0.02562466371187214,0.0018614951637699534,0.0
0.6,1,0,1,7,15,-0.013311244547367096,-0.025818664580583572,-0.015767823311556496,-0.04891138373574097,0.0
0.6,2,0,2,15,23,0.014838013797998428,0.031162738054990768,0.019031524501268604,0.005163458262240872,0.0
0.6,3,0,3,23,31,0.034803248941898346,0.0844077855348587,0.051549027420818044,0.018763076491681345,0.03895098787360858
0.6,4,0,4,31,39,0.0028903079219162464,0.07987088263034821,0.04877827670453944,0.042706409042911675,0.06320975289640741
0.6,5,0,5,39,47,0.014135397970676422,-0.028889518976211545,-0.017643237486238184,0.06401067956981775,0.06016348062075081
0.6,6,0,6,47,55,0.09944256395101547,0.062076267600059507,0.03791085384387893,0.08431416996923499,0.08791905573275759
0.6,7,0,7,55,63,1.11215078830719,1.7041524410247801,1.0407499776825824,1.031453157314534,1.0508175022664141
0.6,8,1,0,0,7,0.008621119894087315,0.005956540256738662,0.0036377433086551107,0.029793531252246642,0.0
0.6,9,1,1,7,15,0.03368978947401047,0.03452299162745476,0.02108367884284072,0.07951375416152293,0.0
0.6,10,1,2,15,23,0.040681201964616776,0.08217382729053498,0.0501847175521976,0.00846688673357455,0.0
0.6,11,1,3,23,31,0.06297366321086884,0.12390060424804687,0.07566784989520677,0.021409790094321736,0.0
0.6,12,1,4,31,39,0.0560939759016037,0.09475218057632447,0.057866495652751156,0.018926122167793866,0.0
0.6,13,1,5,39,47,0.0515272356569767,-0.012916919589042663,-0.007888545326344068,0.030871423302283135,0.0
0.6,14,1,6,47,55,0.07172063738107681,0.07163815498352051,0.04375043359119081,0.08153711071447224,0.06607191333187763
0.6,15,1,7,55,63,0.9568727612495422,1.5550439357757568,0.9496873064247899,0.9268281957712278,0.9138965273628419
0.6,16,2,0,0,7,0.004219846799969673,0.003392332512885332,0.002071745403805674,0.006968366340867833,0.0
0.6,17,2,1,7,15,0.029992977157235146,0.03398146480321884,0.02075296075878297,0.02435991131660593,0.0
0.6,18,2,2,15,23,0.036621902137994766,0.08678165674209594,0.052998784113046704,0.04941186073399113,0.0
0.6,19,2,3,23,31,0.06467360258102417,0.10872333347797393,0.06639887616082812,0.005517178144379396,0.0
0.6,20,2,4,31,39,0.046701736748218536,0.10026289522647858,0.06123196696335416,0.05234696697601233,0.06356729216210891
0.6,21,2,5,39,47,0.05756773054599762,0.05681665241718292,0.03469873252631296,0.04712032037333601,0.0
0.6,22,2,6,47,55,0.03833916038274765,0.07884562611579894,0.04815213806286111,0.02678616655040779,0.0
0.6,23,2,7,55,63,1.0489416122436523,1.6166088581085205,0.9872858744879401,0.998950852046193,1.009164419192992
0.6,24,3,0,0,7,0.0,0.0,0.0,-0.052053302038359374,-0.04345482844862855
0.6,25,3,1,7,15,0.0,0.0,0.0,-0.0295235842580922,0.0
0.6,26,3,2,15,23,0.0,0.0,0.0,-0.05239467679676888,0.0
0.6,27,3,3,23,31,0.0,0.0,0.0,-0.04559509308715624,0.0
0.6,28,3,4,31,39,0.0,0.0,0.0,0.01839097968567973,0.0
0.6,29,3,5,39,47,0.0,0.0,0.0,0.0031357709698739,0.0
0.6,30,3,6,47,55,0.0,0.0,0.0,0.0014403255190011926,0.0
0.6,31,3,7,55,63,0.6790094375610352,1.0297999620437621,0.6289133892681994,0.6772005967468779,0.6875859097790036
1.2,0,0,0,0,7,-0.046969980001449585,-0.08391704857349395,-0.046994552913155754,0.04570979196924163,0.0
1.2,1,0,1,7,15,-0.00841953419148922,-0.051637329161167145,-0.028917523182827944,-0.07848218668157116,0.0
1.2,2,0,2,15,23,0.01035856269299984,0.062325476109981535,0.03490301356729666,-0.03642548668429662,0.0
1.2,3,0,3,23,31,0.030630655586719513,0.1688155710697174,0.09453874298560934,-0.0376559983001227,0.0
1.2,4,0,4,31,39,-0.005222841165959835,0.15974176526069642,0.08945730298665273,0.08247931807078274,0.0
1.2,5,0,5,39,47,0.0029122717678546906,-0.05777903795242309,-0.032356953711835335,0.10665334207344446,0.0
1.2,6,0,6,47,55,0.19377291202545166,0.12415253520011901,0.06952690763015358,0.12721784300417208,0.0
1.2,7,0,7,55,63,2.076174259185791,3.4083048820495603,1.9086915811078349,1.9152397963254966,1.894987630759177
1.2,8,1,0,0,7,0.025561150163412094,0.011913080513477324,0.006671467861014944,0.023753225799940988,0.0
1.2,9,1,1,7,15,0.060263365507125854,0.06904598325490952,0.03866657811102534,0.21213024488219503,0.0
1.2,10,1,2,15,23,0.06263604015111923,0.16434765458106995,0.09203665620578873,0.005072010389264356,0.0
1.2,11,1,3,23,31,0.08475819230079651,0.24780120849609374,0.13877164655540455,-0.004250431191496389,0.0
1.2,12,1,4,31,39,0.06345468759536743,0.18950436115264893,0.10612471337886024,0.07437815845594024,0.0
1.2,13,1,5,39,47,0.07969123125076294,-0.025833839178085325,-0.014467259547876388,0.07086990975862865,0.0
1.2,14,1,6,47,55,0.0797017365694046,0.14327630996704102,0.08023645069036145,0.12603084752687188,0.0
1.2,15,1,7,55,63,1.8939104080200195,3.1100878715515137,1.7416864812182729,1.7304569007344839,1.6424034809335177
1.2,16,2,0,0,7,0.02054506354033947,0.006784665025770664,0.0037994937259069224,0.005892052647328089,0.0
1.2,17,2,1,7,15,0.05031163990497589,0.06796292960643768,0.03806005508791973,0.02353208672563111,0.0
1.2,18,2,2,15,23,0.05979505181312561,0.17356331348419188,0.09719753563749402,0.10102009796302253,0.0
1.2,19,2,3,23,31,0.09492777287960052,0.21744666695594786,0.1217727395059788,-0.10729450466562036,0.0
1.2,20,2,4,31,39,0.07068958878517151,0.20052579045295715,0.11229684587442013,0.1120120933094234,0.0
1.2,21,2,5,39,47,0.12547367811203003,0.11363330483436584,0.0636360125565963,0.10104900092362247,0.0
1.2,22,2,6,47,55,0.09457296133041382,0.15769125223159788,0.0883089911157855,-0.03509476694478965,0.0
1.2,23,2,7,55,63,2.0228147506713867,3.233217716217041,1.8106406698925213,1.804347483230409,1.809712049466977
1.2,24,3,0,0,7,0.0,0.0,0.0,-0.1395384032691799,0.0
1.2,25,3,1,7,15,0.0,0.0,0.0,-0.09042623331360361,0.0
1.2,26,3,2,15,23,0.0,0.0,0.0,-0.10361507211836131,0.0
1.2,27,3,3,23,31,0.0,0.0,0.0,-0.011147633875160955,0.0
1.2,28,3,4,31,39,0.0,0.0,0.0,0.036650240136710345,0.0
1.2,29,3,5,39,47,0.0,0.0,0.0,-0.025359985633467214,0.0
1.2,30,3,6,47,55,0.0,0.0,0.0,-0.0033677518381801624,0.0
1.2,31,3,7,55,63,1.3990662097930908,2.0595999240875242,1.1534006409638533,1.2752713844379258,1.3146658504372999
2.0,0,0,0,0,7,-0.07476913928985596,-0.13986174762248993,-0.07510251697003194,0.1421204843573504,0.0
2.0,1,0,1,7,15,-0.02200906351208687,-0.08606221526861191,-0.046213414979880685,-0.056088174559426475,0.0
2.0,2,0,2,15,23,0.003295794129371643,0.1038757935166359,0.0557788936429979,-0.09384035026993653,0.0
2.0,3,0,3,23,31,0.015614455565810204,0.2813592851161957,0.15108341518905263,-0.06048701102764681,0.0
2.0,4,0,4,31,39,-0.0410844050347805,0.266236275434494,0.14296270948813714,0.12821735612351612,0.0
2.0,5,0,5,39,47,0.00011568516492843628,-0.09629839658737183,-0.051710007109384955,0.11218559488113794,0.0
2.0,6,0,6,47,55,0.24154525995254517,0.20692089200019836,0.11111172330582368,0.2696728628780319,0.0
2.0,7,0,7,55,63,3.207705020904541,5.680508136749268,3.050301215241038,3.0536215525712755,3.0479623650851724
2.0,8,1,0,0,7,0.03550761193037033,0.019855134189128876,0.01066174688740648,-0.010813570326466515,0.0
2.0,9,1,1,7,15,0.08323131501674652,0.11507663875818253,0.06179348794152281,0.23596940861501417,0.0
2.0,10,1,2,15,23,0.08966495096683502,0.2739127576351166,0.14708480251602163,0.011960828583395148,0.0
2.0,11,1,3,23,31,0.07634440809488297,0.41300201416015625,0.22177250967034862,0.0423637009943229,0.0
2.0,12,1,4,31,39,0.058315690606832504,0.31584060192108154,0.16959908315766573,0.10782724983088506,0.0
2.0,13,1,5,39,47,0.08862916380167007,-0.04305639863014221,-0.02312028816854811,-0.003399066103188664,0.0
2.0,14,1,6,47,55,0.12563581764698029,0.23879384994506836,0.12822676301918987,0.2142774076139028,0.0
2.0,15,1,7,55,63,3.0393874645233154,5.1834797859191895,2.783408510213802,2.7379095889808855,2.5771112637347287
2.0,16,2,0,0,7,0.035527125000953674,0.011307775042951107,0.006072013123622516,0.050001249450024744,0.0
2.0,17,2,1,7,15,0.07462084293365479,0.1132715493440628,0.060824196761762435,-0.006875545710444406,0.0
