epsilon,method,heldout_r2,heldout_r2,heldout_r2,mae,mae,mae,rmse,rmse,rmse,main_topk_overlap,main_topk_overlap,main_topk_overlap,pair_topk_recall,pair_topk_recall,pair_topk_recall,confound_abs_coef,confound_abs_coef,confound_abs_coef
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
5.0,finite_single,0.3520189332919837,0.047156086705832566,3,0.19473658856387857,0.0026311248167420445,3,0.24932025086514378,0.003457117686955087,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,first_order_omp,0.2876463841366616,0.08814133143637683,3,0.20497061784988116,0.00816678675140755,3,0.26112953553393486,0.010770189626199654,3,0.6666666666666666,0.2886751345948129,3,0.0,0.0,3,0.0,0.0,3
5.0,lifted_omp,0.22422710727727305,0.22520954651154426,3,0.2133287824660142,0.03132452213162321,3,0.27134708447779293,0.03961816127340539,3,0.5,0.0,3,0.8333333333333334,0.2886751345948129,3,0.0,0.0,3
5.0,multigain_atp,0.3843173717472416,0.06466980303761448,3,0.18873629331254513,0.005356215306228539,3,0.24285181269856335,0.007461971335867712,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,raw_atp,0.3976495131754745,0.06357172167365592,3,0.1873636005520418,0.006808957996229989,3,0.2402059889116129,0.0073028378761394236,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,scalar_cal_atp,0.3962621938271543,0.053400377958454294,3,0.18741005731466073,0.005307813258949309,3,0.24057894472585428,0.005519894985440026,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,subset_ridge,-1.205517450096315,0.7318929476073733,3,0.3627630482356967,0.05943988676060982,3,0.4561929457046722,0.07420461827921397,3,0.5,0.5,3,0.0,0.0,3,0.4132918135145169,0.3155761373011589,3
8.0,finite_single,0.22248235060615285,0.034243791658910235,3,0.22631170961918853,0.001700912316739154,3,0.3046459713144875,0.0014083162902662754,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,first_order_omp,0.05829761382341455,0.12249575990901992,3,0.25568149080034935,0.012940211409963744,3,0.3347081360067179,0.017626787135392712,3,0.5,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,lifted_omp,0.37913480791157195,0.10355248481342481,3,0.20993072153237147,0.01256745141844038,3,0.2720176409557605,0.028141365964003098,3,0.5,0.0,3,1.0,0.0,3,0.0,0.0,3
8.0,multigain_atp,0.2532314758615017,0.05514496920108625,3,0.21978942317732222,0.0044195810400426815,3,0.29841062485410086,0.005215259459210955,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,raw_atp,0.24666308800813272,0.05440419694110414,3,0.22170317171003825,0.006019271482065422,3,0.29973024363569795,0.0049784216879831785,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,scalar_cal_atp,0.25603637521889355,0.043857615098778197,3,0.2199899733461388,0.00463030663192818,3,0.2979292080033951,0.0031230586883005235,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,subset_ridge,-1.5504335205640645,1.1659774028730494,3,0.4277289519020571,0.09613239816352452,3,0.5420998537593107,0.11909152957411111,3,0.3333333333333333,0.2886751345948129,3,0.0,0.0,3,0.5114398609283708,0.4869723415161587,3
