epsilon,method,heldout_r2,heldout_r2,heldout_r2,mae,mae,mae,rmse,rmse,rmse,main_topk_overlap,main_topk_overlap,main_topk_overlap,pair_topk_recall,pair_topk_recall,pair_topk_recall,confound_abs_coef,confound_abs_coef,confound_abs_coef
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
5.0,finite_single,0.5596997082788792,0.052840776499759594,3,0.10168099579471324,0.005752022475150925,3,0.16328554036547663,0.007292188869361293,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,first_order_omp,0.6463363469828838,0.05548489051002404,3,0.07574870788115878,0.005432192375775063,3,0.14619676862759645,0.009052016781308672,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,lifted_omp,0.6049281406988652,0.22611784965354167,3,0.089161511315626,0.0412163679985041,3,0.15048271296552576,0.04061584260300572,3,0.8333333333333334,0.2886751345948129,3,0.8333333333333334,0.28867513459481287,3,0.0,0.0,3
5.0,multigain_atp,0.6462707555007289,0.05539320067537158,3,0.07577930530156372,0.005363737803371766,3,0.14621158108022125,0.009034107766040255,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,raw_atp,0.6532990998241376,0.0590047198928218,3,0.07113258798793966,0.005507747168220845,3,0.14469171112955334,0.00989741159606991,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,scalar_cal_atp,0.6522411122120848,0.05256709097403355,3,0.07174568766910562,0.004758054780496599,3,0.1449969819651935,0.008962025992466052,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,subset_ridge,0.1320383288161224,0.1059216765687761,3,0.17531151333068298,0.009035395684222,3,0.22925594018444503,0.011411338325081682,3,1.0,0.0,3,0.0,0.0,3,0.05819821350343444,0.03470951342415894,3
8.0,finite_single,0.31665439300551407,0.048096952263195845,3,0.13734050834514652,0.004869276182423542,3,0.24308278613808829,0.011282862860775738,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,first_order_omp,-0.010523934324500495,0.4795029978671397,3,0.20393709841214988,0.06543332015980431,3,0.290806540288394,0.0696825370461854,3,0.3333333333333333,0.2886751345948129,3,0.0,0.0,3,0.0,0.0,3
8.0,lifted_omp,-0.21047176150562985,0.32647483800850385,3,0.21504924374871667,0.037266911676649084,3,0.32190771928763734,0.05039673267746257,3,0.5,0.0,3,0.16666666666666666,0.2886751345948129,3,0.0,0.0,3
8.0,multigain_atp,0.36877661479994456,0.06716670534031498,3,0.11939684713714288,0.008400497902119986,3,0.23350869802009833,0.01427461929172504,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,raw_atp,0.37229475867701245,0.07597921461548139,3,0.11502474054386393,0.009445555587682102,3,0.23281120396824337,0.016025826912887217,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,scalar_cal_atp,0.3755622675384969,0.06157411486497344,3,0.11407051548456115,0.007134339462580615,3,0.23231929829062206,0.014433149285817968,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,subset_ridge,-0.17924498776736378,0.14717235910867238,3,0.23644803035015535,0.01643187530567559,3,0.319095797753652,0.022830854173841997,3,0.5,0.0,3,0.0,0.0,3,0.060761831788086314,0.039201030836415796,3
