method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean
raw_atp,0.6928900085604335,0.06717844862607347,0.13765940925359776,0,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.6994837484553076,0.066254876515775,0.1361735972114598,0,5.0,32,1,0.8909508989567527,,,1.0,0.0,0.0,0.0
multigain_atp,0.6826163143201709,0.07462801407313677,0.13994301558344768,0,5.0,32,1,,,,1.0,0.0,0.0,0.0
finite_single,0.5990432826021236,0.09938584288156856,0.1572923769703482,0,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.23893685488741412,0.16511317408782666,0.21670517088537966,0,5.0,32,0,,,,1.0,0.0873176365118309,0.0,0.0
first_order_omp,0.682616759051903,0.07460945520281839,0.1399429175363137,0,5.0,32,0,,2.0,0.7431417141795305,1.0,0.0,0.0,0.0
lifted_omp,0.682616759051903,0.07460945520281839,0.1399429175363137,0,5.0,32,0,,2.0,0.5915655210894027,1.0,0.0,1.0,0.0
raw_atp,0.41122383268634577,0.10826532982970266,0.22151578582317347,0,8.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.4290492233986697,0.10588546595082908,0.21813678278502413,0,8.0,32,1,0.8023613268230035,,,1.0,0.0,0.0,0.0
multigain_atp,0.3987944829469595,0.11942400206403404,0.22384172719996828,0,8.0,32,1,,,,1.0,0.0,0.0,0.0
finite_single,0.3490910870416498,0.13535358252882035,0.23291082773103455,0,8.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,-0.09182166766921962,0.22392314220312948,0.3016514546886893,0,8.0,32,0,,,,0.5,0.1020546913000424,0.0,0.0
first_order_omp,0.21251314022439993,0.17256647174407874,0.2561835429183234,0,8.0,32,0,,2.0,0.4262218179071776,0.5,0.0,0.0,0.0
lifted_omp,0.16407225057411867,0.1724866985864138,0.2639453046792359,0,8.0,32,0,,3.0,0.35146202152256834,0.5,0.0,0.0,0.0
raw_atp,0.6815242340478227,0.06879585826472215,0.14040601587280943,1,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.6616258396589025,0.07465641097939776,0.1447258524358459,1,5.0,32,1,0.7851089140239069,,,1.0,0.0,0.0,0.0
multigain_atp,0.6736792984351309,0.07108469669004674,0.14212478924874639,1,5.0,32,1,,,,1.0,0.0,0.0,0.0
finite_single,0.5804161623602356,0.09743089058379126,0.16115986544159888,1,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.1300568266602684,0.178504434624592,0.23205608601186692,1,5.0,32,0,,,,1.0,0.01978908429386188,0.0,0.0
first_order_omp,0.6739276601663706,0.07097649076431124,0.1420706935731317,1,5.0,32,0,,2.0,0.5365161081672583,1.0,0.0,0.0,0.0
lifted_omp,0.7819602796720664,0.05719512305810504,0.11617570826742518,1,5.0,32,0,,6.0,0.7481488950761561,1.0,0.0,0.5,2.94100845136599
raw_atp,0.42092013613232493,0.11099153180067645,0.22576492726255093,1,8.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.38938639720380486,0.1173552515011344,0.23183045124488338,1,8.0,32,1,0.6346060823743576,,,1.0,0.0,0.0,0.0
multigain_atp,0.4156995949565334,0.11098280468888952,0.22678030588818282,1,8.0,32,1,,,,1.0,0.0,0.0,0.0
finite_single,0.3394772098662643,0.13377887027846505,0.24111884045130957,1,8.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,-0.09675214863801873,0.23036738288468828,0.31070016938132217,1,8.0,32,0,,,,0.5,0.024056272739646126,0.0,0.0
first_order_omp,0.3168356122649799,0.16009567637480096,0.24521659217745273,1,8.0,32,0,,5.0,0.14534594963037306,0.5,0.0,0.0,0.0
lifted_omp,-0.4348032752875495,0.24182096420735144,0.35537217699042717,1,8.0,32,0,,3.0,0.18534990812647467,0.5,0.0,0.0,0.0
raw_atp,0.5854830568641567,0.07742345707302335,0.15600970826225277,2,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.5956137485220443,0.07432577551214412,0.1540914962482748,2,5.0,32,1,0.8455437690386672,,,1.0,0.0,0.0,0.0
multigain_atp,0.5825166537468849,0.08162520514150766,0.15656693840846966,2,5.0,32,1,,,,1.0,0.0,0.0,0.0
finite_single,0.49963967987427815,0.10822625391877987,0.17140437868448283,2,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.02712130490068465,0.18231693127963033,0.23900656365608855,2,5.0,32,0,,,,1.0,0.06748791970461056,0.0,0.0
first_order_omp,0.5824646217303777,0.0816601776763467,0.15657669477334396,2,5.0,32,0,,2.0,0.6176458324009186,1.0,0.0,0.0,0.0
lifted_omp,0.35020738337262647,0.13567995568595453,0.19532951309283847,2,5.0,32,0,,1.0,-0.35764758616473546,0.5,0.0,1.0,0.0
raw_atp,0.28474030721236676,0.12581736000121269,0.2511528988190057,2,8.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.30825118201301627,0.11897082900171994,0.24699066084195867,2,8.0,32,1,0.7204485261743669,,,1.0,0.0,0.0,0.0
multigain_atp,0.2918357664963407,0.12778373465850507,0.2499040609721439,2,8.0,32,1,,,,1.0,0.0,0.0,0.0
finite_single,0.26139488210862816,0.1428890722281541,0.2552186902319207,2,8.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,-0.349161146994853,0.2550535659626483,0.3449357691909446,2,8.0,32,0,,,,0.5,0.056174531324570426,0.0,0.0
first_order_omp,-0.5609205554628813,0.2791491471175699,0.3710194857694058,2,8.0,32,0,,12.0,-0.04204710331841843,0.0,0.0,0.0,0.0
lifted_omp,-0.36068425980345875,0.2308400684523847,0.346405676193249,2,8.0,32,0,,1.0,-0.021599372251952076,0.5,0.0,0.5,0.0
