component,layer,bin,token_start,token_end_exclusive,mi_effect_z1,mi_effect_z2_collateral,nt_effect_z1,abs_error
0,0,0,0,7,-0.01675271801650524,-0.015176973305642605,-0.009522959463686224,0.007229758552819017
1,0,1,7,15,0.007648546248674393,-0.014949041418731213,-0.04156619161707947,0.049214737865753866
2,0,2,15,23,0.01254754513502121,-0.02656169980764389,0.014944934197013105,0.0023973890619918958
3,0,3,23,31,0.03809325024485588,-0.04171578958630562,0.01842357814558626,0.01966967209926962
4,0,4,31,39,0.032889146357774734,-0.009830999188125134,0.026437056339325075,0.006452090018449659
5,0,5,39,47,0.0769106075167656,-0.029288971796631813,0.034346034615694854,0.04256457290107074
6,0,6,47,55,0.15085391700267792,0.02529948763549328,0.11012906207713269,0.04072485492554523
7,0,7,55,63,1.1889888048171997,0.1499067097902298,1.0780331391952704,0.11095566562192927
8,1,0,0,7,0.00918938685208559,-0.01519254595041275,0.02483736678471489,0.0156479799326293
9,1,1,7,15,0.02976069413125515,-0.015613826923072338,0.014209604626492602,0.015551089504762548
10,1,2,15,23,0.02780689299106598,-0.023609796538949013,0.025772166707058397,0.002034726284007582
11,1,3,23,31,0.049035679548978806,-0.0332387275993824,0.025077318157682407,0.0239583613912964
12,1,4,31,39,0.04763312265276909,-0.008812605403363705,0.02226154861303004,0.02537157403973905
13,1,5,39,47,0.08296427875757217,-0.00950421392917633,0.057357706043385664,0.02560657271418651
14,1,6,47,55,0.10181564092636108,-0.0015409780899062753,0.08938313594464205,0.012432504981719036
15,1,7,55,63,1.1058391332626343,0.12840259075164795,0.97315558489863,0.1326835483640043
16,2,0,0,7,0.01293471734970808,-0.007492918521165848,0.02069301654088149,0.00775829919117341
17,2,1,7,15,0.0321941152215004,-0.015324242413043976,0.02403605845704928,0.008158056764451117
18,2,2,15,23,0.03673262149095535,-0.03714440390467644,0.0428024497601935,0.006069828269238145
19,2,3,23,31,0.04882550239562988,-0.019508101046085358,0.01661672336430842,0.032208779031321466
20,2,4,31,39,0.06434860080480576,-0.01995984837412834,0.05989644520466031,0.0044521556001454465
21,2,5,39,47,0.07235226780176163,-0.0015360548859462142,0.040071528075736045,0.03228073972602558
22,2,6,47,55,0.06484439224004745,-0.007830306887626648,0.07563057431223796,0.010786182072190509
23,2,7,55,63,1.1404465436935425,0.11199571937322617,0.987505028608968,0.15294151508457443
24,3,0,0,7,0.0,0.0,-0.0018352896843966274,0.0018352896843966274
25,3,1,7,15,0.0,0.0,0.002133679656812904,0.002133679656812904
26,3,2,15,23,0.0,0.0,0.01745200128171068,0.01745200128171068
27,3,3,23,31,0.0,0.0,-0.014694529037748573,0.014694529037748573
28,3,4,31,39,0.0,0.0,0.02178589569266495,0.02178589569266495
29,3,5,39,47,0.0,0.0,-0.020084376269283513,0.020084376269283513
30,3,6,47,55,0.0,0.0,0.01833008581465098,0.01833008581465098
31,3,7,55,63,0.731865406036377,0.09871544688940048,0.6507884936401152,0.0810769123962618
