n_train,pearson_vs_mi,spearman_vs_mi,top5_overlap,heldout_r2
16,0.551816027865123,0.4826888097115418,0.6,0.476203014375001
32,0.8398107782290045,0.4948481461393899,0.8,0.8344531406373323
64,0.9970167371605098,0.8135701464451026,1.0,0.9741035387697199
128,0.9971393876427974,0.719611637684459,1.0,0.9805491175423565
192,0.9983556699825062,0.8802622644281477,1.0,0.9827217294533238
