m_gain,repeat,gain,holdout_r2,n_train_available,epsilon
0,0,1.0,0.806669030910873,96,0.6
1,0,1.1632596951103262,0.884425996846141,96,0.6
1,1,1.6663073673582214,0.9555107789468198,96,0.6
1,2,1.7611632892452216,0.9404027920127678,96,0.6
1,3,1.7581514472070696,0.9410215609105335,96,0.6
1,4,1.5142247996347127,0.9608535583057826,96,0.6
1,5,1.81214366983595,0.9285453372009717,96,0.6
1,6,1.6570900658465564,0.9564965947707309,96,0.6
1,7,1.327298325086502,0.9355628498180774,96,0.6
1,8,1.5902830445880662,0.9610884692459561,96,0.6
1,9,1.7054071921884224,0.9503792006977047,96,0.6
1,10,1.8093032235282096,0.9292747346991718,96,0.6
1,11,1.1561456659189595,0.8815961824785595,96,0.6
1,12,1.6167731735650033,0.9598046227261533,96,0.6
1,13,1.7611632892452216,0.9404027920127678,96,0.6
1,14,1.5868485571207245,0.961203254044277,96,0.6
1,15,1.7630513444572182,0.9400102490260601,96,0.6
1,16,1.429997651977881,0.9538064344322681,96,0.6
1,17,1.608101388669589,0.9603025810947441,96,0.6
1,18,1.5242492948504534,0.9612173011271314,96,0.6
1,19,1.7581514472070696,0.9410215609105335,96,0.6
1,20,1.6810767947829537,0.9537530473363225,96,0.6
1,21,0.7791748007179291,0.6588559380569944,96,0.6
1,22,1.8466640325539136,0.9190324927490894,96,0.6
1,23,1.7292492056764337,0.9464956835938908,96,0.6
1,24,-2.545201080542684,-7.491280676748895,96,0.6
1,25,-1.8909428718660115,-5.009048138337601,96,0.6
1,26,-1.8909428718660115,-5.009048138337601,96,0.6
1,27,1.7611364038288213,0.9404083558407658,96,0.6
1,28,-9.399180485871442,-59.36593480344686,96,0.6
1,29,1.7079378942944314,0.9499940994159948,96,0.6
1,30,1.766734417932757,0.9392341908804616,96,0.6
1,31,1.184722053931414,0.8926549515823525,96,0.6
1,32,3.218823257370554,-0.4294505787521532,96,0.6
1,33,1.7079378942944314,0.9499940994159948,96,0.6
1,34,1.5473974509835575,0.9616712056948955,96,0.6
1,35,1.2333208299271845,0.9095766488454584,96,0.6
1,36,-2.545201080542684,-7.491280676748895,96,0.6
