epsilon,method,heldout_r2,heldout_r2,heldout_r2,mae,mae,mae,rmse,rmse,rmse,main_topk_overlap,main_topk_overlap,main_topk_overlap,pair_topk_recall,pair_topk_recall,pair_topk_recall,confound_abs_coef,confound_abs_coef,confound_abs_coef
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
5.0,finite_single,0.5776756162220192,0.0209416438000309,3,0.10100404029262888,0.005038084759936565,3,0.15958234572472071,0.004474058588754828,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,first_order_omp,0.6562685219344052,0.05185925533151775,3,0.07619955618883659,0.014170748676503222,3,0.14351477412905891,0.004283781864661544,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,lifted_omp,0.997694748821373,0.0005740992891909704,3,0.009192590808669706,0.001030095723821991,3,0.011737087710011385,0.0015361747095800258,3,1.0,0.0,3,1.0,0.0,3,0.0,0.0,3
5.0,multigain_atp,0.6843453913185863,0.0033621749893050466,3,0.06501008366066442,0.005411514352996548,3,0.13805474092671716,0.005411965717284691,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,raw_atp,0.6718459140359828,0.0018186097351190924,3,0.07066893440056447,0.002394896066816311,3,0.14078277070555203,0.006206064387035778,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,scalar_cal_atp,0.6787925518284705,0.002969680621744693,3,0.06867922953616162,0.0032145895654968975,3,0.13929162923993446,0.006412625942244769,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,subset_ridge,0.07302676209241639,0.39808178297876995,3,0.17825499667747344,0.046298301482028896,3,0.23188659307047002,0.05176823896359213,3,1.0,0.0,3,0.0,0.0,3,0.21313863296836363,0.2487935310981241,3
8.0,finite_single,0.32902770747481214,0.01680364807632756,3,0.1370181540558609,0.0067634832822589,3,0.23609329210828278,0.00894139420496822,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,first_order_omp,0.3758737621457846,0.07727686132717425,3,0.11503730968070418,0.03072810337304615,3,0.22750469577907526,0.0174713666898691,3,0.8333333333333334,0.2886751345948129,3,0.0,0.0,3,0.0,0.0,3
8.0,lifted_omp,0.9983193174587596,0.00023217749960389563,3,0.009171050286209783,0.00031196685287244254,3,0.011783558996154882,0.0006420720404325634,3,1.0,0.0,3,1.0,0.0,3,0.0,0.0,3
8.0,multigain_atp,0.41527479040795073,0.012994929734953321,3,0.10146663887106826,0.009461242687126475,3,0.2204229729044629,0.009095352456670917,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,raw_atp,0.3829865341061696,0.007886953785895443,3,0.11428204948825509,0.004540178629297016,3,0.22647712280085316,0.010605718096852552,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,scalar_cal_atp,0.40182219585764445,0.004390912950693909,3,0.10967447830060946,0.005110896150873999,3,0.22301247159507243,0.010915970928581731,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,subset_ridge,-0.7205468951592403,0.7457084197194515,3,0.284527277505716,0.07194731334366425,3,0.36988147129482146,0.08026945941893114,3,0.5,0.5,3,0.0,0.0,3,0.33806638911378384,0.3919683518865616,3
