model,term,coef
additive_head,intercept,-0.8066893377326891
additive_head,P:9.9,0.9575793270760744
additive_head,P:9.6,0.0601796028024109
additive_head,P:10.0,0.6655506842821972
additive_head,B:9.0,0.009360635851289802
additive_head,B:9.7,0.10303671249470561
additive_head,B:10.1,0.10151729665712059
additive_head,B:10.2,0.23435320301173015
additive_head,B:10.6,0.3312365226850499
additive_head,B:10.10,0.3508719546628369
additive_head,B:11.2,-0.08140178840948865
additive_head,B:11.9,0.16596615682414664
additive_head,E:10.7,-0.30488127680755633
additive_head,E:11.10,-0.5341878229681531
pb_occupancy_interaction,intercept,-0.7941393461378358
pb_occupancy_interaction,P:9.9,0.988791375657693
pb_occupancy_interaction,P:9.6,0.08921694457524407
pb_occupancy_interaction,P:10.0,0.6886425368658267
pb_occupancy_interaction,B:9.0,0.006654354147935372
pb_occupancy_interaction,B:9.7,0.10361868523282408
pb_occupancy_interaction,B:10.1,0.11405104855384329
pb_occupancy_interaction,B:10.2,0.2415619357123622
pb_occupancy_interaction,B:10.6,0.33649466268024786
pb_occupancy_interaction,B:10.10,0.3463298076107386
pb_occupancy_interaction,B:11.2,-0.0768962863241549
pb_occupancy_interaction,B:11.9,0.17804038594741206
pb_occupancy_interaction,E:10.7,-0.30475890097852687
pb_occupancy_interaction,E:11.10,-0.5342426424793646
pb_occupancy_interaction,P_B_occ,-0.10168588101629761
pb_count_interaction,intercept,-0.5017226811608746
pb_count_interaction,P:9.9,0.7604938668190017
pb_count_interaction,P:9.6,-0.11789797368712829
pb_count_interaction,P:10.0,0.47388079112148546
pb_count_interaction,B:9.0,-0.0989165918487659
pb_count_interaction,B:9.7,0.025117229308930747
pb_count_interaction,B:10.1,0.02803250325429115
pb_count_interaction,B:10.2,0.10105270813856661
pb_count_interaction,B:10.6,0.21931340863453
pb_count_interaction,B:10.10,0.2633165596893808
pb_count_interaction,B:11.2,-0.1856497781138477
pb_count_interaction,B:11.9,0.06673448847322934
pb_count_interaction,E:10.7,-0.30914952916050636
pb_count_interaction,E:11.10,-0.5184079661911527
pb_count_interaction,P_B_count,1.4179960137262668
group_count_interaction,intercept,0.08983264259022437
group_count_interaction,P:9.9,0.45850992571828064
group_count_interaction,P:9.6,-0.4125999168669689
group_count_interaction,P:10.0,0.16890813700429266
group_count_interaction,B:9.0,-0.10536539317283374
group_count_interaction,B:9.7,0.056249743111552016
group_count_interaction,B:10.1,-0.0017797343304188124
group_count_interaction,B:10.2,0.11840852175633224
group_count_interaction,B:10.6,0.22870261775279593
group_count_interaction,B:10.10,0.1917449452930928
group_count_interaction,B:11.2,-0.18340673476711758
group_count_interaction,B:11.9,0.018424724697743797
group_count_interaction,E:10.7,-1.0225373630447294
group_count_interaction,E:11.10,-1.2517041472872306
group_count_interaction,P_B_count,1.1721423836712612
group_count_interaction,P_E_count,2.13942901714214
group_count_interaction,B_E_count,0.5211456482753284
