method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean
raw_atp,0.7168492147938954,0.06925827373170595,0.1409876071787619,0,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.718187496569772,0.06740696553723287,0.14065403116750075,0,5.0,48,1,0.9137878143483336,,,1.0,0.0,0.0,0.0
multigain_atp,0.7202109947689447,0.06512927457862455,0.14014815240101128,0,5.0,48,1,,,,1.0,0.0,0.0,0.0
finite_single,0.6162265431406577,0.10311309068761675,0.16413814528288878,0,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,-0.06337789762133861,0.2140384700925288,0.27322212784141464,0,5.0,48,0,,,,1.0,0.5735224109347562,0.0,0.0
first_order_omp,0.7202303200147855,0.06513225687203825,0.14014331224607657,0,5.0,48,0,,2.0,0.6245860283324418,1.0,0.0,0.0,0.0
lifted_omp,0.7809140975888754,0.06288332608672673,0.12401644304472131,0,5.0,48,0,,15.0,0.9297733014567702,1.0,0.0,0.5,3.3909997509358973
raw_atp,0.46037735532150215,0.11157086087253261,0.2261556123949919,0,8.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.466635321865853,0.10740780701592234,0.22484043275435367,0,8.0,48,1,0.8445753440108543,,,1.0,0.0,0.0,0.0
multigain_atp,0.4730898471389764,0.10153096956424362,0.22347583585410447,0,8.0,48,1,,,,1.0,0.0,0.0,0.0
finite_single,0.37116745417618513,0.14190106075562325,0.24413485752464925,0,8.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,-0.8169837622298324,0.32420992916626756,0.41499017036104124,0,8.0,48,0,,,,0.5,0.9423844360585618,0.0,0.0
first_order_omp,0.47310589106922785,0.10153363260530482,0.22347243351122156,0,8.0,48,0,,2.0,0.34854767951758103,1.0,0.0,0.0,0.0
lifted_omp,-0.15553765673996,0.2408222591078871,0.33094386781083296,0,8.0,48,0,,3.0,-0.9963652306285364,0.5,0.0,0.0,0.0
