epsilon,method,heldout_r2,heldout_r2,heldout_r2,mae,mae,mae,rmse,rmse,rmse,main_topk_overlap,main_topk_overlap,main_topk_overlap,pair_topk_recall,pair_topk_recall,pair_topk_recall,confound_abs_coef,confound_abs_coef,confound_abs_coef
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
5.0,finite_single,0.5845477879495041,0.027543529270175116,3,0.10228373678606896,0.004661721535041402,3,0.16171185474118502,0.0044570210834719345,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,first_order_omp,0.6161076860205524,0.12493355136368853,3,0.0842475292207988,0.03288278102163283,3,0.15398067346613356,0.02293818966850131,3,0.8333333333333334,0.2886751345948129,3,0.0,0.0,3,0.0,0.0,3
5.0,lifted_omp,0.8097987197106539,0.17551529587177175,3,0.04576091102261933,0.03185535633087841,3,0.0922068978058519,0.070631799775866,3,1.0,0.0,3,0.8333333333333334,0.28867513459481287,3,0.0,0.0,3
5.0,multigain_atp,0.6782633628097372,0.03694440075799643,3,0.0679397375390801,0.004650837349497102,3,0.14206598467180678,0.002372887450265913,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,raw_atp,0.6674158662819693,0.043798075832947904,3,0.07154102732939398,0.002585046259179574,3,0.14434424955754768,0.0031731800549267704,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,scalar_cal_atp,0.6663185404979028,0.04497717857202358,3,0.07274885726282336,0.008355858898841113,3,0.14458969033664304,0.004983775933811331,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,subset_ridge,-0.25186426279959384,0.3903239857144524,3,0.21867462299590476,0.03912605452627375,3,0.2789627217281325,0.04404066963175425,3,0.8333333333333334,0.2886751345948129,3,0.0,0.0,3,0.32130038428879265,0.23304273274904722,3
8.0,finite_single,0.3364818764606163,0.030193938904868774,3,0.13936576328649067,0.004613781517975119,3,0.24157299501143595,0.004996391310330486,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,first_order_omp,0.370613053032133,0.09109044035021589,3,0.12758526680180238,0.023255214660211698,3,0.23459827557875648,0.009736790320918239,3,0.6666666666666666,0.28867513459481287,3,0.0,0.0,3,0.0,0.0,3
8.0,lifted_omp,0.38054998353424674,0.5812299070539262,3,0.1284950957366177,0.11570214000530248,3,0.1940018681579182,0.16396764934675628,3,0.6666666666666666,0.2886751345948129,3,0.6666666666666666,0.5773502691896258,3,0.0,0.0,3
8.0,multigain_atp,0.413093087209725,0.053350614605521256,3,0.10648411056275385,0.006916910366939664,3,0.22694628199635816,0.00392878892160279,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,raw_atp,0.38355445892462453,0.06831611021325275,3,0.11592359089539712,0.0049541034725927,3,0.23244887193332478,0.005850548405769983,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,scalar_cal_atp,0.3870017844916644,0.06923801768366405,3,0.11602117031775039,0.013106286865542868,3,0.23182889645559515,0.008536258768255024,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,subset_ridge,-1.070855028366352,0.6587121682710723,3,0.3311768526287897,0.06365428812847221,3,0.42406933212324227,0.07097824219472776,3,0.3333333333333333,0.2886751345948129,3,0.0,0.0,3,0.5043563284684068,0.4225626870618396,3
