method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean
raw_atp,0.6610825351505246,0.07471051333651042,0.14552237539133384,0,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.6634146054013514,0.0730286257723258,0.14502084589194006,0,5.0,192,1,0.9715166534576162,,,1.0,0.0,0.0,0.0
multigain_atp,0.6693919066535412,0.0714001300366567,0.1437273906500086,0,5.0,192,1,,,,1.0,0.0,0.0,0.0
finite_single,0.5672010795082334,0.10496759301695235,0.1644469734812028,0,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.4841205453605514,0.13279495717655723,0.1795382206209542,0,5.0,192,0,,,,1.0,0.039537470765456696,0.0,0.0
first_order_omp,0.6336876138128984,0.08537393623963102,0.15128943553051716,0,5.0,192,0,,4.0,0.7357134911502715,1.0,0.0,0.0,0.0
lifted_omp,0.9974391074125148,0.009962581377886226,0.012649649209210708,0,5.0,192,0,,12.0,0.9980721930032174,1.0,0.0,1.0,6.551067077383345
raw_atp,0.38901725261295506,0.12072397819560997,0.2336365283841357,0,8.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.39682370510156617,0.1165635051970117,0.23213915727705023,0,8.0,192,1,0.9266562849941544,,,1.0,0.0,0.0,0.0
multigain_atp,0.41169222935913985,0.11266291471131293,0.2292601452854264,0,8.0,192,1,,,,1.0,0.0,0.0,0.0
finite_single,0.32608820044788356,0.14433938811521788,0.24537358104223195,0,8.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.0809979666803573,0.21197767305995152,0.2865395054812058,0,8.0,192,0,,,,1.0,0.0637735339028299,0.0,0.0
first_order_omp,0.34698402458233457,0.13571132744448738,0.2415395060895574,0,8.0,192,0,,4.0,0.5180073859813862,1.0,0.0,0.0,0.0
lifted_omp,0.9983970933198023,0.009438802021663568,0.011966864961609978,0,8.0,192,0,,4.0,0.9975799689219239,1.0,0.0,1.0,10.390801644851361
raw_atp,0.7406421230127318,0.06250968745097786,0.12810801161808316,1,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.7437811847518323,0.05982991935236739,0.12733039272563887,1,5.0,192,1,0.8964675104290091,,,1.0,0.0,0.0,0.0
multigain_atp,0.7483559307200265,0.05664605815416325,0.12618854097523985,1,5.0,192,1,,,,1.0,0.0,0.0,0.0
finite_single,0.6438213677426832,0.09513682549841551,0.15012758559073708,1,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.5606964463429513,0.12272918866525381,0.16672814851537368,1,5.0,192,0,,,,1.0,0.020584641590392243,0.0,0.0
first_order_omp,0.7483617801103365,0.056640481165155056,0.12618707435947504,1,5.0,192,0,,2.0,0.7177564069125387,1.0,0.0,0.0,0.0
lifted_omp,0.9982517443970976,0.008428008657702872,0.010517899908345537,1,5.0,192,0,,4.0,0.9976842866407124,1.0,0.0,1.0,6.530176214193666
raw_atp,0.47953369018275227,0.10125977919571497,0.20630006042507992,1,8.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.49085673219022796,0.0954418799583621,0.20404363261549183,1,8.0,192,1,0.8091869678348323,,,1.0,0.0,0.0,0.0
multigain_atp,0.5042411031545566,0.08778536497871797,0.20134381919814648,1,8.0,192,1,,,,1.0,0.0,0.0,0.0
finite_single,0.40424049483036795,0.1281684082326312,0.22071839730993986,1,8.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.12892104005524274,0.19659153831714413,0.26688969530305395,1,8.0,192,0,,,,1.0,0.0376242622904264,0.0,0.0
first_order_omp,0.5042489861809699,0.08778051014038517,0.20134221841501931,1,8.0,192,0,,2.0,0.48152084353230973,1.0,0.0,0.0,0.0
lifted_omp,0.9984659897689151,0.00874960803117724,0.01119997806166204,1,8.0,192,0,,4.0,0.998223544032075,1.0,0.0,1.0,10.436294132988827
raw_atp,0.6901418207508281,0.06550950780485007,0.13274426894173827,2,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.695439984133339,0.06304580131893131,0.1316045004438899,2,5.0,192,1,0.9443619854371467,,,1.0,0.0,0.0,0.0
multigain_atp,0.6856289157365067,0.06476388466768848,0.13370744630683898,2,5.0,192,1,,,,1.0,0.0,0.0,0.0
finite_single,0.5788891549697861,0.09822609972931398,0.15475066031979762,2,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.5053475628866642,0.12116830290536251,0.16771981486594245,2,5.0,192,0,,,,1.0,0.02375480663413383,0.0,0.0
first_order_omp,0.6856165828684068,0.06477079982673842,0.13371006897191456,2,5.0,192,0,,2.0,0.841986687259334,1.0,0.0,0.0,0.0
lifted_omp,0.9977097823237489,0.00915668221193611,0.011412286842645534,2,5.0,192,0,,4.0,0.9986203664316269,1.0,0.0,1.0,6.599992398862437
raw_atp,0.4094027666832001,0.10599605092123449,0.21397405922327226,2,8.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.42445741498315814,0.10133542612281542,0.21122929671022275,2,8.0,192,1,0.8841626265168734,,,1.0,0.0,0.0,0.0
multigain_atp,0.4079454288654313,0.10231916834119004,0.21423789415263483,2,8.0,192,1,,,,1.0,0.0,0.0,0.0
finite_single,0.3357374390247354,0.13054399592353344,0.2269265493426603,2,8.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.07556317956699365,0.19264600002345092,0.26770349373244223,2,8.0,192,0,,,,1.0,0.04601568027494454,0.0,0.0
first_order_omp,0.4079232063042929,0.10232881315818451,0.2142419147870992,2,8.0,192,0,,2.0,0.6617778593027557,1.0,0.0,0.0,0.0
lifted_omp,0.9980956945870672,0.00967839328447569,0.012150208272821721,2,8.0,192,0,,4.0,0.9987914520822891,1.0,0.0,1.0,10.504199959683024
