program,label_index,label,r2_after_ablation,mse_after_ablation,delta_mse_vs_base,abs_readout_weight,readout_weight,activation_mean_test,activation_std_test
first_order_is_A,0,indices:0,0.9999999999985277,3.1447886650199163e-13,3.144788664198747e-13,1.212761246560202e-06,-1.212761246560202e-06,0.2138157894736842,0.40999828980793246
first_order_is_A,1,indices:1,0.9999999999987316,2.7093541129098575e-13,2.7093541120886884e-13,1.2127614708184105e-06,-1.2127614708184105e-06,0.18421052631578946,0.3876557858593746
first_order_is_A,2,indices:2,0.9999999999988448,2.4674436009248185e-13,2.4674436001036494e-13,1.212761744980023e-06,-1.212761744980023e-06,0.16776315789473684,0.3736558319468899
first_order_is_A,3,indices:3,0.9999999999984598,3.289929433018946e-13,3.289929432197777e-13,1.2127614588634065e-06,-1.2127614588634065e-06,0.2236842105263158,0.41671283216087146
first_order_is_A,4,indices:4,0.9999999999985504,3.0964037861428374e-13,3.0964037853216683e-13,1.212761500999225e-06,-1.212761500999225e-06,0.21052631578947367,0.40768245749551757
first_order_is_A,5,indices:5,1.0,8.211691075435984e-23,0.0,0.0,0.0,0.0,0.0
first_order_is_A,6,is_A_1,0.7683523232434777,0.04947979937644726,0.04947979937644726,0.4000247201067945,0.4000247201067945,0.3092105263157895,0.46216812604430213
first_order_is_A,7,tokens:A,0.7683521891736432,0.04947982801368034,0.04947982801368034,0.40002483586716164,0.40002483586716164,0.3092105263157895,0.46216812604430213
first_order_is_A,8,tokens:B,0.9328883867019439,0.014334998771896946,0.014334998771896946,0.19995044400642364,-0.19995044400642364,0.35855263157894735,0.47957548098996783
first_order_is_A,9,tokens:BOS,1.0,8.211691075435984e-23,0.0,0.0,0.0,0.0,0.0
first_order_is_A,10,tokens:C,0.9378140096962786,0.013282888770293672,0.013282888770293672,0.19995044400659623,-0.19995044400659623,0.33223684210526316,0.4710154167892868
paircat_AB_to_numeric,0,detect_AB_num_2,0.836290620724507,0.015418611898522882,0.015418611898522809,0.3827228932449047,0.3827228932449047,0.10526315946328013,0.3068922044538522
paircat_AB_to_numeric,1,indices:0,0.9501755337359712,0.004692609011016558,0.004692609011016485,0.14814510487238303,-0.14814510487238303,0.2138157894736842,0.40999828980793246
paircat_AB_to_numeric,2,indices:1,0.9973168359390792,0.00025270797249670384,0.0002527079724966313,0.03703840240228489,0.03703840240228489,0.18421052631578946,0.3876557858593746
paircat_AB_to_numeric,3,indices:2,0.9975564041551146,0.00023014476101413335,0.00023014476101406085,0.037038402404262295,0.037038402404262295,0.16776315789473684,0.3736558319468899
paircat_AB_to_numeric,4,indices:3,0.996741872259914,0.0003068596763515934,0.0003068596763515209,0.03703840248392111,0.03703840248392111,0.2236842105263158,0.41671283216087146
paircat_AB_to_numeric,5,indices:4,0.9969335268689147,0.00028880910375873,0.0002888091037586575,0.03703840256189871,0.03703840256189871,0.21052631578947367,0.40768245749551757
paircat_AB_to_numeric,6,indices:5,0.9999999999999992,7.250625054226504e-17,0.0,0.0,0.0,0.0,0.0
paircat_AB_to_numeric,7,one,0.9999999999999992,7.250625054226504e-17,0.0,0.0,0.0,1.0,0.0
