program,condition,n_examples,r2,mse,mae,n_labels_touched,label_indices,scale,group,labels,delta_mse_vs_base,delta_r2_vs_base,reconstruction_status,reconstruction_method,n_reconstruction_features,source_labels,reconstruction_write
detect_pattern_AB_raw,scale_group:explicit_detector,304,-0.5109583414815664,0.14230632579050762,0.32915428463917185,6.0,0;1;8;9;10;11,0.0,explicit_detector,detect_pattern_AB_raw_6:False;detect_pattern_AB_raw_6:True;map_10:False;map_10:True;map_8:False;map_8:True,0.14230632579050756,-1.510958341481566,,,,,
detect_pattern_AB_raw,scale_group:explicit_detector,304,0.6222604147801714,0.03557658143344646,0.16457714240596885,6.0,0;1;8;9;10;11,0.5,explicit_detector,detect_pattern_AB_raw_6:False;detect_pattern_AB_raw_6:True;map_10:False;map_10:True;map_8:False;map_8:True,0.03557658143344642,-0.3777395852198282,,,,,
detect_pattern_AB_raw,scale_group:explicit_detector,304,0.6222604141779182,0.03557658149016837,0.16457714206043716,6.0,0;1;8;9;10;11,1.5,explicit_detector,detect_pattern_AB_raw_6:False;detect_pattern_AB_raw_6:True;map_10:False;map_10:True;map_8:False;map_8:True,0.035576581490168326,-0.37773958582208134,,,,,
detect_pattern_AB_raw,scale_group:true_detector,304,0.5826706455864081,0.03930525775640477,0.06432411523190201,3.0,1;9;11,0.0,true_detector,detect_pattern_AB_raw_6:True;map_10:True;map_8:True,0.03930525775640473,-0.4173293544135914,,,,,
detect_pattern_AB_raw,scale_group:true_detector,304,0.8956676613774677,0.009826314440903325,0.032162058065635664,3.0,1;9;11,0.5,true_detector,detect_pattern_AB_raw_6:True;map_10:True;map_8:True,0.009826314440903282,-0.10433233862253188,,,,,
detect_pattern_AB_raw,scale_group:true_detector,304,0.8956676614540038,0.00982631443369493,0.032162058409379544,3.0,1;9;11,1.5,true_detector,detect_pattern_AB_raw_6:True;map_10:True;map_8:True,0.009826314433694886,-0.10433233854599577,,,,,
detect_pattern_AB_raw,scale_group:false_detector,304,-0.09361567964272788,0.1029998147031932,0.26483085422497166,3.0,0;8;10,0.0,false_detector,detect_pattern_AB_raw_6:False;map_10:False;map_8:False,0.10299981470319315,-1.0936156796427274,,,,,
detect_pattern_AB_raw,scale_group:false_detector,304,0.726596080259015,0.025749953659815753,0.13241542719886876,3.0,0;8;10,0.5,false_detector,detect_pattern_AB_raw_6:False;map_10:False;map_8:False,0.02574995365981571,-0.27340391974098455,,,,,
detect_pattern_AB_raw,scale_group:false_detector,304,0.7265960795802258,0.02574995372374605,0.13241542685333707,3.0,0;8;10,1.5,false_detector,detect_pattern_AB_raw_6:False;map_10:False;map_8:False,0.02574995372374601,-0.2734039204197738,,,,,
detect_pattern_AB_raw,scale_group:reconstruct_from,304,0.8969401996859124,0.009706463187476389,0.08735706560815834,5.0,13;14;15;16;18,0.0,reconstruct_from,shift_by(1)_7:False;shift_by(1)_7:True;tokens:A;tokens:B;tokens:C,0.009706463187476345,-0.10305980031408712,,,,,
detect_pattern_AB_raw,scale_group:reconstruct_from,304,0.9742350498695224,0.002426615801762434,0.04367853272359525,5.0,13;14;15;16;18,0.5,reconstruct_from,shift_by(1)_7:False;shift_by(1)_7:True;tokens:A;tokens:B;tokens:C,0.0024266158017623904,-0.025764950130477193,,,,,
detect_pattern_AB_raw,scale_group:reconstruct_from,304,0.9742350500773439,0.0024266157821892158,0.04367853304553095,5.0,13;14;15;16;18,1.5,reconstruct_from,shift_by(1)_7:False;shift_by(1)_7:True;tokens:A;tokens:B;tokens:C,0.0024266157821891724,-0.025764949922655656,,,,,
detect_pattern_AB_raw,scale_group:shift_true,304,0.9659314122408849,0.003208675855429123,0.028876180157840787,1.0,14,0.0,shift_true,shift_by(1)_7:True,0.00320867585542908,-0.0340685877591147,,,,,
