method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean
raw_atp,0.6849494904443645,0.07253622760584136,0.14694630824090033,0,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.6823817730159306,0.07445285209839869,0.1475439122807043,0,5.0,56,1,1.0185765820364778,,,1.0,0.0,0.0,0.0
multigain_atp,0.6875499085981567,0.07098678955652013,0.14633860628076314,0,5.0,56,1,,,,1.0,0.0,0.0,0.0
finite_single,0.5978375782424321,0.10365385761981354,0.16602341020326625,0,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,0.20723761420859366,0.1824001999076763,0.23309883581640245,0,5.0,56,0,,,,1.0,0.22538902374828837,0.0,0.0
first_order_omp,0.6874206634026264,0.07111938171088603,0.14636886968411184,0,5.0,56,0,,2.0,0.9721090931996027,1.0,0.0,0.0,0.0
lifted_omp,0.9980781812817653,0.009313599150715217,0.011476905243940646,0,5.0,56,0,,4.0,0.9980505894672838,1.0,0.0,1.0,6.556516261906977
raw_atp,0.4108840762940521,0.11707568516596356,0.2361655365632845,0,8.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.409292042829111,0.11810867536630473,0.23648442945816434,0,8.0,56,1,1.0088931314622658,,,1.0,0.0,0.0,0.0
multigain_atp,0.42189260631256353,0.1123962230934047,0.2339485741729699,0,8.0,56,1,,,,1.0,0.0,0.0,0.0
finite_single,0.3459393301342061,0.1446072707158786,0.24884284513165417,0,8.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,-0.2914582700652739,0.26939871075724553,0.34966835435934873,0,8.0,56,0,,,,1.0,0.34357986361216347,0.0,0.0
first_order_omp,0.42174550397405863,0.11252335010921982,0.2339783369763666,0,8.0,56,0,,2.0,0.9375995442913717,1.0,0.0,0.0,0.0
lifted_omp,0.3459146187805353,0.14098360121273432,0.24884754590771144,0,8.0,56,0,,1.0,0.18563550813218765,0.5,0.0,1.0,0.0
raw_atp,0.6661647370219161,0.06972695745508732,0.14134387405037185,1,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.6563420413582148,0.07396981295712961,0.14340823441419678,1,5.0,56,1,0.789391742111071,,,1.0,0.0,0.0,0.0
multigain_atp,0.6619562990417918,0.07491607466845249,0.14223199768472053,1,5.0,56,1,,,,1.0,0.0,0.0,0.0
finite_single,0.5759344557893012,0.09704441057918832,0.15930425630008493,1,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,-1.2684929943395695,0.3000556214239,0.36845088767255885,1,5.0,56,0,,,,0.5,0.4544290033420282,0.0,0.0
first_order_omp,0.6620602957795059,0.07486237433919571,0.1422101176710886,1,5.0,56,0,,2.0,0.6580783581895928,1.0,0.0,0.0,0.0
lifted_omp,0.6108939597155163,0.08326544601947503,0.15259660528848507,1,5.0,56,0,,3.0,0.29082350526056366,1.0,0.0,0.5,0.0
