budget_measurements,epsilon,method,n,heldout_r2_mean,heldout_r2_std,heldout_r2_sem,mae_mean,mae_std,mae_sem,rmse_mean,rmse_std,rmse_sem,pair_topk_recall_mean,pair_topk_recall_std,pair_topk_recall_sem,confound_abs_coef_mean,confound_abs_coef_std,confound_abs_coef_sem,true_pair_abs_coef_mean_mean,true_pair_abs_coef_mean_std,true_pair_abs_coef_mean_sem,main_topk_overlap_mean,main_topk_overlap_std,main_topk_overlap_sem,omp_k_mean,omp_k_std,omp_k_sem,omp_val_r2_mean,omp_val_r2_std,omp_val_r2_sem,budget_forward_mean,budget_forward_std,budget_forward_sem,budget_backward_mean,budget_backward_std,budget_backward_sem
16,5.0,first_order_omp,3,0.5469303205052388,0.2795779339793861,0.161414395442478,0.09990942099138234,0.04628128765079856,0.026720513883631055,0.1658657306139701,0.04545923001322945,0.026245898685291133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.2886751345948129,0.16666666666666666,1.6666666666666667,0.5773502691896258,0.3333333333333333,0.7359708762172724,0.11632984484845114,0.06716306723804068,16.0,0.0,0.0,0.0,0.0,0.0
24,5.0,first_order_omp,3,0.32039656790324583,0.40157172537138236,0.23184754374211006,0.13569010769273412,0.055097125013039185,0.03181033995785264,0.19766773119242567,0.06203776824063736,0.03581752219365559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.28867513459481287,0.16666666666666666,2.0,1.0,0.5773502691896258,0.6534639401852375,0.47188704993007413,0.27244411530422674,24.0,0.0,0.0,0.0,0.0,0.0
32,5.0,first_order_omp,3,0.6463363469828838,0.05548489051002404,0.032034216471919286,0.07574870788115873,0.0054321923757750966,0.0031362777304435835,0.14619676862759642,0.009052016781308644,0.005226184325397553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.6324345515825691,0.10410362590351967,0.06010425643901318,32.0,0.0,0.0,0.0,0.0,0.0
48,5.0,first_order_omp,3,0.6161076860205524,0.12493355136368853,0.07213041951064152,0.08424752922079874,0.0328827810216328,0.018984882474543212,0.1539806734661335,0.022938189668501332,0.013243369979831937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.2886751345948129,0.16666666666666666,1.6666666666666667,0.5773502691896258,0.3333333333333333,0.6217352799301341,0.30742811578746815,0.17749370540635417,48.0,0.0,0.0,0.0,0.0,0.0
56,5.0,first_order_omp,3,0.6414632918955578,0.0590161056344894,0.03407296447459587,0.08088835103712023,0.013806257218502847,0.00797104632160383,0.14957355134689643,0.009385499503691922,0.005418720664935627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.7815390241802573,0.16742634086033542,0.09666364296514868,56.0,0.0,0.0,0.0,0.0,0.0
64,5.0,first_order_omp,3,0.6776269900301864,0.013397278486206556,0.0077349223404197375,0.07695505721335201,0.008989078458142402,0.005189846867575182,0.1428923657454738,0.004605646429957381,0.0026590712061281283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.8323685589261752,0.13887619433849688,0.08018020818536192,64.0,0.0,0.0,0.0,0.0,0.0
72,5.0,first_order_omp,3,0.5324098022410649,0.13078576209878648,0.07550919495390475,0.11709705303455147,0.03075850110137518,0.01775842889074836,0.1715768599293639,0.029542619282582033,0.017056439195365366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.666666666666667,2.309401076758503,1.3333333333333333,0.774764685023719,0.060275542859118965,0.03480010089526315,72.0,0.0,0.0,0.0,0.0,0.0
80,5.0,first_order_omp,3,0.5826319458449435,0.16604099492005878,0.09586381311360925,0.0909058129574379,0.03867772514190135,0.0223305950223191,0.15692301926275642,0.03451342181925011,0.01992633337799915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.2886751345948129,0.16666666666666666,1.6666666666666667,0.5773502691896258,0.3333333333333333,0.478528262422407,0.4683999362714688,0.2704308292947361,80.0,0.0,0.0,0.0,0.0,0.0
96,5.0,first_order_omp,3,0.6562685219344052,0.05185925533151775,0.029940955025625313,0.07619955618883656,0.01417074867650324,0.008181485562997678,0.14351477412905886,0.004283781864661526,0.0024732426127119706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.7320508075688772,1.0,0.6921269533723864,0.18612310065047144,0.10745822226295752,96.0,0.0,0.0,0.0,0.0,0.0
112,5.0,first_order_omp,3,0.6515584557951787,0.06634154167340889,0.03830230694359739,0.07800261701528817,0.009071423739013982,0.005237388937652884,0.14633291001004264,0.010954083740182469,0.006324343196120054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.5773502691896258,0.743787550438434,0.0886933553405174,0.05120713258117884,112.0,0.0,0.0,0.0,0.0,0.0
