method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean,source_file,source_dir,budget_measurements,n_components,n_pairs,lifted_dim
lifted_omp,0.4926251552224731,0.1163841457926608,0.2189179553885593,0,8.0,16,0,,2.0,0.2838302631109541,1.0,0.0,1.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
multigain_atp,0.4922525479506392,0.1165440661560718,0.2189983254073665,0,8.0,16,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
raw_atp,0.5061458711744331,0.1053932952186689,0.2159813553174874,0,8.0,0,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
scalar_cal_atp,0.5040429960157538,0.1024346685151336,0.2164407008410457,0,8.0,16,1,0.9025388823518968,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
subset_ridge,-0.0744396560684192,0.2425682884327606,0.3185722421817047,0,8.0,16,0,,,,0.5,0.029402919357495,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
finite_single,0.3445129888657384,0.1367523188578224,0.2438202790397303,1,8.0,64,0,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
first_order_omp,0.3440184091614143,0.1458385741027254,0.2439122456396393,1,8.0,16,0,,1.0,-3.206400060333383,0.5,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
lifted_omp,-0.5209757093572163,0.2522030956439695,0.3714060021479243,1,8.0,16,0,,1.0,-0.6752449987589233,0.5,0.0,0.5,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
multigain_atp,0.4320268461809358,0.1130858850910382,0.2269612334819132,1,8.0,16,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
raw_atp,0.4281659027669313,0.1129400288707879,0.227731340591494,1,8.0,0,1,,,,1.0,0.0,0.0,0.0,runs/claim3_budget_m16/claim3_results.csv,runs/claim3_budget_m16,16,64,2016,2080
