epsilon,n_components,n_measurements,mask_kind,mask_density,mask_rows_normalized,finite_map_norm,atp_map_norm,atp_calibrated_map_norm,ridge_map_norm,omp_map_norm,finite_on_atp_slope,atp_on_finite_slope,finite_to_atp_norm_ratio,atp_vs_finite_cosine,atp_calibration_gain,atp_vs_finite_pearson,atp_vs_finite_spearman,ridge_vs_finite_pearson,ridge_vs_finite_spearman,omp_vs_finite_pearson,omp_vs_finite_spearman,finite_single_holdout_r2,atp_holdout_r2,atp_calibrated_holdout_r2,ridge_holdout_r2,omp_holdout_r2,ridge_train_r2,omp_val_r2,omp_k,aggregate_additivity_gap,atp_finite_calibration_gap,atp_calibrated_gap,atp_minus_finite_mae,atp_calibrated_minus_finite_mae,ridge_minus_finite_mae,omp_minus_finite_mae,source
0.05,32,128,signed,0.3,True,0.2489930223417583,0.1450925888989647,0.1907744653018901,0.1906720368739421,0.1875569797265216,1.7053179812573167,0.5790572154774307,1.7160974535725229,0.9937186129536144,1.314846380160298,0.9923410451206384,0.9988888888888888,0.9768375187463536,0.6455502248966576,0.9769541207832328,0.6691899028305942,0.8555957988466785,0.8463229814562354,0.9281387755808012,0.9196365634404128,0.9138008999339516,0.9804483049545246,0.9211876179024052,7,0.1444042011533215,0.009272817390443,-0.0725429767341228,0.0076127005464513,0.0046868416232138,0.008540604201678,0.0073470163007028,runs/m4_baseline_seed7/step0_v2_seed7/step0_results.csv
0.1,32,128,signed,0.3,True,0.5109379836598619,0.2901851777979295,0.4127406132704102,0.4199083974590281,0.3980874350559187,1.7577009054593284,0.5669686531441198,1.760730811742747,0.998279176883138,1.422335270197095,0.9979671308317288,0.9977777777777778,0.9872401781215908,0.6846074873618663,0.9882804913913724,0.6475617582430561,0.8884965424535591,0.8475924247007155,0.9482072418584272,0.9666922594820252,0.9442255826117004,0.9867610359444472,0.9426451640219649,6,0.1115034575464408,0.0409041177528436,-0.059710699404868,0.0161452448039199,0.0075431243917548,0.0130671458955216,0.0136844603647435,runs/m4_baseline_seed7/step0_v2_seed7/step0_results.csv
0.2,32,128,signed,0.3,True,0.8380155756614512,0.5803703555958591,0.8447297830090316,0.8500531745398783,0.8295224417597747,1.4425738376236623,0.6919015647824519,1.4439324262195834,0.999059105141452,1.4555012585743765,0.9988785433004402,0.9814814814814816,0.9940207963196672,0.7092946249578,0.990970037990669,0.656457979260758,0.9638685720660498,0.8492678045543125,0.9605674328909268,0.9736349466992206,0.9454023761441416,0.9949337604128718,0.9674729524009016,7,0.0361314279339501,0.1146007675117373,0.003301139175123,0.0211303218660759,0.0040129935982474,0.0122084028826434,0.0156681230890583,runs/m4_baseline_seed7/step0_v2_seed7/step0_results.csv
0.4,32,128,signed,0.3,True,1.5130943778519172,1.1607407111917185,1.5375356738428394,1.5272218166270508,1.515707651282203,1.3010922389878028,0.7656785574107535,1.3035593248887098,0.998107423380123,1.3246159620474327,0.9976570615071976,0.9748148148148148,0.9955886066263796,0.7387718041768254,0.9934181760116104,0.7293657713961158,0.973296168880898,0.8973312075258528,0.9755311880634232,0.9815737126640104,0.9683250232138204,0.9961205775385104,0.9758124260492028,8,0.0267038311191019,0.0759649613550452,-0.0022350191825252,0.0290467157115926,0.0110041081054226,0.0186791184723737,0.0250627184462792,runs/m4_baseline_seed7/step0_v2_seed7/step0_results.csv
0.6,32,128,signed,0.3,True,2.136889476821608,1.741111066787577,2.2576947480268283,2.2132633267550164,2.2054997344046674,1.2256359381150046,0.8136737737119528,1.2273137065082576,0.9986329751029782,1.296697718539214,0.998307756016388,0.991851851851852,0.9968348788587528,0.8316249187167556,0.9945583071419288,0.7586573346342107,0.9827557203362745,0.9260346605209224,0.9890577005850536,0.986028295946348,0.980444662853446,0.997037281328426,0.984224926169978,9,0.0172442796637256,0.056721059815352,-0.0063019802487793,0.033931801241124,0.0159780829795709,0.0247561014783181,0.0342962995818574,runs/m4_baseline_seed7/step0_v2_seed7/step0_results.csv
0.9,32,128,signed,0.3,True,3.1387005544637794,2.611666600181366,3.2453628343267984,3.195004447277607,3.19599155820103,1.1994811786150128,0.8304799264155529,1.2017998599996698,0.9980706592987476,1.2426405553072606,0.997650716546288,0.987037037037037,0.9970338126679652,0.8703137164417266,0.9961709025902196,0.8361912806792829,0.9870550681457532,0.947545454526492,0.9921088688306224,0.9862543462333324,0.983536612808512,0.9978256673143272,0.990344912693142,12,0.0129449318542468,0.039509613619261,-0.0050538006848691,0.044258142093895,0.0210002728513682,0.0300473525032078,0.0373085619474203,runs/m4_baseline_seed7/step0_v2_seed7/step0_results.csv
1.2,32,128,signed,0.3,True,3.997942635184374,3.482222133575154,4.170867473658449,4.090899667786692,4.048370954351705,1.146448731306596,0.8697500545954752,1.1481009774295288,0.998560887800451,1.197760313290603,0.99823391818791,0.991851851851852,0.9961236410422396,0.8872630944926662,0.9946833403347548,0.714006273796418,0.9873630783471624,0.9583353035512924,0.9930212098175748,0.9842857081312144,0.9838708346652189,0.9972519273721512,0.983068607373144,7,0.0126369216528375,0.02902777479587,-0.0056581314704124,0.0475949069834314,0.0262447526003319,0.0427857314752526,0.0628119044884999,runs/m4_baseline_seed7/step0_v2_seed7/step0_results.csv
2.0,32,128,signed,0.3,True,5.804131078631793,5.803703555958592,6.226031895598224,6.147751845573021,6.028076924112213,0.9979588139748096,0.997811803405631,1.0000736637681575,0.9978853059829818,1.0727687649046156,0.9974398167086352,0.975925925925926,0.9918652101118683,0.7793029256029855,0.991713871275856,0.6548650863435418,0.9734066048038952,0.977290065448392,0.9888081144352652,0.9664830944886617,0.9678259391955988,0.9941994413635932,0.9763425908150865,6,0.0265933951961048,-0.0038834606444969,-0.0154015096313698,0.0424605116713792,0.0535261713260108,0.1049061948359601,0.1079014616597394,runs/m4_baseline_seed7/step0_v2_seed7/step0_results.csv
3.0,32,128,signed,0.3,True,7.529481346348172,8.705555333937887,8.319653895686793,8.255728265833227,8.043996917007487,0.8607658865974019,1.1506622998457436,0.8649053457847901,0.9952139743296048,0.9556718183449264,0.9941952277708196,0.9318518518518518,0.9866564180349116,0.7380348746963499,0.987463319324895,0.6402584301425707,0.9469421950130744,0.9846612010493392,0.9813456224316116,0.955014487106086,0.9621726239307172,0.9896816275900576,0.9718626563467933,6,0.0530578049869254,-0.0377190060362645,-0.034403427418537,0.1244854209944605,0.0978196484672704,0.1697845303120478,0.1542830294345996,runs/m4_baseline_seed7/step0_v2_seed7/step0_results.csv
5.0,32,128,signed,0.3,True,10.624395161071291,14.50925888989648,11.759552928430969,11.7752122050488,11.427429360019062,0.7240824449435943,1.350423688242915,0.7322493341454944,0.9888468465301772,0.8104861190821905,0.987182503942863,0.7648148148148148,0.987326106358839,0.6396547890528523,0.9915224595785928,0.5770297860846152,0.9317739278205476,0.96299018945335,0.970375153404917,0.9488901851475744,0.9658580978939816,0.9857852423232626,0.96811822056319,4,0.0682260721794524,-0.0312162616328025,-0.0386012255843694,0.3843138496158644,0.1854547808456216,0.2432454833051524,0.1953361319828317,runs/m4_baseline_seed7/step0_v2_seed7/step0_results.csv
