seed,epsilon,method,term_type,i,j,coef,is_true_main,is_confound,is_true_pair
0,5.0,raw_atp,main,0,-1,1.4,1,0,0
0,5.0,raw_atp,main,1,-1,-1.1,1,0,0
0,5.0,raw_atp,main,6,-1,0.0,0,1,0
0,5.0,scalar_cal_atp,main,0,-1,1.2030592165065088,1,0,0
0,5.0,scalar_cal_atp,main,1,-1,-0.9452608129694,1,0,0
0,5.0,scalar_cal_atp,main,6,-1,0.0,0,1,0
0,5.0,multigain_atp,main,0,-1,1.3292719122480277,1,0,0
0,5.0,multigain_atp,main,1,-1,-0.7579042216750714,1,0,0
0,5.0,multigain_atp,main,6,-1,0.0,0,1,0
0,5.0,finite_single,main,0,-1,1.1142411314207046,1,0,0
0,5.0,finite_single,main,1,-1,-0.2930090365330048,1,0,0
0,5.0,finite_single,main,6,-1,0.0,0,1,0
0,5.0,subset_ridge,main,0,-1,0.6986225800012245,1,0,0
0,5.0,subset_ridge,main,1,-1,-0.5429466323435522,1,0,0
0,5.0,subset_ridge,main,2,-1,0.09141536567906701,0,0,0
0,5.0,subset_ridge,main,3,-1,-0.2753530161504684,0,0,0
0,5.0,subset_ridge,main,5,-1,0.1206179439054415,0,0,0
0,5.0,subset_ridge,main,6,-1,0.17009062205519465,0,1,0
0,5.0,subset_ridge,main,7,-1,0.06858365293789928,0,0,0
0,5.0,subset_ridge,main,9,-1,0.16708753054160158,0,0,0
0,5.0,subset_ridge,main,10,-1,0.2348235336856712,0,0,0
0,5.0,subset_ridge,main,11,-1,0.13076658829822785,0,0,0
0,5.0,subset_ridge,main,14,-1,0.09232165005044515,0,0,0
0,5.0,subset_ridge,main,15,-1,0.16469963529560816,0,0,0
0,5.0,subset_ridge,main,16,-1,-0.17314966693526787,0,0,0
0,5.0,subset_ridge,main,17,-1,0.3447324420440351,0,0,0
0,5.0,subset_ridge,main,18,-1,0.19606410328292462,0,0,0
0,5.0,subset_ridge,main,19,-1,0.050540258988425686,0,0,0
0,5.0,subset_ridge,main,20,-1,0.05540307232648534,0,0,0
0,5.0,subset_ridge,main,22,-1,0.12326950262761174,0,0,0
0,5.0,subset_ridge,main,23,-1,-0.09303970735629855,0,0,0
0,5.0,subset_ridge,main,26,-1,-0.08727787783993816,0,0,0
0,5.0,subset_ridge,main,28,-1,-0.10903531291869957,0,0,0
0,5.0,subset_ridge,main,29,-1,0.08211822012808247,0,0,0
0,5.0,subset_ridge,main,32,-1,-0.11832709595148115,0,0,0
0,5.0,subset_ridge,main,34,-1,0.05531532054779046,0,0,0
0,5.0,subset_ridge,main,35,-1,0.05500392625044828,0,0,0
0,5.0,subset_ridge,main,36,-1,-0.07529126730682317,0,0,0
0,5.0,subset_ridge,main,37,-1,0.2591520816187937,0,0,0
0,5.0,subset_ridge,main,38,-1,-0.0603395682829498,0,0,0
0,5.0,subset_ridge,main,39,-1,-0.12424568260018319,0,0,0
0,5.0,subset_ridge,main,42,-1,-0.16550826882842737,0,0,0
0,5.0,subset_ridge,main,44,-1,0.24942790054153183,0,0,0
0,5.0,subset_ridge,main,46,-1,-0.11564645362032187,0,0,0
0,5.0,subset_ridge,main,47,-1,-0.1305230651734783,0,0,0
0,5.0,subset_ridge,main,48,-1,0.12448621566225929,0,0,0
0,5.0,subset_ridge,main,51,-1,-0.2047792689161763,0,0,0
0,5.0,subset_ridge,main,52,-1,0.15930877859234818,0,0,0
0,5.0,subset_ridge,main,54,-1,0.21690616716340796,0,0,0
0,5.0,subset_ridge,main,55,-1,-0.146876720397506,0,0,0
0,5.0,subset_ridge,main,56,-1,-0.08630074969948481,0,0,0
0,5.0,subset_ridge,main,57,-1,0.05961184847516136,0,0,0
0,5.0,subset_ridge,main,60,-1,-0.07379661839692024,0,0,0
0,5.0,subset_ridge,main,63,-1,-0.07462151527946807,0,0,0
0,5.0,first_order_omp,main,0,-1,1.3305553657726965,1,0,0
0,5.0,first_order_omp,main,1,-1,-0.758886447737128,1,0,0
0,5.0,first_order_omp,main,6,-1,0.0,0,1,0
0,5.0,lifted_omp,main,0,-1,1.3305553657726965,1,0,0
0,5.0,lifted_omp,main,1,-1,-0.758886447737128,1,0,0
0,5.0,lifted_omp,main,6,-1,0.0,0,1,0
0,5.0,lifted_omp,pair,2,3,0.0,0,0,1
0,5.0,lifted_omp,pair,4,5,0.0,0,0,1
0,8.0,raw_atp,main,0,-1,1.4,1,0,0
0,8.0,raw_atp,main,1,-1,-1.1,1,0,0
0,8.0,raw_atp,main,6,-1,0.0,0,1,0
0,8.0,scalar_cal_atp,main,0,-1,1.040663299684901,1,0,0
0,8.0,scalar_cal_atp,main,1,-1,-0.8176640211809938,1,0,0
0,8.0,scalar_cal_atp,main,6,-1,0.0,0,1,0
0,8.0,multigain_atp,main,0,-1,1.2803506033694387,1,0,0
0,8.0,multigain_atp,main,1,-1,-0.47907206398833785,1,0,0
0,8.0,multigain_atp,main,6,-1,0.0,0,1,0
0,8.0,finite_single,main,0,-1,0.8688727903370983,1,0,0
0,8.0,finite_single,main,1,-1,-0.18333108046931254,1,0,0
0,8.0,finite_single,main,6,-1,0.0,0,1,0
0,8.0,subset_ridge,main,0,-1,0.6611761034485065,1,0,0
0,8.0,subset_ridge,main,1,-1,-0.3898295391398712,1,0,0
0,8.0,subset_ridge,main,2,-1,0.2300995760544106,0,0,0
0,8.0,subset_ridge,main,3,-1,-0.41519167406640706,0,0,0
0,8.0,subset_ridge,main,5,-1,0.12254431312109933,0,0,0
0,8.0,subset_ridge,main,6,-1,0.13678303545106862,0,1,0
0,8.0,subset_ridge,main,7,-1,0.06816994772680753,0,0,0
0,8.0,subset_ridge,main,9,-1,0.16492152255150133,0,0,0
