epsilon,method,heldout_r2,heldout_r2,heldout_r2,mae,mae,mae,rmse,rmse,rmse,main_topk_overlap,main_topk_overlap,main_topk_overlap,pair_topk_recall,pair_topk_recall,pair_topk_recall,confound_abs_coef,confound_abs_coef,confound_abs_coef
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count,mean,std,count
5.0,finite_single,0.49828509996778103,0.03679444315998048,3,0.13692847985367265,0.0005902102538161895,3,0.18577675756291523,0.0008320388788390215,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,first_order_omp,0.5342875963688719,0.06251468149636451,3,0.13055553977444773,0.007425214450976067,3,0.17871095766925274,0.006654433268760097,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,lifted_omp,0.4770207711806373,0.5185028762965985,3,0.13360630017784017,0.0714885321754967,3,0.17580692351335805,0.09268201202990081,3,0.8333333333333334,0.2886751345948129,3,0.6666666666666666,0.28867513459481287,3,0.0,0.0,3
5.0,multigain_atp,0.57539473124128,0.03920310035060618,3,0.12086012500524405,0.001839910415457366,3,0.1708208748100051,0.0016490228403116744,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,raw_atp,0.5715693359668482,0.03853911802835243,3,0.12182158002952014,0.0025811247936786655,3,0.17159989925457209,0.0012892886051428121,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,scalar_cal_atp,0.5760159084621993,0.03248242577774606,3,0.1211505770630981,0.0020917154837704235,3,0.17076664726808718,0.0009554993579103775,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
5.0,subset_ridge,-0.4039523300172741,0.6661040242807558,3,0.23956836465814454,0.05958299166103512,3,0.3050473498264519,0.07297129359575452,3,0.6666666666666666,0.5773502691896258,3,0.0,0.0,3,0.2887851493658515,0.3010902339464598,3
8.0,finite_single,0.2930818897124697,0.02736270488933447,3,0.1714728813326565,0.0035075020113395326,3,0.2548913500058306,0.004403017131903942,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,first_order_omp,0.26071508031166984,0.07835457889984225,3,0.18002069575493648,0.009015134198152476,3,0.26029110252527093,0.008872768431178187,3,0.6666666666666666,0.28867513459481287,3,0.0,0.0,3,0.0,0.0,3
8.0,lifted_omp,0.8851217780284039,0.009459061873547787,3,0.08113620755720351,0.0003483529323648168,3,0.10265260491860166,0.001093330211518016,3,1.0,0.0,3,1.0,0.0,3,0.0,0.0,3
8.0,multigain_atp,0.35786520723087384,0.036614685816197964,3,0.1540443462986686,0.0025335093116822145,3,0.24284286700949495,0.0024134639735510642,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,raw_atp,0.33326795130741893,0.03412366946161181,3,0.16006307134365372,0.0008178162748392964,3,0.2474807774350873,0.0029947149600748585,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,scalar_cal_atp,0.349676333640498,0.026913910517438588,3,0.15708858063783096,0.0026906255959227576,3,0.24446676934441267,0.004275099245623076,3,1.0,0.0,3,0.0,0.0,3,0.0,0.0,3
8.0,subset_ridge,-1.0276200811603708,1.0568451291855467,3,0.3274515340714987,0.09174446564761281,3,0.4208079582182231,0.10895280605658907,3,0.5,0.5,3,0.0,0.0,3,0.3869331967797059,0.47272405831721453,3
