template_id,order,frame_id,ablation,prompt_idx,io_name,s_name,io_token,s_token,B,BE,E,P,PB,PBE,PE,clean,D_P,D_B,D_E,D_PB,D_PE,D_BE,D_PBE,I_PB,I_PE,I_BE,I_PB_per_pair,I_PE_per_pair,I_BE_per_pair,I_PE_minus_PB,I_PB_minus_BE,I_PE_minus_BE,I_PBE_third_order
abba_t0,ABBA,t0,mean,0,Nancy,Daniel,18496,7806,1.0040102005004883,0.0313262939453125,-2.1398372650146484,-1.627878189086914,1.1205997467041016,1.6848955154418945,-2.5459470748901367,0.0,-1.627878189086914,1.0040102005004883,-2.1398372650146484,1.1205997467041016,-2.5459470748901367,0.0313262939453125,1.6848955154418945,1.7444677352905273,1.2217683792114258,1.1671533584594727,0.0726861556371053,0.2036280632019043,0.07294708490371704,-0.5226993560791016,0.5773143768310547,0.054615020751953125,0.31521129608154297
abba_t0,ABBA,t0,mean,1,Brian,Eric,8403,7651,0.9216575622558594,-2.65004825592041,-4.487393379211426,0.3344841003417969,3.230884552001953,3.907184600830078,-0.8417234420776367,0.0,0.3344841003417969,0.9216575622558594,-4.487393379211426,3.230884552001953,-0.8417234420776367,-2.65004825592041,3.907184600830078,1.9747428894042969,3.311185836791992,0.9156875610351562,0.08228095372517903,0.5518643061319987,0.057230472564697266,1.3364429473876953,1.0590553283691406,2.395498275756836,0.9368200302124023
abba_t0,ABBA,t0,mean,2,Emma,Mary,18966,5335,-0.07431697845458984,-1.4541511535644531,-1.4250860214233398,1.4663982391357422,2.338092803955078,2.3082733154296875,1.1909856796264648,0.0,1.4663982391357422,-0.07431697845458984,-1.4250860214233398,2.338092803955078,1.1909856796264648,-1.4541511535644531,2.3082733154296875,0.9460115432739258,1.1496734619140625,0.04525184631347656,0.039417147636413574,0.19161224365234375,0.002828240394592285,0.20366191864013672,0.9007596969604492,1.104421615600586,0.20034122467041016
abba_t0,ABBA,t0,mean,3,Michael,Jacob,3899,12806,0.44721508026123047,-1.854182243347168,-2.7043018341064453,-1.2465543746948242,0.07134723663330078,1.7891082763671875,-0.7469196319580078,0.0,-1.2465543746948242,0.44721508026123047,-2.7043018341064453,0.07134723663330078,-0.7469196319580078,-1.854182243347168,1.7891082763671875,0.8706865310668945,3.2039365768432617,0.4029045104980469,0.036278605461120605,0.533989429473877,0.02518153190612793,2.333250045776367,0.46778202056884766,2.801032066345215,0.8152217864990234
abba_t0,ABBA,t0,mean,4,Anna,Daniel,11735,7806,0.26427459716796875,-0.3397083282470703,-0.6571378707885742,-0.022441864013671875,1.6800661087036133,1.6065130233764648,-0.0801544189453125,0.0,-0.022441864013671875,0.26427459716796875,-0.6571378707885742,1.6800661087036133,-0.0801544189453125,-0.3397083282470703,1.6065130233764648,1.4382333755493164,0.5994253158569336,0.053154945373535156,0.059926390647888184,0.09990421930948894,0.0033221840858459473,-0.8388080596923828,1.3850784301757812,0.5462703704833984,-0.06899547576904297
abba_t0,ABBA,t0,mean,5,Helen,Karen,22695,18678,0.5249767303466797,-2.5175113677978516,-3.5350189208984375,0.5977668762207031,2.1218748092651367,1.7209663391113281,-0.6992826461791992,0.0,0.5977668762207031,0.5249767303466797,-3.5350189208984375,2.1218748092651367,-0.6992826461791992,-2.5175113677978516,1.7209663391113281,0.9991312026977539,2.237969398498535,0.49253082275390625,0.04163046677907308,0.37299489974975586,0.03078317642211914,1.2388381958007812,0.5066003799438477,1.745438575744629,0.4036102294921875
abba_t0,ABBA,t0,mean,6,Jason,Jessica,8982,17352,2.125650405883789,-0.9327564239501953,-3.3867616653442383,0.035251617431640625,3.873462677001953,3.7190637588500977,-1.1359844207763672,0.0,0.035251617431640625,2.125650405883789,-3.3867616653442383,3.873462677001953,-1.1359844207763672,-0.9327564239501953,3.7190637588500977,1.7125606536865234,2.2155256271362305,0.3283548355102539,0.07135669390360515,0.36925427118937176,0.02052217721939087,0.502964973449707,1.3842058181762695,1.8871707916259766,0.6884822845458984
abba_t0,ABBA,t0,mean,7,Anna,Laura,11735,16753,0.26906681060791016,-0.4791526794433594,-0.7474155426025391,0.7419061660766602,1.655278205871582,1.6279735565185547,0.6324253082275391,0.0,0.7419061660766602,0.26906681060791016,-0.7474155426025391,1.655278205871582,0.6324253082275391,-0.4791526794433594,1.6279735565185547,0.6443052291870117,0.637934684753418,-0.0008039474487304688,0.02684605121612549,0.106322447458903,-5.02467155456543e-05,-0.00637054443359375,0.6451091766357422,0.6387386322021484,0.08298015594482422
abba_t0,ABBA,t0,mean,8,Kevin,Eric,7939,7651,0.0066680908203125,-2.868556022644043,-3.2685441970825195,-0.3365650177001953,1.6751365661621094,2.7800846099853516,-0.3341941833496094,0.0,-0.3365650177001953,0.0066680908203125,-3.2685441970825195,1.6751365661621094,-0.3341941833496094,-2.868556022644043,2.7800846099853516,2.005033493041992,3.2709150314331055,0.39332008361816406,0.08354306221008301,0.545152505238851,0.024582505226135254,1.2658815383911133,1.6117134094238281,2.8775949478149414,0.7092571258544922
abba_t0,ABBA,t0,mean,9,Helen,James,22695,3700,0.39101219177246094,-1.5172758102416992,-2.833311080932617,-1.0324525833129883,0.3404369354248047,0.7466278076171875,-2.0091638565063477,0.0,-1.0324525833129883,0.39101219177246094,-2.833311080932617,0.3404369354248047,-2.0091638565063477,-1.5172758102416992,0.7466278076171875,0.981877326965332,1.8565998077392578,0.925023078918457,0.04091155529022217,0.3094333012898763,0.057813942432403564,0.8747224807739258,0.056854248046875,0.9315767288208008,0.45787906646728516
abba_t0,ABBA,t0,mean,10,Jacob,Tom,12806,4186,0.8707103729248047,-2.3141565322875977,-3.3192882537841797,0.4479341506958008,3.509855270385742,4.032891273498535,-0.014833450317382812,0.0,0.4479341506958008,0.8707103729248047,-3.3192882537841797,3.509855270385742,-0.014833450317382812,-2.3141565322875977,4.032891273498535,2.1912107467651367,2.856520652770996,0.13442134857177734,0.09130044778188069,0.4760867754618327,0.008401334285736084,0.6653099060058594,2.0567893981933594,2.7220993041992188,0.8513822555541992
abba_t0,ABBA,t0,mean,11,Jessica,Tom,17352,4186,1.02288818359375,-1.470296859741211,-2.7875967025756836,1.0608320236206055,4.40031623840332,4.172822952270508,0.055504798889160156,0.0,1.0608320236206055,1.02288818359375,-2.7875967025756836,4.40031623840332,0.055504798889160156,-1.470296859741211,4.172822952270508,2.316596031188965,1.7822694778442383,0.29441165924072266,0.09652483463287354,0.29704491297403973,0.018400728702545166,-0.5343265533447266,2.022184371948242,1.4878578186035156,0.48342227935791016
abba_t0,ABBA,t0,mean,12,Brian,Alice,8403,14862,1.2138986587524414,-3.2435150146484375,-5.423027992248535,-0.016510963439941406,2.4792118072509766,3.4245777130126953,-1.4267196655273438,0.0,-0.016510963439941406,1.2138986587524414,-5.423027992248535,2.4792118072509766,-1.4267196655273438,-3.2435150146484375,3.4245777130126953,1.2818241119384766,4.012819290161133,0.9656143188476562,0.05340933799743652,0.6688032150268555,0.060350894927978516,2.7309951782226562,0.3162097930908203,3.0472049713134766,1.3899602890014648
abba_t0,ABBA,t0,mean,13,Lisa,Karen,15378,18678,0.4419717788696289,-2.6537513732910156,-3.39968204498291,1.248671531677246,2.9697704315185547,2.5042810440063477,0.2165212631225586,0.0,1.248671531677246,0.4419717788696289,-3.39968204498291,2.9697704315185547,0.2165212631225586,-2.6537513732910156,2.5042810440063477,1.2791271209716797,2.3675317764282227,0.3039588928222656,0.053296963373819985,0.3945886294047038,0.0189974308013916,1.088404655456543,0.9751682281494141,2.063572883605957,0.26270198822021484
abba_t0,ABBA,t0,mean,14,Michael,Helen,3899,22695,0.9046535491943359,-1.390878677368164,-2.8837852478027344,-0.4601001739501953,1.7905349731445312,2.560185432434082,-0.913818359375,0.0,-0.4601001739501953,0.9046535491943359,-2.8837852478027344,1.7905349731445312,-0.913818359375,-1.390878677368164,2.560185432434082,1.3459815979003906,2.4300670623779297,0.5882530212402344,0.056082566579182945,0.4050111770629883,0.03676581382751465,1.084085464477539,0.7577285766601562,1.8418140411376953,0.6351156234741211
