ablation,metric,n_bootstrap,mean,median,q025,q975,p_gt_zero,resampled_lexical_frames,retained_orders_per_frame,shared_name_pairs
mean,D_P,2000,0.30624760561110453,0.30389712704345584,0.11599321202374994,0.506423785863444,1.0,4,2,128
mean,D_B,2000,0.4120087077934295,0.4141985923051834,0.2791558053810149,0.5414698485052213,1.0,4,2,128
mean,D_E,2000,-2.270573753955774,-2.268418383318931,-2.6778811048017817,-1.8995221406221394,0.0,4,2,128
mean,D_PB,2000,1.8007281662942842,1.7991122156381607,1.4768814887851476,2.1353545681573447,1.0,4,2,128
mean,D_PE,2000,-0.13363851798139512,-0.13215004466474056,-0.32578881389927117,0.06368411919102067,0.083,4,2,128
mean,D_BE,2000,-1.3567847468461842,-1.3534377724863589,-1.7950408766278998,-0.9457398636732253,0.0,4,2,128
mean,D_PBE,2000,2.1819016972929237,2.177592767868191,1.9593775699147955,2.4234204589156434,1.0,4,2,128
mean,I_PB,2000,1.0824718528897501,1.0802632463164628,0.912396450759843,1.2620968897361307,1.0,4,2,128
mean,I_PE,2000,1.8306876303632744,1.8303664568811655,1.5691671601729467,2.0761583137558772,1.0,4,2,128
mean,I_BE,2000,0.5017802993161604,0.5017075478099287,0.429121883912012,0.5763547254260628,1.0,4,2,128
mean,I_PB_per_pair,2000,0.04510299387040626,0.04501096859651928,0.03801651878166015,0.05258737040567218,1.0,4,2,128
mean,I_PE_per_pair,2000,0.3051146050605457,0.30506107614686073,0.2615278600288244,0.3460263856259797,1.0,4,2,128
mean,I_BE_per_pair,2000,0.031361268707260026,0.03135672173812054,0.026820117744500747,0.03602217033912892,1.0,4,2,128
mean,I_PE_minus_PB,2000,0.7482157774735242,0.7451880676671863,0.5618709329515695,0.9343692377209661,1.0,4,2,128
mean,I_PB_minus_BE,2000,0.5806915535735898,0.5792859122157097,0.35994727807119486,0.8129041066858914,1.0,4,2,128
mean,I_PE_minus_BE,2000,1.328907331047114,1.3331532385200262,1.0335216005798429,1.6113121034111824,1.0,4,2,128
mean,I_PBE_third_order,2000,0.319279355274979,0.31702864030376077,0.21489635596517473,0.4390859273495152,1.0,4,2,128
zero,D_P,2000,-0.11245570738334208,-0.1132705113850534,-0.2897991206962615,0.07250267204362876,0.1015,4,2,128
zero,D_B,2000,0.3533790503242053,0.35400180285796523,0.19770791435148566,0.5093214840162544,1.0,4,2,128
zero,D_E,2000,-2.336383211725857,-2.3297238419763744,-2.7163722314173357,-1.9796674217563122,0.0,4,2,128
zero,D_PB,2000,1.5125143637987786,1.515050807967782,1.1705121183535083,1.8395386254880577,1.0,4,2,128
zero,D_PE,2000,-0.7658970460840501,-0.7612464288249612,-1.0553828792180866,-0.49166699268389497,0.0,4,2,128
zero,D_BE,2000,-1.4657400999828243,-1.4565057149156928,-1.9462987534934655,-1.0117265501990915,0.0,4,2,128
zero,D_PBE,2000,1.9762878750213422,1.9754278901964426,1.7634336474118755,2.193049995205365,1.0,4,2,128
zero,I_PB,2000,1.2715910208579153,1.2655129372142255,1.0130089632235468,1.558044777275063,1.0,4,2,128
zero,I_PE,2000,1.682941873025149,1.6805200753733516,1.4743316280189902,1.8890303805237636,1.0,4,2,128
zero,I_BE,2000,0.5172640614188276,0.5176676977425814,0.4159935256931931,0.6178507436066865,1.0,4,2,128
zero,I_PB_per_pair,2000,0.052982959202413124,0.05272970571725934,0.04220870680098118,0.06491853238646092,1.0,4,2,128
zero,I_PE_per_pair,2000,0.28049031217085824,0.28008667922889213,0.2457219380031655,0.3148383967539605,1.0,4,2,128
zero,I_BE_per_pair,2000,0.03232900383867673,0.032354231108911335,0.025999595355824565,0.0386156714754179,1.0,4,2,128
zero,I_PE_minus_PB,2000,0.4113508521672338,0.4134601056575775,0.20728330365382136,0.6110320116858929,1.0,4,2,128
zero,I_PB_minus_BE,2000,0.7543269594390877,0.7460872046649456,0.40913338898681106,1.1257563611725345,1.0,4,2,128
zero,I_PE_minus_BE,2000,1.1656778116063216,1.1688119247555733,0.8933389118872583,1.4339283072622493,1.0,4,2,128
zero,I_PBE_third_order,2000,0.599950788504444,0.6007127682678401,0.4166766638867557,0.7895035149296745,1.0,4,2,128
