ablation,metric,n_bootstrap,mean,median,q025,q975,p_gt_zero
mean,D_B,2000,0.4145844846391119,0.41414124239236116,0.2924340246943757,0.5379342901753261,1.0
mean,D_BE,2000,-1.355242576994002,-1.3585288408212364,-1.7211089396150783,-0.9543699559522796,0.0
mean,D_E,2000,-2.2724809333919547,-2.2775442600250244,-2.5849273732164875,-1.9179595054360106,0.0
mean,D_P,2000,0.3067100616837852,0.3015249050222337,0.0918813890311867,0.5335463191382586,0.9995
mean,D_PB,2000,1.802779356374871,1.8049766095355153,1.4954318132484332,2.0631129866931586,1.0
mean,D_PBE,2000,2.1824762990865856,2.186460718046874,1.9777226563543082,2.3732226476306097,1.0
mean,D_PE,2000,-0.13581346508068964,-0.13303769566118717,-0.34642763207666577,0.053302123607136265,0.083
mean,I_BE,2000,0.502653871758841,0.5022968952544034,0.44727918223943564,0.5558721432462335,1.0
mean,I_BE_per_pair,2000,0.031415866984927564,0.03139355595340021,0.027954948889964727,0.03474200895288959,1.0
mean,I_PB,2000,1.0814848100519738,1.080883264541626,0.9481110580498353,1.2203044680412858,1.0
mean,I_PBE_third_order,2000,0.31956659771734847,0.3178731766529381,0.23723432165570557,0.4092532928567378,1.0
mean,I_PB_minus_BE,2000,0.5788309382931329,0.5803372748196125,0.4259705004747957,0.7276229187846184,1.0
mean,I_PB_per_pair,2000,0.04506186708549891,0.04503680268923442,0.03950462741874314,0.05084601950172024,1.0
mean,I_PE,2000,1.82995740662748,1.8387190625071526,1.5829444160917774,2.0312249139882623,1.0
mean,I_PE_minus_BE,2000,1.327303534868639,1.3346941419877112,1.0581538149155676,1.5625529217766594,1.0
mean,I_PE_minus_PB,2000,0.748472596575506,0.7494241916574538,0.5889587086392567,0.9132765643997117,1.0
mean,I_PE_per_pair,2000,0.30499290110458,0.30645317708452546,0.26382406934862956,0.33853748566471037,1.0
zero,D_B,2000,0.3549130451595411,0.35349920578300953,0.20108787254430355,0.526229900913313,1.0
zero,D_BE,2000,-1.4645480240387843,-1.4697427619248629,-1.9084058607462793,-0.9659596852026883,0.0
zero,D_E,2000,-2.338206957348622,-2.3431534278206527,-2.6611306451959535,-1.9674963282654065,0.0
zero,D_P,2000,-0.11153267166670412,-0.11383333196863532,-0.32913987105712295,0.10506845088675608,0.152
zero,D_PB,2000,1.5136185141061433,1.517521440051496,1.2470792233711108,1.7505703626899047,1.0
zero,D_PBE,2000,1.976685677681584,1.9791939118877053,1.799710590322502,2.142772920266725,1.0
zero,D_PE,2000,-0.7678570698075928,-0.7583981831558049,-1.025232698651962,-0.5656576465815306,0.0
zero,I_BE,2000,0.5187458881502971,0.5185076207853854,0.4523095821030438,0.5846079711336643,1.0
zero,I_BE_per_pair,2000,0.03242161800939357,0.032406726299086586,0.028269348881440236,0.036537998195854016,1.0
zero,I_PB,2000,1.2702381406133063,1.270800568163395,1.0514130706898868,1.4792260931339114,1.0
zero,I_PBE_third_order,2000,0.6006456735660322,0.6004796121269464,0.467649338580668,0.7345535784726962,1.0
zero,I_PB_minus_BE,2000,0.7514922524630092,0.7511069211177528,0.5030875697964803,0.9980246166000143,1.0
zero,I_PB_per_pair,2000,0.052926589192221096,0.05295002367347479,0.043808877945411946,0.061634420547246306,1.0
zero,I_PE,2000,1.6818825592077338,1.6894237929955125,1.452135372837074,1.8789721098495646,1.0
zero,I_PE_minus_BE,2000,1.1631366710574367,1.1705511519685388,0.9070856854552403,1.392425819742493,1.0
zero,I_PE_minus_PB,2000,0.4116444185944274,0.4125983975827694,0.2527893646620214,0.5612172349356114,1.0
zero,I_PE_per_pair,2000,0.28031375986795565,0.28157063216591877,0.24202256213951237,0.31316201830826074,1.0
