heldout_template,ablation,metric,heldout_mean,remaining_templates_mean
abba_t0,mean,I_PB,1.4173178523778915,1.0313877016305923
abba_t0,mean,I_PE,2.042786054313183,1.7993110897285598
abba_t0,mean,I_BE,0.48997344821691513,0.5037095951182502
abba_t0,mean,I_PE_minus_PB,0.6254682019352913,0.7679233880979675
abba_t0,zero,I_PB,1.7651015743613243,1.1965920265231813
abba_t0,zero,I_PE,1.7744109332561493,1.6675050279923849
abba_t0,zero,I_BE,0.434183694422245,0.5297268352338246
abba_t0,zero,I_PE_minus_PB,0.009309358894824982,0.4709130014692034
abba_t1,mean,I_PB,0.844125971198082,1.113272256084851
abba_t1,mean,I_PE,1.457985483109951,1.8828540284718787
abba_t1,mean,I_BE,0.4796583876013756,0.5051831752061844
abba_t1,mean,I_PE_minus_PB,0.613859511911869,0.7695817723870277
abba_t1,zero,I_PB,0.9009269773960114,1.320045540375369
abba_t1,zero,I_PE,1.2659151256084442,1.7401472862277712
abba_t1,zero,I_BE,0.49716828763484955,0.5207290362034526
abba_t1,zero,I_PE_minus_PB,0.36498814821243286,0.4201017458524023
abba_t2,mean,I_PB,1.1983929798007011,1.0626626834273338
abba_t2,mean,I_PE,1.911495953798294,1.8180668183735438
abba_t2,mean,I_BE,0.5748107507824898,0.4915899804660252
abba_t2,mean,I_PE_minus_PB,0.7131029739975929,0.7554041349462101
abba_t2,zero,I_PB,1.3275807425379753,1.2590950024979455
abba_t2,zero,I_PE,1.696532428264618,1.6786305287054606
abba_t2,zero,I_BE,0.5557482168078423,0.5123604748930249
abba_t2,zero,I_PE_minus_PB,0.3689516857266426,0.41953552620751516
abba_t3,mean,I_PB,0.7945876270532608,1.1203491623912538
abba_t3,mean,I_PE,1.1597502753138542,1.9254590581570352
abba_t3,mean,I_BE,0.5929078683257103,0.48900467795985086
abba_t3,mean,I_PE_minus_PB,0.3651626482605934,0.8051098957657814
abba_t3,zero,I_PB,0.7471287474036217,1.3420167160885674
abba_t3,zero,I_PE,1.0753726810216904,1.7673676354544503
abba_t3,zero,I_BE,0.5960791558027267,0.5065989121794701
abba_t3,zero,I_PE_minus_PB,0.3282439336180687,0.4253509193658829
baba_t0,mean,I_PB,1.1167172119021416,1.0743306502699852
baba_t0,mean,I_PE,2.07170532643795,1.7951797651393073
baba_t0,mean,I_BE,0.3916919305920601,0.5177498119218009
baba_t0,mean,I_PE_minus_PB,0.9549881145358086,0.7208491148693221
baba_t0,zero,I_PB,1.5159839317202568,1.232180261186191
baba_t0,zero,I_PE,1.8743442744016647,1.6532288364001684
baba_t0,zero,I_BE,0.40534500777721405,0.5338466476116862
baba_t0,zero,I_PE_minus_PB,0.35836034268140793,0.42104857521397726
baba_t1,mean,I_PB,1.1385914459824562,1.0712057596870832
baba_t1,mean,I_PE,1.9429679960012436,1.813570812344551
baba_t1,mean,I_BE,0.578179806470871,0.49110868679625647
baba_t1,mean,I_PE_minus_PB,0.8043765500187874,0.742365052657468
baba_t1,zero,I_PB,1.2548706009984016,1.2694821655750275
baba_t1,zero,I_PE,1.900578148663044,1.649481140077114
baba_t1,zero,I_BE,0.6536262407898903,0.4983779000384467
baba_t1,zero,I_PE_minus_PB,0.6457075476646423,0.37999897450208664
baba_t2,mean,I_PB,1.050795242190361,1.0837480745145254
baba_t2,mean,I_PE,2.1720604598522186,1.7808433175086975
baba_t2,mean,I_BE,0.3892388865351677,0.5181002467870712
baba_t2,mean,I_PE_minus_PB,1.1212652176618576,0.6970952429941722
baba_t2,zero,I_PB,1.3008139580488205,1.2629188288535391
baba_t2,zero,I_PE,2.0264792814850807,1.6314952639596803
baba_t2,zero,I_BE,0.4049859046936035,0.5338979480522019
baba_t2,zero,I_PE_minus_PB,0.7256653234362602,0.36857643510614124
baba_t3,mean,I_PB,1.0765034332871437,1.0800754757864135
baba_t3,mean,I_PE,1.8792121335864067,1.8226787926895278
baba_t3,mean,I_BE,0.5194795355200768,0.4994944397892271
baba_t3,mean,I_PE_minus_PB,0.802708700299263,0.7426033169031143
baba_t3,zero,I_PB,1.3288392275571823,1.2589152189237731
baba_t3,zero,I_PE,1.8333132565021515,1.659090410385813
baba_t3,zero,I_BE,0.5951350331306458,0.5067337868469102
baba_t3,zero,I_PE_minus_PB,0.5044740289449692,0.40017519146203995
