bootstrap,ablation,metric,value
0,mean,D_P,0.13881191238760948
0,mean,D_B,0.5195797719061375
0,mean,D_E,-2.01429055724293
0,mean,D_PB,1.7261963216587901
0,mean,D_PE,-0.27149723563343287
0,mean,D_BE,-0.9591456139460206
0,mean,D_PBE,2.1514012767001987
0,mean,I_PB,1.0678046373650432
0,mean,I_PE,1.6039814092218876
0,mean,I_BE,0.5355651713907719
0,mean,I_PB_per_pair,0.044491859890210136
0,mean,I_PE_per_pair,0.2673302348703146
0,mean,I_BE_per_pair,0.03347282321192324
0,mean,I_PE_minus_PB,0.5361767718568444
0,mean,I_PB_minus_BE,0.5322394659742713
0,mean,I_PE_minus_BE,1.0684162378311157
0,mean,I_PBE_third_order,0.299948931671679
0,zero,D_P,-0.23813395109027624
0,zero,D_B,0.5464842664077878
0,zero,D_E,-2.025520659983158
0,zero,D_PB,1.4793673167005181
0,zero,D_PE,-0.8222292717546225
0,zero,D_BE,-0.9571182038635015
0,zero,D_PBE,1.9584161564707756
0,zero,I_PB,1.1710170013830066
0,zero,I_PE,1.441425339318812
0,zero,I_BE,0.5219181897118688
0,zero,I_PB_per_pair,0.04879237505762528
0,zero,I_PE_per_pair,0.2402375565531353
0,zero,I_BE_per_pair,0.0326198868569918
0,zero,I_PE_minus_PB,0.2704083379358053
0,zero,I_PB_minus_BE,0.6490988116711378
0,zero,I_PE_minus_BE,0.9195071496069431
0,zero,I_PBE_third_order,0.5412259707227349
1,mean,D_P,0.3495144071057439
1,mean,D_B,0.4808634826913476
1,mean,D_E,-2.2676275800913572
1,mean,D_PB,1.954625541344285
1,mean,D_PE,-0.13398022670298815
1,mean,D_BE,-1.2615190763026476
1,mean,D_PBE,2.3311522863805294
1,mean,I_PB,1.1242476515471935
1,mean,I_PE,1.7841329462826252
1,mean,I_BE,0.525245021097362
1,mean,I_PB_per_pair,0.04684365214779973
1,mean,I_PE_per_pair,0.29735549104710424
1,mean,I_BE_per_pair,0.03282781381858513
1,mean,I_PE_minus_PB,0.6598852947354317
1,mean,I_PB_minus_BE,0.5990026304498315
1,mean,I_PE_minus_BE,1.2588879251852632
1,mean,I_PBE_third_order,0.3347763577476144
1,zero,D_P,-0.08454928454011679
1,zero,D_B,0.42681062407791615
1,zero,D_E,-2.3262350326403975
1,zero,D_PB,1.6552932281047106
1,zero,D_PE,-0.7560851462185383
1,zero,D_BE,-1.3664976255968213
1,zero,D_PBE,2.112184370867908
1,zero,I_PB,1.3130318885669112
1,zero,I_PE,1.654699170961976
1,zero,I_BE,0.5329267829656601
1,zero,I_PB_per_pair,0.0547096620236213
1,zero,I_PE_per_pair,0.27578319516032934
1,zero,I_BE_per_pair,0.033307923935353756
1,zero,I_PE_minus_PB,0.34166728239506483
1,zero,I_PB_minus_BE,0.7801051056012511
1,zero,I_PE_minus_BE,1.121772387996316
1,zero,I_PBE_third_order,0.5955002214759588
2,mean,D_P,0.3942001899704337
2,mean,D_B,0.41546064987778664
2,mean,D_E,-2.2561557414010167
2,mean,D_PB,1.867187723517418
2,mean,D_PE,-0.08384017925709486
2,mean,D_BE,-1.327963794581592
2,mean,D_PBE,2.1877706553786993
2,mean,I_PB,1.0575268836691976
2,mean,I_PE,1.7781153721734881
2,mean,I_BE,0.512731296941638
2,mean,I_PB_per_pair,0.04406362015288323
2,mean,I_PE_per_pair,0.2963525620289147
2,mean,I_BE_per_pair,0.032045706058852375
2,mean,I_PE_minus_PB,0.7205884885042906
2,mean,I_PB_minus_BE,0.5447955867275596
2,mean,I_PE_minus_BE,1.2653840752318501
2,mean,I_PBE_third_order,0.285892004147172
2,zero,D_P,0.030094152316451073
2,zero,D_B,0.3267788216471672
2,zero,D_E,-2.3634113343432546
2,zero,D_PB,1.598422839306295
2,zero,D_PE,-0.6370756551623344
2,zero,D_BE,-1.4815028011798859
2,zero,D_PBE,2.0122924260795116
2,zero,I_PB,1.2415498653426766
2,zero,I_PE,1.696241526864469
2,zero,I_BE,0.5551297115162015
2,zero,I_PB_per_pair,0.05173124438927819
2,zero,I_PE_per_pair,0.28270692114407814
2,zero,I_BE_per_pair,0.034695606969762594
2,zero,I_PE_minus_PB,0.4546916615217924
2,zero,I_PB_minus_BE,0.6864201538264751
2,zero,I_PE_minus_BE,1.1411118153482676
2,zero,I_PBE_third_order,0.5259096827358007
3,mean,D_P,0.37958899047225714
3,mean,D_B,0.3534899139776826
3,mean,D_E,-2.568482154980302
3,mean,D_PB,1.870787457562983
3,mean,D_PE,-0.16209667641669512
3,mean,D_BE,-1.7436607014387846
3,mean,D_PBE,2.208574335090816
3,mean,I_PB,1.1377085531130433
3,mean,I_PE,2.0267964880913496
3,mean,I_BE,0.47133153956383467
3,mean,I_PB_per_pair,0.0474045230463768
3,mean,I_PE_per_pair,0.33779941468189156
3,mean,I_BE_per_pair,0.029458221222739667
3,mean,I_PE_minus_PB,0.8890879349783063
3,mean,I_PB_minus_BE,0.6663770135492086
3,mean,I_PE_minus_BE,1.555464948527515
3,mean,I_PBE_third_order,0.4081410048529506
3,zero,D_P,-0.10309175029397011
3,zero,D_B,0.2243332788348198
3,zero,D_E,-2.664621487259865
3,zero,D_PB,1.5290535688400269
3,zero,D_PE,-0.9281283896416426
3,zero,D_BE,-1.951467303559184
3,zero,D_PBE,1.946083566173911
3,zero,I_PB,1.4078120402991772
3,zero,I_PE,1.8395848479121923
3,zero,I_BE,0.48882090486586094
3,zero,I_PB_per_pair,0.058658835012465715
3,zero,I_PE_per_pair,0.306597474652032
3,zero,I_BE_per_pair,0.03055130655411631
3,zero,I_PE_minus_PB,0.4317728076130152
3,zero,I_PB_minus_BE,0.9189911354333162
3,zero,I_PE_minus_BE,1.3507639430463314
