heldout_frame,ablation,metric,remaining_frames_mean
t0,mean,I_PB,1.017166116585334
t0,mean,I_PE,1.7539120502769947
t0,mean,I_BE,0.5223792058726152
t0,mean,I_PE_minus_PB,0.7367459336916605
t0,zero,I_PB,1.1433600423236687
t0,zero,I_PE,1.6330318202575047
t0,zero,I_BE,0.5504571398099264
t0,zero,I_PE_minus_PB,0.489671777933836
t1,mean,I_PB,1.1090523911019166
t1,mean,I_PE,1.872835033883651
t1,mean,I_BE,0.4930170699954033
t1,mean,I_PE_minus_PB,0.7637826427817345
t1,zero,I_PB,1.3309080302715302
t1,zero,I_PE,1.7134088091552258
t1,zero,I_BE,0.4985795021057129
t1,zero,I_PE_minus_PB,0.3825007788836956
t2,mean,I_PB,1.0646405903001626
t2,mean,I_PE,1.759067878127098
t2,mean,I_BE,0.5086484961211681
t2,mean,I_PE_minus_PB,0.6944272878269354
t2,zero,I_PB,1.2521418432394664
t2,zero,I_PE,1.620655736575524
t2,zero,I_BE,0.5302562365929285
t2,zero,I_PE_minus_PB,0.36851389333605766
t3,mean,I_PB,1.1276567839086056
t3,mean,I_PE,1.9331668789188068
t3,mean,I_BE,0.48392553503314656
t3,mean,I_PE_minus_PB,0.8055100950102011
t3,zero,I_PB,1.3442129641771317
t3,zero,I_PE,1.7563766986131668
t3,zero,I_BE,0.4918428920209408
t3,zero,I_PE_minus_PB,0.41216373443603516
