template_id,order,frame_id,ablation,prompt_idx,subset_idx,subset_name,group_code,logit_diff,drop_from_clean,io_name,s_name,io_token,s_token
abba_t0,ABBA,t0,mean,58,0,clean,clean,4.493102073669434,0.0,Bob,Lisa,5811,15378
abba_t0,ABBA,t0,mean,59,0,clean,clean,4.35589599609375,0.0,Karen,Daniel,18678,7806
abba_t0,ABBA,t0,mean,60,0,clean,clean,4.164579391479492,0.0,David,Kevin,3271,7939
abba_t0,ABBA,t0,mean,61,0,clean,clean,3.909024238586426,0.0,Emily,Jessica,17608,17352
abba_t0,ABBA,t0,mean,62,0,clean,clean,2.887758255004883,0.0,Sarah,James,10490,3700
abba_t0,ABBA,t0,mean,63,0,clean,clean,5.476252555847168,0.0,Jason,Sarah,8982,10490
abba_t0,ABBA,t0,mean,64,0,clean,clean,2.836226463317871,0.0,Mary,Lisa,5335,15378
abba_t0,ABBA,t0,mean,65,0,clean,clean,2.9669694900512695,0.0,Susan,Michael,14919,3899
abba_t0,ABBA,t0,mean,66,0,clean,clean,3.791309356689453,0.0,Anna,Bob,11735,5811
abba_t0,ABBA,t0,mean,67,0,clean,clean,5.330975532531738,0.0,Bob,Susan,5811,14919
abba_t0,ABBA,t0,mean,68,0,clean,clean,5.153159141540527,0.0,Brian,Tom,8403,4186
abba_t0,ABBA,t0,mean,69,0,clean,clean,1.3674249649047852,0.0,Helen,Mary,22695,5335
abba_t0,ABBA,t0,mean,70,0,clean,clean,3.815035820007324,0.0,Jason,Bob,8982,5811
abba_t0,ABBA,t0,mean,71,0,clean,clean,3.460765838623047,0.0,Eric,Steven,7651,8239
abba_t0,ABBA,t0,mean,72,0,clean,clean,4.810921669006348,0.0,Helen,Jason,22695,8982
abba_t0,ABBA,t0,mean,73,0,clean,clean,4.764055252075195,0.0,Scott,Susan,4746,14919
abba_t0,ABBA,t0,mean,74,0,clean,clean,4.7865495681762695,0.0,Daniel,Jason,7806,8982
abba_t0,ABBA,t0,mean,75,0,clean,clean,3.9732894897460938,0.0,Steven,Jacob,8239,12806
abba_t0,ABBA,t0,mean,76,0,clean,clean,4.214117050170898,0.0,Karen,Emily,18678,17608
abba_t0,ABBA,t0,mean,77,0,clean,clean,4.287164688110352,0.0,Nancy,James,18496,3700
abba_t0,ABBA,t0,mean,78,0,clean,clean,5.879439353942871,0.0,Eric,Susan,7651,14919
abba_t0,ABBA,t0,mean,79,0,clean,clean,4.004764556884766,0.0,Kevin,Jason,7939,8982
abba_t0,ABBA,t0,mean,80,0,clean,clean,5.566647529602051,0.0,Emma,Kevin,18966,7939
abba_t0,ABBA,t0,mean,81,0,clean,clean,3.488112449645996,0.0,Michael,Robert,3899,5199
abba_t0,ABBA,t0,mean,82,0,clean,clean,2.8677330017089844,0.0,Anna,Susan,11735,14919
abba_t0,ABBA,t0,mean,83,0,clean,clean,3.8866357803344727,0.0,Mark,Steven,2940,8239
abba_t0,ABBA,t0,mean,84,0,clean,clean,3.838761329650879,0.0,Laura,Bob,16753,5811
abba_t0,ABBA,t0,mean,85,0,clean,clean,4.685193061828613,0.0,David,Lisa,3271,15378
abba_t0,ABBA,t0,mean,86,0,clean,clean,2.562276840209961,0.0,Alice,Anna,14862,11735
abba_t0,ABBA,t0,mean,87,0,clean,clean,4.487201690673828,0.0,Kevin,Mark,7939,2940
abba_t0,ABBA,t0,mean,88,0,clean,clean,4.653715133666992,0.0,David,Nancy,3271,18496
abba_t0,ABBA,t0,mean,89,0,clean,clean,5.766469955444336,0.0,James,Emily,3700,17608
abba_t0,ABBA,t0,mean,90,0,clean,clean,3.551403045654297,0.0,John,Rachel,1757,15984
abba_t0,ABBA,t0,mean,91,0,clean,clean,5.050542831420898,0.0,Michael,Alice,3899,14862
abba_t0,ABBA,t0,mean,92,0,clean,clean,5.693047523498535,0.0,Steven,Emily,8239,17608
abba_t0,ABBA,t0,mean,93,0,clean,clean,3.305027961730957,0.0,Laura,Karen,16753,18678
abba_t0,ABBA,t0,mean,94,0,clean,clean,4.057278633117676,0.0,Sarah,David,10490,3271
abba_t0,ABBA,t0,mean,95,0,clean,clean,5.3545122146606445,0.0,Emma,Jason,18966,8982
abba_t0,ABBA,t0,mean,96,0,clean,clean,1.8141212463378906,0.0,Mary,Alice,5335,14862
abba_t0,ABBA,t0,mean,97,0,clean,clean,3.6934022903442383,0.0,Karen,Tom,18678,4186
abba_t0,ABBA,t0,mean,98,0,clean,clean,5.0593976974487305,0.0,Nancy,Steven,18496,8239
abba_t0,ABBA,t0,mean,99,0,clean,clean,2.443814277648926,0.0,Emily,Mary,17608,5335
abba_t0,ABBA,t0,mean,100,0,clean,clean,4.464799880981445,0.0,Jason,Kevin,8982,7939
abba_t0,ABBA,t0,mean,101,0,clean,clean,5.794429779052734,0.0,Mark,Helen,2940,22695
abba_t0,ABBA,t0,mean,102,0,clean,clean,2.6459169387817383,0.0,Lisa,Susan,15378,14919
abba_t0,ABBA,t0,mean,103,0,clean,clean,3.1567344665527344,0.0,Bob,John,5811,1757
abba_t0,ABBA,t0,mean,104,0,clean,clean,4.315054893493652,0.0,Alice,Mark,14862,2940
abba_t0,ABBA,t0,mean,105,0,clean,clean,4.903533935546875,0.0,James,Lisa,3700,15378
abba_t0,ABBA,t0,mean,106,0,clean,clean,3.3565139770507812,0.0,Alice,Daniel,14862,7806
abba_t0,ABBA,t0,mean,107,0,clean,clean,5.675480842590332,0.0,Bob,Laura,5811,16753
abba_t0,ABBA,t0,mean,108,0,clean,clean,4.401384353637695,0.0,Jason,Alice,8982,14862
abba_t0,ABBA,t0,mean,109,0,clean,clean,1.7692317962646484,0.0,John,James,1757,3700
abba_t0,ABBA,t0,mean,110,0,clean,clean,3.9727354049682617,0.0,Sarah,Steven,10490,8239
abba_t0,ABBA,t0,mean,111,0,clean,clean,4.208192825317383,0.0,James,Rachel,3700,15984
abba_t0,ABBA,t0,mean,112,0,clean,clean,2.4028730392456055,0.0,Karen,Mary,18678,5335
abba_t0,ABBA,t0,mean,113,0,clean,clean,3.5776119232177734,0.0,Helen,Susan,22695,14919
abba_t0,ABBA,t0,mean,114,0,clean,clean,3.105332374572754,0.0,John,Scott,1757,4746
abba_t0,ABBA,t0,mean,115,0,clean,clean,2.967453956604004,0.0,Emma,Lisa,18966,15378
abba_t0,ABBA,t0,mean,116,0,clean,clean,4.529087066650391,0.0,Alice,Jason,14862,8982
abba_t0,ABBA,t0,mean,117,0,clean,clean,5.658062934875488,0.0,Michael,Bob,3899,5811
abba_t0,ABBA,t0,mean,118,0,clean,clean,5.649764060974121,0.0,Emily,Bob,17608,5811
abba_t0,ABBA,t0,mean,119,0,clean,clean,5.5054216384887695,0.0,Mark,Jessica,2940,17352
abba_t0,ABBA,t0,mean,120,0,clean,clean,2.5664138793945312,0.0,Laura,Emma,16753,18966
abba_t0,ABBA,t0,mean,121,0,clean,clean,1.6811695098876953,0.0,Sarah,Mary,10490,5335
abba_t0,ABBA,t0,mean,122,0,clean,clean,2.1054630279541016,0.0,Jacob,Robert,12806,5199
abba_t0,ABBA,t0,mean,123,0,clean,clean,3.30820369720459,0.0,Alice,Steven,14862,8239
abba_t0,ABBA,t0,mean,124,0,clean,clean,3.485960006713867,0.0,Daniel,James,7806,3700
abba_t0,ABBA,t0,mean,125,0,clean,clean,6.36076545715332,0.0,Michael,Laura,3899,16753
abba_t0,ABBA,t0,mean,126,0,clean,clean,4.006466865539551,0.0,Eric,Rachel,7651,15984
abba_t0,ABBA,t0,mean,127,0,clean,clean,4.087588310241699,0.0,Anna,Jason,11735,8982
abba_t0,ABBA,t0,mean,0,1,P:9.9,singleton,5.478171348571777,-0.9874563217163086,Nancy,Daniel,18496,7806
abba_t0,ABBA,t0,mean,1,1,P:9.9,singleton,3.5709266662597656,1.6398372650146484,Brian,Eric,8403,7651
abba_t0,ABBA,t0,mean,2,1,P:9.9,singleton,1.6053829193115234,0.7813968658447266,Emma,Mary,18966,5335
abba_t0,ABBA,t0,mean,3,1,P:9.9,singleton,4.911252975463867,-0.9940099716186523,Michael,Jacob,3899,12806
abba_t0,ABBA,t0,mean,4,1,P:9.9,singleton,3.12784481048584,-0.3685150146484375,Anna,Daniel,11735,7806
abba_t0,ABBA,t0,mean,5,1,P:9.9,singleton,2.9945363998413086,0.5385532379150391,Helen,Karen,22695,18678
abba_t0,ABBA,t0,mean,6,1,P:9.9,singleton,5.871726989746094,-0.30319690704345703,Jason,Jessica,8982,17352
abba_t0,ABBA,t0,mean,7,1,P:9.9,singleton,2.9788599014282227,-0.10554695129394531,Anna,Laura,11735,16753
abba_t0,ABBA,t0,mean,8,1,P:9.9,singleton,4.408537864685059,-0.10534381866455078,Kevin,Eric,7939,7651
abba_t0,ABBA,t0,mean,9,1,P:9.9,singleton,3.559359550476074,-0.4845237731933594,Helen,James,22695,3700
