template_id,order,frame_id,ablation,n_prompts,D_P,D_B,D_E,D_PB,D_PE,D_BE,D_PBE,I_PB,I_PE,I_BE,I_PB_per_pair,I_PE_per_pair,I_BE_per_pair,I_PE_minus_PB,I_PB_minus_BE,I_PE_minus_BE,I_PBE_third_order,interaction_rank,pe_largest,pe_pb_be_order
abba_t0,ABBA,t0,mean,128,0.1363658532500267,0.624729335308075,-2.79978396743536,2.178413040935993,-0.6206320598721504,-1.6850811839103699,2.4781868755817413,1.4173178523778915,2.042786054313183,0.48997344821691513,0.059054910515745476,0.34046434238553047,0.030623340513557196,0.6254682019352913,0.9273444041609764,1.5528126060962677,0.5667982995510101,PE>PB>BE,True,True
abba_t0,ABBA,t0,zero,128,-0.5332845598459244,0.49799055606126785,-2.739411734044552,1.7298075705766678,-1.498285360634327,-1.807237483561039,2.1172329261898994,1.7651015743613243,1.7744109332561493,0.434183694422245,0.07354589893172185,0.29573515554269153,0.027136480901390314,0.009309358894824982,1.3309178799390793,1.3402272388339043,0.9182424619793892,PE>PB>BE,True,True
abba_t1,ABBA,t1,mean,128,-0.08906048536300659,0.23323557525873184,-1.4197542667388916,0.9883010610938072,-0.050829268991947174,-0.7068603038787842,1.706395722925663,0.844125971198082,1.457985483109951,0.4796583876013756,0.035171915466586746,0.24299758051832515,0.029978649225085974,0.613859511911869,0.3644675835967064,0.9783270955085754,0.20020505785942078,PE>PB>BE,True,True
abba_t1,ABBA,t1,zero,128,-0.4039976969361305,0.2955957427620888,-1.4713741391897202,0.7925250232219696,-0.6094567105174065,-0.6786101087927818,1.5565204247832298,0.9009269773960114,1.2659151256084442,0.49716828763484955,0.037538624058167144,0.21098585426807404,0.031073017977178097,0.36498814821243286,0.4037586897611618,0.7687468379735947,0.4722861275076866,PE>PB>BE,True,True
abba_t2,ABBA,t2,mean,128,0.08083503693342209,0.5789693221449852,-2.405098520219326,1.8581973388791084,-0.41276752948760986,-1.251318447291851,2.2991394698619843,1.1983929798007011,1.911495953798294,0.5748107507824898,0.04993304082502921,0.3185826589663824,0.03592567192390561,0.7131029739975929,0.6235822290182114,1.3366852030158043,0.359733946621418,PE>PB>BE,True,True
abba_t2,ABBA,t2,zero,128,-0.34426146000623703,0.6507108584046364,-2.4267112389206886,1.6340301409363747,-1.0744402706623077,-1.22025216370821,2.1167037189006805,1.3275807425379753,1.696532428264618,0.5557482168078423,0.05531586427241564,0.28275540471076965,0.03473426355049014,0.3689516857266426,0.7718325257301331,1.1407842114567757,0.6571041718125343,PE>PB>BE,True,True
abba_t3,ABBA,t3,mean,128,0.09510229527950287,0.5997625961899757,-1.5377155542373657,1.4894525185227394,-0.28286298364400864,-0.3450450897216797,1.8461454063653946,0.7945876270532608,1.1597502753138542,0.5929078683257103,0.03310781779388586,0.19329171255230904,0.037056741770356894,0.3651626482605934,0.2016797587275505,0.5668424069881439,0.1417502984404564,PE>PB>BE,True,True
abba_t3,ABBA,t3,zero,128,-0.10092253237962723,0.6910910308361053,-1.5159762799739838,1.3372972458600998,-0.5415261313319206,-0.22880609333515167,1.7576138749718666,0.7471287474036217,1.0753726810216904,0.5960791558027267,0.031130364475150905,0.1792287801702817,0.03725494723767042,0.3282439336180687,0.15104959160089493,0.4792935252189636,0.26484107226133347,PE>PB>BE,True,True
baba_t0,BABA,t0,mean,128,0.9170733839273453,0.21766070276498795,-2.7699459865689278,2.251451298594475,0.21883272379636765,-2.1605933532118797,2.350656546652317,1.1167172119021416,2.07170532643795,0.3916919305920601,0.0465298838292559,0.3452842210729917,0.024480745662003756,0.9549881145358086,0.7250252813100815,1.68001339584589,0.4057539775967598,PE>PB>BE,True,True
baba_t0,BABA,t0,zero,128,0.3707273080945015,0.052864618599414825,-2.899448223412037,1.9395758584141731,-0.6543766409158707,-2.441238597035408,2.107712559401989,1.5159839317202568,1.8743442744016647,0.40534500777721405,0.0631659971550107,0.3123907124002775,0.025334062986075878,0.35836034268140793,1.1106389239430428,1.4689992666244507,0.787895642220974,PE>PB>BE,True,True
baba_t1,BABA,t1,mean,128,0.39917538315057755,0.4041280969977379,-2.2916740849614143,1.9418949261307716,0.0504692941904068,-1.3093661814928055,2.4839938133955,1.1385914459824562,1.9429679960012436,0.578179806470871,0.04744131024926901,0.3238279993335406,0.036136237904429436,0.8043765500187874,0.5604116395115852,1.3647881895303726,0.3126251697540283,PE>PB>BE,True,True
baba_t1,BABA,t1,zero,128,0.019090093672275543,0.2708432897925377,-2.455282188951969,1.5448039844632149,-0.5356139466166496,-1.5308126583695412,2.232899524271488,1.2548706009984016,1.900578148663044,0.6536262407898903,0.052286275041600064,0.316763024777174,0.04085164004936814,0.6457075476646423,0.6012443602085114,1.2469519078731537,0.5891733393073082,PE>PB>BE,True,True
baba_t2,BABA,t2,mean,128,0.29034943878650665,0.18152018636465073,-2.4055751487612724,1.5226648673415184,0.05683474987745285,-1.834816075861454,1.9721237421035767,1.050795242190361,2.1720604598522186,0.3892388865351677,0.043783135091265045,0.3620100766420365,0.02432743040844798,1.1212652176618576,0.6615563556551933,1.782821573317051,0.29373467713594437,PE>PB>BE,True,True
baba_t2,BABA,t2,zero,128,-0.16323084384202957,0.0968920961022377,-2.5343064442276955,1.2344752103090286,-0.6710580065846443,-2.0324284434318542,1.7774574980139732,1.3008139580488205,2.0264792814850807,0.4049859046936035,0.054200581585367516,0.3377465469141801,0.02531161904335022,0.7256653234362602,0.895828053355217,1.6214933767914772,0.6458235457539558,PE>PB>BE,True,True
baba_t3,BABA,t3,mean,128,0.5993719771504402,0.4645416811108589,-2.5279891714453697,2.140417091548443,-0.0494050607085228,-1.543967954814434,2.2853729352355003,1.0765034332871437,1.8792121335864067,0.5194795355200768,0.04485430972029766,0.3132020222644011,0.0324674709700048,0.802708700299263,0.557023897767067,1.35973259806633,0.27425334602594376,PE>PB>BE,True,True
baba_t3,BABA,t3,zero,128,0.2423536404967308,0.27789156883955,-2.6403022557497025,1.8490844368934631,-0.5646353587508202,-1.7672756537795067,2.110311381518841,1.3288392275571823,1.8333132565021515,0.5951350331306458,0.05536830114821593,0.3055522094170252,0.03719593957066536,0.5044740289449692,0.7337041944265366,1.2381782233715057,0.47308091074228287,PE>PB>BE,True,True
