subset_idx,subset_name,group_code,mask_bits,n_heads,n_P,n_B,n_E
0,clean,clean,0000000000000,0,0,0,0
1,P:9.9,singleton,1000000000000,1,1,0,0
2,P:9.6,singleton,0100000000000,1,1,0,0
3,P:10.0,singleton,0010000000000,1,1,0,0
4,B:9.0,singleton,0001000000000,1,0,1,0
5,B:9.7,singleton,0000100000000,1,0,1,0
6,B:10.1,singleton,0000010000000,1,0,1,0
7,B:10.2,singleton,0000001000000,1,0,1,0
8,B:10.6,singleton,0000000100000,1,0,1,0
9,B:10.10,singleton,0000000010000,1,0,1,0
10,B:11.2,singleton,0000000001000,1,0,1,0
11,B:11.9,singleton,0000000000100,1,0,1,0
12,E:10.7,singleton,0000000000010,1,0,0,1
13,E:11.10,singleton,0000000000001,1,0,0,1
14,E:10.7|E:11.10,E,0000000000011,2,0,0,2
15,B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9,B,0001111111100,8,0,8,0
16,B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9|E:10.7|E:11.10,BE,0001111111111,10,0,8,2
17,P:9.9|P:9.6|P:10.0,P,1110000000000,3,3,0,0
18,P:9.9|P:9.6|P:10.0|E:10.7|E:11.10,PE,1110000000011,5,3,0,2
19,P:9.9|P:9.6|P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9,PB,1111111111100,11,3,8,0
20,P:9.9|P:9.6|P:10.0|B:9.0|B:9.7|B:10.1|B:10.2|B:10.6|B:10.10|B:11.2|B:11.9|E:10.7|E:11.10,PBE,1111111111111,13,3,8,2
