ablation,n_templates,n_prompts_per_template,D_P,D_B,D_E,D_PB,D_PE,D_BE,D_PBE,I_PB,I_PE,I_BE,I_PB_per_pair,I_PE_per_pair,I_BE_per_pair,I_PE_minus_PB,I_PB_minus_BE,I_PE_minus_BE,I_PBE_third_order,templates_pe_largest,templates_pe_pb_be_order
mean,8,128,0.30365161038935184,0.4130684370175004,-2.269692087545991,1.796349017880857,-0.13629501685500145,-1.3546310737729073,2.1777518140152097,1.0796289704740047,1.8297454603016376,0.5019925767555833,0.044984540436416864,0.30495757671693957,0.031374536047223955,0.7501164898276329,0.5776363937184215,1.3277528835460544,0.3193568466231227,8,8
zero,8,128,-0.11419075634330511,0.3542349701747298,-2.3353515630587935,1.507699933834374,-0.7686740532517433,-1.4633326502516866,1.972056488506496,1.2676557200029492,1.6808682661503553,0.5177839426323771,0.05281898833345622,0.2801447110250592,0.03236149641452357,0.4132125461474061,0.7498717773705721,1.1630843235179782,0.6010559089481831,8,8
