method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean,noise_std,source_dir,source_file,measurements,holdout_measurements,mask_density,mode,n_components
subset_ridge,-0.8603083415815189,0.29439861458731,0.3731659837487548,1,8.0,96,0,,,,0.5,0.0947837851018153,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
first_order_omp,0.4101973459631164,0.0907934298713154,0.2101178474047333,1,8.0,96,0,,2.0,0.5411420300133506,1.0,0.0,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
lifted_omp,0.9982364283046302,0.0090027510797743,0.0114896326010987,1,8.0,96,0,,4.0,0.9971882912247064,1.0,0.0,1.0,10.393045218934247,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
raw_atp,0.6739198788083007,0.0723677940708932,0.1425420487908666,2,5.0,0,1,,,,1.0,0.0,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
scalar_cal_atp,0.681577747563169,0.0714105928078935,0.1408583315467454,2,5.0,96,1,0.824341683549126,,,1.0,0.0,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
multigain_atp,0.6850679602736272,0.0691874204148662,0.1400842334095768,2,5.0,96,1,,,,1.0,0.0,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
finite_single,0.5710219781674967,0.1063111865704792,0.1634926962024988,2,5.0,64,0,,,,1.0,0.0,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
subset_ridge,-0.2872587133365283,0.2217536491842939,0.2832133720784628,2,5.0,96,0,,,,1.0,0.4998875355243302,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
first_order_omp,0.6851150401149537,0.0691438710070345,0.1400737622774782,2,5.0,96,0,,2.0,0.4810825670232979,1.0,0.0,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
lifted_omp,0.997071202678104,0.0103820292347775,0.013509071311359,2,5.0,96,0,,8.0,0.9988118883479402,1.0,0.0,1.0,6.633328088360118,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
raw_atp,0.3744847555320477,0.1176852775032062,0.2295945175557373,2,8.0,0,1,,,,1.0,0.0,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
scalar_cal_atp,0.3967784137884349,0.113509551223349,0.2254659695334574,2,8.0,96,1,0.6944455218251457,,,1.0,0.0,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
multigain_atp,0.4055928621750633,0.1088728241851007,0.2238126205056149,2,8.0,96,1,,,,1.0,0.0,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
finite_single,0.3212241377776802,0.1417654055209557,0.2391694799874042,2,8.0,64,0,,,,1.0,0.0,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
subset_ridge,-1.3864861912537365,0.3510292280849426,0.4484582595576915,2,8.0,96,0,,,,0.0,0.790236615450959,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
first_order_omp,0.2873808270244218,0.1495956498257567,0.2450593716677611,2,8.0,96,0,,1.0,0.2323849753934038,0.5,0.0,0.0,0.0,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
lifted_omp,0.9981399602414064,0.0095310256498742,0.012519981234518,2,8.0,96,0,,4.0,0.9991033636880492,1.0,0.0,1.0,10.497766107932073,0.01,runs/claim3_noise_0.01,runs/claim3_noise_0.01/claim3_results.csv,96,512,0.3,combined,64
raw_atp,0.6566329756079134,0.0917781181261981,0.1514577735172682,0,5.0,0,1,,,,1.0,0.0,0.0,0.0,0.05,runs/claim3_noise_0.05,runs/claim3_noise_0.05/claim3_results.csv,96,512,0.3,combined,64
