noise_std,epsilon,method,heldout_r2_mean,heldout_r2_std,heldout_r2_count,pair_topk_recall_mean,pair_topk_recall_std,pair_topk_recall_count,confound_abs_coef_mean,confound_abs_coef_std,confound_abs_coef_count,heldout_r2_sem,pair_topk_recall_sem,confound_abs_coef_sem
0.01,5.0,finite_single,0.5776756162220192,0.0209416438000309,3,0.0,0.0,3,0.0,0.0,3,0.012090663685221097,0.0,0.0
0.01,5.0,first_order_omp,0.6562685219344052,0.05185925533151775,3,0.0,0.0,3,0.0,0.0,3,0.02994095502562531,0.0,0.0
0.01,5.0,lifted_omp,0.997694748821373,0.0005740992891910459,3,1.0,0.0,3,0.0,0.0,3,0.0003314563791560232,0.0,0.0
0.01,5.0,multigain_atp,0.6843453913185863,0.0033621749893050466,3,0.0,0.0,3,0.0,0.0,3,0.0019411526351378959,0.0,0.0
0.01,5.0,raw_atp,0.6718459140359828,0.0018186097351190924,3,0.0,0.0,3,0.0,0.0,3,0.001049974820121882,0.0,0.0
0.01,5.0,scalar_cal_atp,0.6787925518284705,0.002969680621744693,3,0.0,0.0,3,0.0,0.0,3,0.001714545906371514,0.0,0.0
0.01,5.0,subset_ridge,0.07302676209241638,0.39808178297876995,3,0.0,0.0,3,0.21313863296836358,0.24879353109812408,3,0.22983262456227901,0.0,0.14364101215213948
0.01,8.0,finite_single,0.3290277074748121,0.016803648076327546,3,0.0,0.0,3,0.0,0.0,3,0.009701590740235447,0.0,0.0
0.01,8.0,first_order_omp,0.3758737621457846,0.07727686132717425,3,0.0,0.0,3,0.0,0.0,3,0.044615816689373436,0.0,0.0
0.01,8.0,lifted_omp,0.9983193174587596,0.00023217749960386267,3,1.0,0.0,3,0.0,0.0,3,0.00013404774189606434,0.0,0.0
0.01,8.0,multigain_atp,0.41527479040795073,0.01299492973495331,3,0.0,0.0,3,0.0,0.0,3,0.007502626180575567,0.0,0.0
0.01,8.0,raw_atp,0.38298653410616956,0.007886953785895453,3,0.0,0.0,3,0.0,0.0,3,0.004553534891372878,0.0,0.0
0.01,8.0,scalar_cal_atp,0.40182219585764445,0.004390912950693909,3,0.0,0.0,3,0.0,0.0,3,0.0025350947740713425,0.0,0.0
0.01,8.0,subset_ridge,-0.7205468951592403,0.7457084197194515,3,0.0,0.0,3,0.33806638911378384,0.3919683518865616,3,0.4305349568619958,0.0,0.2263030334755203
0.05,5.0,finite_single,0.5558022542307594,0.027130939472655855,3,0.0,0.0,3,0.0,0.0,3,0.015664055207905304,0.0,0.0
0.05,5.0,first_order_omp,0.6184217499373003,0.05440514793570868,3,0.0,0.0,3,0.0,0.0,3,0.03141082680598282,0.0,0.0
0.05,5.0,lifted_omp,0.9493377679532286,0.01433843471092619,3,1.0,0.0,3,0.0,0.0,3,0.00827829914011111,0.0,0.0
0.05,5.0,multigain_atp,0.6528015143006775,0.018791695509170103,3,0.0,0.0,3,0.0,0.0,3,0.01084939046074884,0.0,0.0
0.05,5.0,raw_atp,0.6425046099971934,0.017162591285550585,3,0.0,0.0,3,0.0,0.0,3,0.009908826698704156,0.0,0.0
0.05,5.0,scalar_cal_atp,0.6489446712767377,0.013792104416896492,3,0.0,0.0,3,0.0,0.0,3,0.007962875197786616,0.0,0.0
0.05,5.0,subset_ridge,-0.07087414901834795,0.5352220547203662,3,0.0,0.0,3,0.23004213352694933,0.2898912049876168,3,0.3090105973690281,0.0,0.16736876523530553
0.05,8.0,finite_single,0.3188956437569874,0.021207412559461125,3,0.0,0.0,3,0.0,0.0,3,0.012244105350020332,0.0,0.0
0.05,8.0,first_order_omp,0.33408111372231364,0.08732982075247911,3,0.0,0.0,3,0.0,0.0,3,0.05041989551972558,0.0,0.0
0.05,8.0,lifted_omp,0.9674740460946007,0.004681419318257584,3,1.0,0.0,3,0.0,0.0,3,0.002702818703585531,0.0,0.0
0.05,8.0,multigain_atp,0.3979130295275004,0.022684305597077965,3,0.0,0.0,3,0.0,0.0,3,0.013096789942852698,0.0,0.0
0.05,8.0,raw_atp,0.3673631758759217,0.01813034093914907,3,0.0,0.0,3,0.0,0.0,3,0.010467557221717409,0.0,0.0
0.05,8.0,scalar_cal_atp,0.38584059218947453,0.012911627326250844,3,0.0,0.0,3,0.0,0.0,3,0.007454531512487053,0.0,0.0
0.05,8.0,subset_ridge,-0.818891531842992,0.900289637084457,3,0.0,0.0,3,0.35496988967236914,0.4312809468678041,3,0.5197824643193417,0.0,0.2490001707704834
0.1,5.0,finite_single,0.49828509996778103,0.03679444315998052,3,0.0,0.0,3,0.0,0.0,3,0.02124328166309714,0.0,0.0
0.1,5.0,first_order_omp,0.5342875963688719,0.06251468149636451,3,0.0,0.0,3,0.0,0.0,3,0.03609286819022977,0.0,0.0
0.1,5.0,lifted_omp,0.4770207711806373,0.5185028762965985,3,0.6666666666666666,0.28867513459481287,3,0.0,0.0,3,0.2993577752054364,0.16666666666666666,0.0
0.1,5.0,multigain_atp,0.57539473124128,0.03920310035060618,3,0.0,0.0,3,0.0,0.0,3,0.02263392054049039,0.0,0.0
0.1,5.0,raw_atp,0.5715693359668482,0.03853911802835243,3,0.0,0.0,3,0.0,0.0,3,0.022250570168000035,0.0,0.0
0.1,5.0,scalar_cal_atp,0.5760159084621993,0.03248242577774606,3,0.0,0.0,3,0.0,0.0,3,0.018753737266713727,0.0,0.0
0.1,5.0,subset_ridge,-0.4039523300172741,0.6661040242807558,3,0.0,0.0,3,0.2887851493658515,0.3010902339464598,3,0.38457533772678737,0.0,0.17383452761935597
0.1,8.0,finite_single,0.2930818897124697,0.02736270488933447,3,0.0,0.0,3,0.0,0.0,3,0.015797865033613547,0.0,0.0
0.1,8.0,first_order_omp,0.2607150803116698,0.07835457889984224,3,0.0,0.0,3,0.0,0.0,3,0.04523803722006369,0.0,0.0
0.1,8.0,lifted_omp,0.8851217780284039,0.009459061873547787,3,1.0,0.0,3,0.0,0.0,3,0.005461191918974141,0.0,0.0
