noise_std,epsilon,method,heldout_r2_mean,heldout_r2_std,heldout_r2_count,pair_topk_recall_mean,pair_topk_recall_std,pair_topk_recall_count,confound_abs_coef_mean,confound_abs_coef_std,confound_abs_coef_count,heldout_r2_sem,pair_topk_recall_sem,confound_abs_coef_sem
0.1,8.0,multigain_atp,0.35786520723087384,0.03661468581619795,3,0.0,0.0,3,0.0,0.0,3,0.02113949871227546,0.0,0.0
0.1,8.0,raw_atp,0.3332679513074189,0.034123669461611814,3,0.0,0.0,3,0.0,0.0,3,0.019701309749399393,0.0,0.0
0.1,8.0,scalar_cal_atp,0.34967633364049794,0.02691391051743863,3,0.0,0.0,3,0.0,0.0,3,0.015538753482188694,0.0,0.0
0.1,8.0,subset_ridge,-1.0276200811603708,1.0568451291855467,3,0.0,0.0,3,0.386933196779706,0.4727240583172146,3,0.6101698198270202,0.0,0.2729273623218562
0.2,5.0,finite_single,0.35201893329198364,0.047156086705832566,3,0.0,0.0,3,0.0,0.0,3,0.027225579353541765,0.0,0.0
0.2,5.0,first_order_omp,0.2876463841366616,0.08814133143637681,3,0.0,0.0,3,0.0,0.0,3,0.05088842143152418,0.0,0.0
0.2,5.0,lifted_omp,0.22422710727727305,0.22520954651154423,3,0.8333333333333334,0.2886751345948129,3,0.0,0.0,3,0.13002479230251363,0.16666666666666669,0.0
0.2,5.0,multigain_atp,0.3843173717472416,0.06466980303761448,3,0.0,0.0,3,0.0,0.0,3,0.037337128192206796,0.0,0.0
0.2,5.0,raw_atp,0.3976495131754745,0.06357172167365593,3,0.0,0.0,3,0.0,0.0,3,0.036703150621133225,0.0,0.0
0.2,5.0,scalar_cal_atp,0.3962621938271543,0.053400377958454294,3,0.0,0.0,3,0.0,0.0,3,0.030830722589141348,0.0,0.0
0.2,5.0,subset_ridge,-1.2055174500963148,0.7318929476073733,3,0.0,0.0,3,0.41329181351451677,0.31557613730115897,3,0.4225585903191057,0.0,0.18219796782064643
0.2,8.0,finite_single,0.22248235060615282,0.034243791658910235,3,0.0,0.0,3,0.0,0.0,3,0.019770662332345288,0.0,0.0
0.2,8.0,first_order_omp,0.0582976138234145,0.1224957599090199,3,0.0,0.0,3,0.0,0.0,3,0.07072295995806041,0.0,0.0
0.2,8.0,lifted_omp,0.37913480791157195,0.1035524848134248,3,1.0,0.0,3,0.0,0.0,3,0.059786054982285446,0.0,0.0
0.2,8.0,multigain_atp,0.25323147586150163,0.05514496920108627,3,0.0,0.0,3,0.0,0.0,3,0.03183796281270078,0.0,0.0
0.2,8.0,raw_atp,0.24666308800813266,0.05440419694110412,3,0.0,0.0,3,0.0,0.0,3,0.03141027774899188,0.0,0.0
0.2,8.0,scalar_cal_atp,0.2560363752188935,0.04385761509877821,3,0.0,0.0,3,0.0,0.0,3,0.025321205883294597,0.0,0.0
0.2,8.0,subset_ridge,-1.5504335205640645,1.1659774028730494,3,0.0,0.0,3,0.5114398609283707,0.4869723415161587,3,0.6731773674177759,0.0,0.2811536124622566
0.3,5.0,finite_single,0.23509028290611012,0.044587944438937564,3,0.0,0.0,3,0.0,0.0,3,0.025742861724432683,0.0,0.0
0.3,5.0,first_order_omp,0.03919415253245787,0.154199587910432,3,0.0,0.0,3,0.0,0.0,3,0.08902717358901728,0.0,0.0
0.3,5.0,lifted_omp,0.10274991295827374,0.15402215800703623,3,0.6666666666666666,0.5773502691896258,3,0.0,0.0,3,0.08892473438652944,0.33333333333333337,0.0
0.3,5.0,multigain_atp,0.23434071053410224,0.06864352416325192,3,0.0,0.0,3,0.0,0.0,3,0.03963135715377808,0.0,0.0
0.3,5.0,raw_atp,0.2616372448541102,0.06590011173473552,3,0.0,0.0,3,0.0,0.0,3,0.03804744724967597,0.0,0.0
0.3,5.0,scalar_cal_atp,0.25521278304836076,0.053682836216361544,3,0.0,0.0,3,0.0,0.0,3,0.03099379994037893,0.0,0.0
0.3,5.0,subset_ridge,-1.8235101116935344,0.6464663664009458,3,0.0,0.0,3,0.537798477663182,0.3304446312321031,3,0.3732375306636253,0.0,0.19078229679412134
0.3,8.0,finite_single,0.1584346190962016,0.03306238800398866,3,0.0,0.0,3,0.0,0.0,3,0.019088578614154708,0.0,0.0
0.3,8.0,first_order_omp,-0.0337931499156147,0.0599794260555053,3,0.0,0.0,3,0.0,0.0,3,0.03462913777898524,0.0,0.0
0.3,8.0,lifted_omp,0.12920442690534775,0.06314262740726481,3,0.8333333333333334,0.28867513459481287,3,0.0,0.0,3,0.03645541293092458,0.16666666666666666,0.0
0.3,8.0,multigain_atp,0.16082754057064114,0.05919735678328251,3,0.0,0.0,3,0.0,0.0,3,0.03417760987414248,0.0,0.0
0.3,8.0,raw_atp,0.17138816987672423,0.05826859427175664,3,0.0,0.0,3,0.0,0.0,3,0.033641388588099785,0.0,0.0
0.3,8.0,scalar_cal_atp,0.17371519988847192,0.04607018621747225,3,0.0,0.0,3,0.0,0.0,3,0.026598634414273792,0.0,0.0
0.3,8.0,subset_ridge,-1.9985632475411075,1.0812492752141785,3,0.0,0.0,3,0.6359465250770356,0.5014862649283411,3,0.6242595601059937,0.0,0.28953323005127773
