step,train_loss,model_ce,bayes_ce,bayes_gap
1,1.560524821281433,1.3735920906066894,1.14817373752594,0.22541835308074942
100,1.1970447301864624,1.1884639978408813,1.1437693119049073,0.04469468593597403
200,1.183009386062622,1.1778221368789672,1.150776982307434,0.027045154571533114
300,1.1641850471496582,1.1708694219589233,1.1501646041870117,0.020704817771911577
400,1.1673842668533325,1.1649661779403686,1.1483352899551391,0.016630887985229492
500,1.1545182466506958,1.1597488403320313,1.1476489543914794,0.012099885940551891
600,1.1649446487426758,1.1613131284713745,1.1491999626159668,0.01211316585540767
700,1.1557880640029907,1.163899874687195,1.1546300888061523,0.009269785881042658
800,1.1566319465637207,1.155892515182495,1.1485919713974,0.007300543785095037
900,1.161210060119629,1.158187246322632,1.151046347618103,0.007140898704528942
1000,1.1423314809799194,1.1512600421905517,1.145187497138977,0.006072545051574618
1100,1.1588466167449951,1.159113621711731,1.1530206680297852,0.006092953681945845
1200,1.1525185108184814,1.155401849746704,1.150589919090271,0.004811930656432928
1300,1.1504772901535034,1.149100923538208,1.1449549198150635,0.004146003723144442
1400,1.1517692804336548,1.1493737697601318,1.1459923028945922,0.0033814668655396396
1500,1.1532976627349854,1.1459242343902587,1.1427165031433106,0.0032077312469480646
