observer,sigma,layer,gain,observer_rmse,base_target_mse,control_target_mse,control_target_kl,natural_ce_base,natural_ce_control,collateral_q2_abs,collateral_q2_kl,mean_abs_strength,control_improvement_mse
oracle,0.0,3,0.4154585897922516,0.0,25.14095573425293,3.484037923812866,0.11908211931586266,1.1489840507507325,1.2067922413349152,0.03660283945500851,0.005711075989529491,5.515163445472718,21.656917810440063
linear_probe,0.0,3,0.4154585897922516,0.39713461250066756,25.22072238922119,3.441496741771698,0.11743123419582843,1.1498206913471223,1.2088755667209625,0.03635774701833725,0.005665246094577014,5.520161461830139,21.779225647449493
last_obs_proxy,0.0,3,0.4154585897922516,2.4265903353691103,25.077668952941895,15.690517902374268,0.15437297001481057,1.1514291226863862,1.1901222229003907,0.023897812329232694,0.0032474698964506388,3.84683244228363,9.387151050567628
entangled_bad,0.0,3,0.4154585897922516,2.2298840284347534,25.31493730545044,8.811276960372926,0.15105957984924318,1.151914370059967,1.215715581178665,0.037688656523823735,0.00643585124053061,5.615040397644043,16.503660345077513
noisy_oracle,0.25,3,0.4154585897922516,0.2499924696981907,25.235354232788087,3.513942766189575,0.11993415057659149,1.1503522932529449,1.2078915536403656,0.03661634549498558,0.0057300707092508675,5.524049782752991,21.72141146659851
noisy_oracle,0.5,3,0.4154585897922516,0.5010376945137978,25.065178871154785,3.5317137837409973,0.11997272223234176,1.1522906839847564,1.2099755465984345,0.03652578666806221,0.0057428394677117465,5.513253331184387,21.533465087413788
noisy_oracle,1.0,3,0.4154585897922516,0.9970609962940216,25.088984107971193,3.838001716136932,0.12539000548422335,1.1498938262462617,1.2107214093208314,0.03678997084498405,0.0058820177102461456,5.55243673324585,21.25098239183426
noisy_oracle,1.5,3,0.4154585897922516,1.5029967606067658,25.245647716522218,4.906528878211975,0.13535062819719315,1.1512620389461516,1.214120727777481,0.03679737020283937,0.005934197967872023,5.596188879013061,20.33911883831024
noisy_oracle,2.0,3,0.4154585897922516,1.9980968832969666,25.00416326522827,6.634756660461425,0.14514160975813867,1.1503132224082946,1.2154217004776,0.03686819188296795,0.005939606437459588,5.6351271867752075,18.369406604766844
noisy_oracle,3.0,3,0.4154585897922516,3.0019976139068603,25.049499893188475,11.156306600570678,0.1662723310291767,1.1518186688423158,1.2172622799873352,0.037011662311851976,0.0058879709336906675,5.744441246986389,13.893193292617797
