layer,target,r2_train,rmse_train,r2_val,rmse_val
0,z1,0.830440104007721,1.5299580097198486,0.8314723968505859,1.527510166168213
0,z2,0.7585122585296631,1.2185550928115845,0.7594819068908691,1.219477653503418
1,z1,0.93374103307724,0.956401526927948,0.9335042238235474,0.9595012664794922
1,z2,0.8953586220741272,0.8021385073661804,0.8957116603851318,0.8030043244361877
2,z1,0.9760437607765198,0.5750786662101746,0.9757859706878662,0.5790044665336609
2,z2,0.9614152908325195,0.4870856702327728,0.9612109065055847,0.48972782492637634
3,z1,0.9885095357894897,0.3982781767845154,0.9883517622947693,0.40158596634864807
3,z2,0.9801947474479675,0.34896960854530334,0.9802021384239197,0.34987199306488037
