epsilon,n_components,n_measurements,mask_kind,mask_density,mask_rows_normalized,finite_map_norm,atp_map_norm,atp_calibrated_map_norm,ridge_map_norm,omp_map_norm,finite_on_atp_slope,atp_on_finite_slope,finite_to_atp_norm_ratio,atp_vs_finite_cosine,atp_calibration_gain,atp_vs_finite_pearson,atp_vs_finite_spearman,ridge_vs_finite_pearson,ridge_vs_finite_spearman,omp_vs_finite_pearson,omp_vs_finite_spearman,finite_single_holdout_r2,atp_holdout_r2,atp_calibrated_holdout_r2,ridge_holdout_r2,omp_holdout_r2,ridge_train_r2,omp_val_r2,omp_k,aggregate_additivity_gap,atp_finite_calibration_gap,atp_calibrated_gap,atp_minus_finite_mae,atp_calibrated_minus_finite_mae,ridge_minus_finite_mae,omp_minus_finite_mae
0.6,32,128,signed,0.3,True,2.136889476821608,1.7411110667875773,2.2576947480268283,2.2132633267550164,2.2054997344046674,1.2256359381150046,0.8136737737119528,1.2273137065082576,0.9986329751029782,1.296697718539214,0.9983077560163879,0.9918518518518519,0.9968348788587528,0.8316249187167556,0.9945583071419289,0.7586573346342107,0.9827557203362743,0.9260346605209223,0.9890577005850537,0.9860282959463479,0.9804446628534461,0.9970372813284261,0.984224926169978,9,0.01724427966372566,0.056721059815352026,-0.006301980248779371,0.033931801241124056,0.015978082979570967,0.024756101478318113,0.034296299581857426
1.2,32,128,signed,0.3,True,3.997942635184374,3.4822221335751546,4.170867473658449,4.090899667786692,4.048370954351705,1.1464487313065959,0.8697500545954752,1.1481009774295288,0.998560887800451,1.197760313290603,0.9982339181879101,0.9918518518518519,0.9961236410422395,0.8872630944926662,0.9946833403347549,0.714006273796418,0.9873630783471624,0.9583353035512924,0.9930212098175749,0.9842857081312143,0.9838708346652187,0.9972519273721511,0.983068607373144,7,0.012636921652837585,0.029027774795870043,-0.005658131470412497,0.04759490698343144,0.02624475260033192,0.042785731475252636,0.06281190448849991
2.0,32,128,signed,0.3,True,5.804131078631793,5.803703555958592,6.226031895598224,6.147751845573021,6.028076924112213,0.9979588139748096,0.997811803405631,1.0000736637681575,0.9978853059829818,1.0727687649046156,0.9974398167086351,0.975925925925926,0.9918652101118685,0.7793029256029855,0.9917138712758561,0.6548650863435418,0.9734066048038952,0.9772900654483921,0.9888081144352651,0.9664830944886617,0.9678259391955989,0.9941994413635932,0.9763425908150863,6,0.02659339519610482,-0.003883460644496961,-0.01540150963136988,0.04246051167137921,0.053526171326010806,0.10490619483596017,0.10790146165973943
5.0,32,128,signed,0.3,True,10.624395161071293,14.50925888989648,11.759552928430969,11.775212205048799,11.427429360019062,0.7240824449435943,1.350423688242915,0.7322493341454944,0.9888468465301773,0.8104861190821905,0.987182503942863,0.7648148148148148,0.987326106358839,0.6396547890528523,0.9915224595785929,0.5770297860846152,0.9317739278205476,0.9629901894533501,0.970375153404917,0.9488901851475743,0.9658580978939815,0.9857852423232626,0.96811822056319,4,0.06822607217945242,-0.031216261632802556,-0.0386012255843694,0.38431384961586446,0.18545478084562164,0.24324548330515247,0.19533613198283178
8.0,32,128,signed,0.3,True,14.1695559371291,23.214814223834367,16.503140685124066,16.538628931310885,16.17630651210613,0.600185606704134,1.6110296053101358,0.6103669751783493,0.9833192671159177,0.7108883373350666,0.9819573060025927,0.5477777777777778,0.9870146723757207,0.47716183860797456,0.9913335979848268,0.577670930291376,0.9269350682789601,0.8600603916437285,0.9650761524846785,0.952328764515216,0.9713596696378499,0.9867827381466642,0.9708669221216266,4,0.0730649317210399,0.06687467663523161,-0.03814108420571838,0.858509348705411,0.3581593582023702,0.3917971362819399,0.29321012800939156
