m_gain,repeat,gain,holdout_r2,n_train_available,epsilon
0,0,1.0,0.9260346605209223,96,0.6
1,0,1.4214289187863427,0.9849378077697887,96,0.6
1,1,1.5091346019863698,0.9711894239392115,96,0.6
1,2,1.2411636397448524,0.9850615546449641,96,0.6
1,3,0.9375429197681795,0.8997033205719733,96,0.6
1,4,1.3624228846585256,0.9891454855236247,96,0.6
1,5,1.044513445120244,0.9420278990000032,96,0.6
1,6,1.4414588901604344,0.9825874753706153,96,0.6
1,7,1.1054197332491198,0.9601714176380385,96,0.6
1,8,0.8988462680172725,0.8811094217608906,96,0.6
1,9,1.4063855334424336,0.9863957170306056,96,0.6
1,10,0.8988462680172725,0.8811094217608906,96,0.6
1,11,1.4076666730311176,0.9862818258370871,96,0.6
1,12,1.1930435361137666,0.9786939244171714,96,0.6
1,13,1.5313247988600711,0.9662907037175211,96,0.6
1,14,1.1103494572628214,0.9614509211238277,96,0.6
1,15,-3.9433206239217182,-15.21026490752067,96,0.6
1,16,1.5818998091712866,0.9529824021748429,96,0.6
1,17,1.1406315537736569,0.9686895815653669,96,0.6
1,18,0.9271406246480757,0.8948763944521625,96,0.6
1,19,1.3492513365948506,0.9895310458135868,96,0.6
1,20,1.5351124894373671,0.9653972239339349,96,0.6
1,21,2.388940391013852,0.3375128690131628,96,0.6
1,22,0.9375429197681795,0.8997033205719733,96,0.6
1,23,1.5313247988600711,0.9662907037175211,96,0.6
1,24,1.4397253926050402,0.9828093576109539,96,0.6
1,25,1.3398249042861912,0.9896829139194128,96,0.6
1,26,1.3599416185143705,0.9892335663860102,96,0.6
1,27,4.172796650203819,-3.7146843120757485,96,0.6
1,28,1.7064244724655562,0.9075159603359441,96,0.6
1,29,1.5485360613320935,0.9620961739692059,96,0.6
1,30,0.9375429197681795,0.8997033205719733,96,0.6
1,31,1.536419817930372,0.9650849583489306,96,0.6
1,32,1.3723167476055953,0.9887229604499508,96,0.6
1,33,1.1290616660667145,0.9660499959424094,96,0.6
1,34,2.0203286037087294,0.7127491032239013,96,0.6
1,35,1.536419817930372,0.9650849583489306,96,0.6
1,36,2.388940391013852,0.3375128690131628,96,0.6
1,37,1.4214289187863427,0.9849378077697887,96,0.6
1,38,2.6571753915058407,-0.0350329252872672,96,0.6
1,39,1.24111660801753,0.9850566478466675,96,0.6
1,40,1.5218747412769267,0.9684470231840266,96,0.6
1,41,1.030696254702055,0.9373105415758378,96,0.6
1,42,2.863284349214564,-0.37823358184705635,96,0.6
1,43,2.0145495097126185,0.7173719258723139,96,0.6
1,44,1.3723167476055953,0.9887229604499508,96,0.6
1,45,1.1406315537736569,0.9686895815653669,96,0.6
1,46,1.5218747412769267,0.9684470231840266,96,0.6
1,47,1.282654728327986,0.9883865362647822,96,0.6
1,48,4.172796650203819,-3.7146843120757485,96,0.6
1,49,-3.9433206239217182,-15.21026490752067,96,0.6
2,0,1.0441442964594156,0.9419047584244711,96,0.6
2,1,1.0926591916768094,0.9567279634979281,96,0.6
2,2,1.250481825801833,0.9859828914408307,96,0.6
2,3,1.411492468528951,0.9859303397233584,96,0.6
2,4,1.1947694745721749,0.9789689498874365,96,0.6
2,5,1.4058444984054472,0.9864432399752019,96,0.6
2,6,1.1051534312937414,0.960101493420227,96,0.6
2,7,1.1876046951965595,0.9778045585369708,96,0.6
2,8,1.3340350831884098,0.9897248829074562,96,0.6
2,9,1.69746046095458,0.9113922127469516,96,0.6
2,10,1.2732983528993136,0.9878118525954689,96,0.6
2,11,1.458522403605394,0.9802165947456313,96,0.6
2,12,1.5008287952511545,0.9728754971116316,96,0.6
2,13,1.3616825260858776,0.9891725177019305,96,0.6
2,14,1.8505595351672663,0.8323364732360137,96,0.6
2,15,1.20150530903239,0.9800090983097345,96,0.6
2,16,1.6867870717555375,0.9158855687314895,96,0.6
2,17,1.2186835443725863,0.9824225079883538,96,0.6
2,18,1.4794607871551346,0.9768438983642013,96,0.6
2,19,1.2451242172164259,0.9854655155561842,96,0.6
2,20,0.8618325832364896,0.8616920922164846,96,0.6
2,21,1.8543957869042569,0.8300049115088687,96,0.6
2,22,1.216124620162783,0.9820847867115248,96,0.6
2,23,1.5157349407960539,0.9697922586717593,96,0.6
2,24,1.1327881882439572,0.9669171978462533,96,0.6
2,25,1.3713268963278262,0.9887703659864776,96,0.6
2,26,1.126151584591146,0.9653615404443561,96,0.6
2,27,1.3746213533727438,0.9886081673331276,96,0.6
2,28,1.5434196902228543,0.9633791175133596,96,0.6
2,29,1.3620000233268115,0.9891610033473162,96,0.6
2,30,1.3268246103388173,0.9897225555832171,96,0.6
2,31,1.5630095860922835,0.9583017654564884,96,0.6
2,32,1.5893270730818694,0.9507770909998458,96,0.6
2,33,1.3421518970802686,0.9896550456638649,96,0.6
2,34,1.6593921980090929,0.9268110662232714,96,0.6
2,35,1.23466662369136,0.9843593176299971,96,0.6
2,36,1.3129405419328557,0.9895474986049781,96,0.6
2,37,-1.451875762737568,-3.5197468081610896,96,0.6
2,38,1.4253416168392306,0.9845154168043507,96,0.6
2,39,1.110392251858352,0.9614619044702697,96,0.6
2,40,1.2229322974691268,0.9829664034641724,96,0.6
2,41,1.044750115098334,0.9421067638433552,96,0.6
2,42,1.1416011175658178,0.9689036996393239,96,0.6
2,43,1.2222786167352158,0.9828840925409257,96,0.6
2,44,1.6549865203828757,0.9284865206823535,96,0.6
2,45,1.2886695543102895,0.988702129640823,96,0.6
2,46,1.4286858606069717,0.9841402581485018,96,0.6
2,47,1.4040155519587958,0.9866013648094286,96,0.6
2,48,1.2361029034086137,0.9845187928155926,96,0.6
2,49,1.1025154140066342,0.9594043539789361,96,0.6
4,0,1.317243596805253,0.9896257650339594,96,0.6
4,1,1.3714104858948466,0.9887664068705079,96,0.6
4,2,1.3299972147521726,0.9897310406248255,96,0.6
4,3,1.156391374301053,0.9720342185313453,96,0.6
4,4,1.0542642638826625,0.9452231049975333,96,0.6
4,5,1.2656182832017282,0.9872639269429313,96,0.6
4,6,1.1737929114488832,0.9753911840470589,96,0.6
4,7,1.355143992615471,0.989383535571502,96,0.6
