method,heldout_r2,mae,rmse,seed,epsilon,budget_forward,budget_backward,gain,omp_k,omp_val_r2,main_topk_overlap,confound_abs_coef,pair_topk_recall,true_pair_abs_coef_mean
raw_atp,0.6882306147936454,0.0697828945530658,0.14331293586281985,0,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.690112289906758,0.06789355540765904,0.14287980078910711,0,5.0,72,1,0.9640068727548431,,,1.0,0.0,0.0,0.0
multigain_atp,0.691425048967205,0.06829744598189308,0.14257684295423098,0,5.0,72,1,,,,1.0,0.0,0.0,0.0
finite_single,0.6207839562572417,0.09940904255983417,0.15805637278388626,0,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,-0.02347480464872498,0.20114734637951528,0.2596613062843292,0,5.0,72,0,,,,1.0,0.06925287307528981,0.0,0.0
first_order_omp,0.6412533003041485,0.09826785738312584,0.15373141225654824,0,5.0,72,0,,7.0,0.831195013865631,1.0,0.0,0.0,0.0
lifted_omp,0.9979746715077302,0.00912806988094814,0.011550915207818199,0,5.0,72,0,,4.0,0.9985337092458876,1.0,0.0,1.0,6.5585542509860835
raw_atp,0.4232941423092579,0.11312684135867655,0.23106164066473084,0,8.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.4296802037433808,0.10907662951812243,0.22977876702073693,0,8.0,72,1,0.9168556437261488,,,1.0,0.0,0.0,0.0
multigain_atp,0.4355161989445574,0.10883618034395223,0.22860009850327243,0,8.0,72,1,,,,1.0,0.0,0.0,0.0
finite_single,0.37487502931297034,0.13831112242499943,0.24056591579428627,0,8.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,-0.8476410211672942,0.32025741738394115,0.4135799433184694,0,8.0,72,0,,,,0.5,0.09975114904091942,0.0,0.0
first_order_omp,0.34726128263420053,0.15634875858016262,0.2458217795610352,0,8.0,72,0,,7.0,0.6172811470056582,1.0,0.0,0.0,0.0
lifted_omp,0.9983627693786619,0.00965450789301512,0.012311347809393835,0,8.0,72,0,,4.0,0.998653863220885,1.0,0.0,1.0,10.465630753072986
raw_atp,0.6511174080949693,0.07049631674691474,0.13968749846254266,1,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.6482175345004078,0.07443194130330621,0.1402668306517549,1,5.0,72,1,0.7693568378071766,,,1.0,0.0,0.0,0.0
multigain_atp,0.63262633911867,0.08274181766029716,0.1433414845356569,1,5.0,72,1,,,,1.0,0.0,0.0,0.0
finite_single,0.5688883785087913,0.0973906161233599,0.15527901058304985,1,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,-2.501595824586889,0.3502290531651341,0.44253833530925335,1,5.0,72,0,,,,0.0,0.5932670544764074,0.0,0.0
first_order_omp,0.5686508088747024,0.10043136264591469,0.1553217889438818,1,5.0,72,0,,3.0,0.7818320170713625,1.0,0.0,0.0,0.0
lifted_omp,0.9977010014057603,0.00919236755741078,0.011339326041843139,1,5.0,72,0,,5.0,0.9963189319987059,1.0,0.0,1.0,6.490489019542423
raw_atp,0.35459300976149144,0.1140267684447836,0.22515926570069592,1,8.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.35510008877798904,0.11762026059648482,0.2250707975129305,1,8.0,72,1,0.6023479292579319,,,1.0,0.0,0.0,0.0
multigain_atp,0.3298360049909158,0.13168614487512123,0.229437043062255,1,8.0,72,1,,,,1.0,0.0,0.0,0.0
finite_single,0.32004598291533926,0.13276248075171046,0.23110682074925076,1,8.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,-5.42383906040907,0.5621013985432176,0.7103466180695488,1,8.0,72,0,,,,0.0,0.9588320157306356,0.0,0.0
first_order_omp,0.2117692087279861,0.16061766888200885,0.24882825232943281,1,8.0,72,0,,3.0,0.46791619460145906,0.5,0.0,0.0,0.0
lifted_omp,0.998203802160568,0.0096019976449771,0.011878184754845273,1,8.0,72,0,,5.0,0.9977860518531345,1.0,0.0,1.0,10.402849798269981
raw_atp,0.6623232005530586,0.07598561303622084,0.1526940680422764,2,5.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.6540936212480339,0.08172052359366819,0.15454353414570146,2,5.0,72,1,1.050902401120686,,,1.0,0.0,0.0,0.0
multigain_atp,0.6664019342041736,0.07718611985286047,0.15176908512203544,2,5.0,72,1,,,,1.0,0.0,0.0,0.0
finite_single,0.5537158473419881,0.11268199687840208,0.17554048218337712,2,5.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,-0.8587885278797613,0.2773648518367176,0.35825028611468757,2,5.0,72,0,,,,0.5,0.03333538924257842,0.0,0.0
first_order_omp,0.38732529754434375,0.15259193907461402,0.20567737858766166,2,5.0,72,0,,7.0,0.7112670241341634,1.0,0.0,0.0,0.0
lifted_omp,0.9978156696816611,0.009956489475488575,0.012280914593026129,2,5.0,72,0,,8.0,0.9963439652819092,1.0,0.0,1.0,6.494283099097813
raw_atp,0.38201691086363787,0.12362174895531451,0.24560375503374157,2,8.0,0,1,,,,1.0,0.0,0.0,0.0
scalar_cal_atp,0.36979859474338395,0.1309408792539632,0.24801982149587967,2,8.0,72,1,1.0595520371410025,,,1.0,0.0,0.0,0.0
multigain_atp,0.39635948413657496,0.12365920178658837,0.24273695393772615,2,8.0,72,1,,,,1.0,0.0,0.0,0.0
finite_single,0.31006855674165323,0.15022266641649412,0.2595073578872727,2,8.0,64,0,,,,1.0,0.0,0.0,0.0
subset_ridge,-2.382502440942699,0.44480535612186306,0.5746001913790518,2,8.0,72,0,,,,0.5,0.040994529776114674,0.0,0.0
first_order_omp,-0.10756661409210277,0.24380042100012136,0.3287998683891865,2,8.0,72,0,,7.0,0.49590326231717463,0.5,0.0,0.0,0.0
lifted_omp,0.9984098876391433,0.009908902226253924,0.01245835247178938,2,8.0,72,0,,7.0,0.9972188510284345,1.0,0.0,1.0,10.398854775889802
